,State House Disctrict,TotSenVotes,DemSenVotes,RepSenVotes,TotGovVotes,DemGovVotes,RepGovVotes,TotLegVotes,DemLegVotes,RepLegVotes,%DemSen,%RepSen,DemSenMarg,DemSenMargRounded,DemSenWinner,%DemGov,%RepGov,DemGovMarg,DemGovMargRounded,DemGovWinner,%DemLeg,%RepLeg,DemLegMarg,DemLegMargRounded,DemLegWinner,ContestedLeg,Target Category,DemSenGovCompare
26,1,53194.0,13287.0,39546.0,53098.0,11993.0,40539.0,43280.0,0.0,43280.0,24.978381020415835,74.34297101176824,-49.3645899913524,-49.36,False,22.58653809936344,76.34750838072996,-53.760970281366525,-53.76,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,4.399999999999999
78,10,64669.0,20005.0,44169.0,64624.0,16637.0,46961.0,63550.0,17445.0,44652.0,30.934450818784885,68.30011288252486,-37.365662063739975,-37.37,False,25.744305521168602,72.66804902203515,-46.92374350086655,-46.92,False,27.45082612116444,70.26278520849725,-42.81195908733281,-42.81,False,True,Rep Sweep,9.550000000000004
59,100,41740.0,33743.0,7723.0,41521.0,30826.0,9706.0,33933.0,33933.0,0.0,80.84091998083373,18.502635361763296,62.338284619070436,62.34,True,74.24194985669902,23.376122925748415,50.865826930950604,50.87,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,11.470000000000006
137,101,43632.0,30938.0,12412.0,43459.0,28105.0,14579.0,35617.0,31127.0,0.0,70.9066740007334,28.447011367803448,42.459662632929955,42.46,True,64.67014887595205,33.54656112657907,31.12358774937298,31.12,True,87.39366033074094,0.0,87.39366033074094,87.39,True,False,Dem Sweep,11.34
56,102,57599.0,33684.0,23376.0,57287.0,28728.0,27230.0,56783.0,30025.0,26758.0,58.48018194760326,40.584037917324956,17.896144030278307,17.9,True,50.147502923874534,47.532599018974636,2.614903904899897,2.61,True,52.87674127819946,47.12325872180054,5.753482556398922,5.75,True,True,Dem Sweep,15.29
55,103,39375.0,31378.0,7775.0,39047.0,28660.0,9624.0,38258.0,29936.0,8322.0,79.69015873015873,19.746031746031743,59.94412698412698,59.94,True,73.3987246139268,24.647220016902708,48.751504597024095,48.75,True,78.24768675832505,21.752313241674944,56.495373516650105,56.5,True,True,Dem Sweep,11.189999999999998
65,104,31988.0,25876.0,5914.0,31753.0,24173.0,7076.0,26078.0,26078.0,0.0,80.89283481305489,18.48818306865074,62.40465174440415,62.4,True,76.12823985135263,22.284508550373193,53.84373130097944,53.84,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,8.559999999999995
66,105,45640.0,26789.0,18503.0,45377.0,23822.0,20714.0,44903.0,24579.0,20324.0,58.69631901840491,40.541191936897455,18.15512708150745,18.16,True,52.49796152235714,45.64867664235185,6.8492848800052855,6.85,True,54.73799078012605,45.26200921987395,9.475981560252094,9.48,True,True,Dem Sweep,11.31
69,106,85264.0,37673.0,46925.0,84924.0,31545.0,51719.0,83111.0,34651.0,48460.0,44.18394633139426,55.034950272096076,-10.851003940701816,-10.85,False,37.14497668503603,60.900334416654886,-23.755357731618858,-23.76,False,41.692435417694405,58.307564582305595,-16.61512916461119,-16.62,False,True,Rep Sweep,12.910000000000002
58,107,51740.0,30558.0,20761.0,51503.0,26658.0,23768.0,50887.0,29058.0,21829.0,59.060688055662936,40.12562814070352,18.935059914959417,18.94,True,51.760091645146886,46.14876803293012,5.611323612216765,5.61,True,57.102992905850215,42.89700709414978,14.205985811700437,14.21,True,True,Dem Sweep,13.330000000000002
54,108,81125.0,46363.0,34073.0,80424.0,36979.0,41426.0,78634.0,39207.0,39427.0,57.150077041602465,42.000616332819725,15.14946070878274,15.15,True,45.98005570476475,51.509499651845225,-5.529443947080473,-5.53,False,49.86011140219244,50.13988859780757,-0.27977719561513226,-0.28,False,True,Dem Target,20.68
61,109,61237.0,51383.0,9554.0,61026.0,47617.0,12160.0,51975.0,51975.0,0.0,83.90842137923151,15.601678723647469,68.30674265558405,68.31,True,78.0273981581621,19.925933208796252,58.10146494936585,58.1,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,10.21
41,11,52856.0,14548.0,38003.0,52797.0,13014.0,39218.0,51996.0,13280.0,38716.0,27.52383835326169,71.89912214318147,-44.37528378991978,-44.38,False,24.649127791351784,74.28073564785878,-49.63160785650699,-49.63,False,25.540426186629738,74.45957381337026,-48.91914762674052,-48.92,False,True,Rep Sweep,5.25
