CNTYVTD,PaxtonR_18G_Attorney Gen,NelsonD_18G_Attorney Gen,HarrisL_18G_Attorney Gen
"0010001",637,252,19
"0010002",1041,157,34
"0010003",554,105,9
"0010004",732,104,11
"0010005",174,15,2
"0010006",261,375,10
"0010007",87,440,9
"0010008",44,101,4
"0010009",552,129,21
"0010010",229,26,4
"0010011",486,143,13
"0010013",580,253,32
"0010015",468,65,9
"0010016",339,92,12
"0010017",329,101,8
"0010018",895,197,22
"0010019",774,241,22
"0010020",392,151,11
"0010021",830,137,14
"0010022",524,103,5
"0010023",681,81,13
"0010024",435,46,9
"0030001",710,193,8
"0030002",1236,194,42
"0030003",768,189,29
"0030004",542,176,13
"0050001",121,93,3
"0050002",248,739,7
"0050003",742,171,16
"0050004",346,270,6
"0050005",496,395,19
"0050006",194,40,7
"0050007",636,83,5
"0050008A",394,53,4
"0050008B",257,36,5
"0050009",148,42,3
"0050010A",221,203,3
"0050010B",27,25,0
"0050011",1068,113,18
"0050012",385,82,7
"0050013",184,139,8
"0050014",739,313,16
"0050015",285,68,1
"0050016",433,452,20
"0050017",817,114,9
"0050018",218,114,5
"0050019",626,285,17
"0050020",138,896,17
"0050021",502,158,10
"0050022",520,84,11
"0050023",291,53,6
"0050024",959,265,21
"0050025",958,210,14
"0050026",861,120,9
"0050027",195,25,4
"0050028",522,127,19
"0050029",678,131,11
"0050030",504,44,10
"0050031",147,51,3
"0050032",53,6,0
"0050033",664,61,8
"0050034",915,322,15
"0050035",799,249,14
"0050036",0,0,0
"0050037",218,43,7
"0050038",170,36,1
"0050039",186,84,3
"0050040",271,161,12
"005011B",454,100,11
"005017B",172,17,3
"0070001",909,243,19
"0070002",995,489,42
"0070003",1875,618,48
"0070004",1686,536,48
"007001A",541,152,19
"007004A",544,143,9
"0090001",600,68,11
"0090002",520,57,11
"0090003",185,29,3
"0090004",364,19,5
"0090005",81,7,1
"0090006",512,88,9
"0090007",119,10,2
"0090008",179,29,4
"0090009",94,10,0
"0090010",427,67,3
"0090011",62,9,2
"0110101",214,14,4
"0110201",105,21,5
"0110202",37,10,3
"0110301",167,11,2
"0110303",26,8,1
"0110401",120,8,3
"0110402",97,6,3
"0110404",18,0,1
"0130001",274,95,7
"0130002",274,204,18
"0130003",382,243,7
"0130004",39,22,2
"0130005",359,334,12
"0130006",46,6,1
"0130007",380,254,23
"0130008",160,90,12
"0130009",60,18,3
"0130010",359,213,10
"0130011",35,8,0
"0130012",352,220,20
"0130013",696,372,26
"0130014",133,55,3
"0130015",426,364,24
"0130016",82,49,1
"0130017",296,506,19
"0130018",404,269,13
"0130019",141,58,3
"0130020",1448,470,26
"0130021",121,19,3
"0130022",306,91,6
"0130023",149,122,13
"0130024",523,287,20
"0150101",560,142,15
"0150102",599,177,13
"0150103",750,140,26
"0150104",385,84,3
"0150205",881,221,25
"0150206",288,61,4
"0150207",202,29,7
"0150208",364,66,5
"0150209",311,82,3
"0150210",374,65,5
"0150211",191,33,3
"0150312",339,38,8
"0150313",231,248,8
"0150314",1055,322,33
"0150415",507,207,7
"0150416",485,164,17
"0150417",226,104,8
"0150418",670,141,13
"0170001",365,114,6
"0170002",507,86,10
"0170003",191,90,1
"0170004A",92,91,7
"0170004B",6,4,0
"0190101",801,183,29
"0190102",1244,304,51
"0190203",926,301,41
"0190204",696,228,21
"0190305",1135,242,33
"0190306",775,129,24
"0190407",1139,252,28
"0190408",131,55,3
"0190409",319,99,12
"0190410",284,60,9
"0211001",1095,797,74
"0211002",642,696,50
"0211003",1978,1537,119
"0211004",575,573,40
"0212005",835,681,48
"0212006",552,305,24
"0212007",903,363,39
"0212008",390,204,15
"0212009",415,299,28
"0212010",513,255,39
"0212011",836,614,70
"0213012",375,158,24
"0213013",565,308,36
"0213014",588,589,47
"0213015",451,740,48
"0213016",783,667,61
"0214017",590,821,58
"0214018",257,139,13
"0214019",750,652,68
"0214020",868,1058,83
"0214021",450,276,51
"0230001",292,45,13
"0230002",224,42,3
"0230003",209,43,5
"0230004",295,40,7
"0250001",562,392,25
"0250002",151,14,2
"0250003",408,284,23
"0250004",137,30,7
"0250005",115,50,3
"0250006",368,211,18
"0250008",91,27,3
"0250009",88,227,8
"0250010",192,307,21
"0250011",89,47,3
"0250012",116,54,2
"0250013",423,214,19
"0250014",79,53,1
"0250016",286,202,21
"0250017",250,244,8
"0250018",671,257,27
"0250019",64,156,7
"0270101",2670,1000,98
"0270102",1229,502,43
"0270103",1656,776,62
"0270104",3148,1052,115
"0270105",707,140,13
"0270106",683,1345,62
"0270107",182,86,7
"0270108",743,159,18
"0270109",373,570,28
"0270110",185,163,9
"0270111",1656,997,80
"0270113",123,39,3
"0270201",755,714,43
"0270202",1810,1155,99
"0270203",3476,901,120
"0270204",407,538,26
"0270205",648,1260,44
"0270206",313,537,28
"0270207",431,908,55
"0270208",995,1935,76
"0270209",1719,1924,84
"0270210",1071,1632,82
"0270301",1593,319,47
"0270302",1243,816,50
"0270303",1212,1035,71
"0270304",318,114,4
"0270305",1056,514,37
"0270306",360,518,20
"0270307",287,749,17
"0270308",428,473,30
"0270309",403,61,5
"0270310",264,40,2
"0270311",1337,294,29
"0270312",803,176,18
"0270313",1161,468,39
"0270314",713,553,34
"0270315",2193,1183,111
"0270317",2741,1324,92
"0270401",496,167,18
"0270402",969,468,24
"0270404A",625,1225,52
"0270404B",0,0,0
"0270405",516,1413,62
"0270406",490,550,23
"0270408",862,1604,65
"0270409",438,456,25
"0270410",257,443,22
"0270412",487,1559,70
"0270413",834,1829,76
"0291001",73,328,5
"0291002",117,234,5
"0291003",136,833,28
"0291004",47,291,6
"0291005",55,228,11
"0291006",170,689,10
"0291007",130,460,7
"0291008",135,863,16
"0291009",289,474,18
"0291010",51,248,10
"0291011",46,137,1
"0291012",245,572,19
"0291013",126,799,21
"0291014",66,378,8
"0291015",85,374,7
"0291016",65,352,7
"0291017",28,52,2
"0291018",167,649,19
"0291019",62,240,4
"0291020",205,737,25
"0291021",135,503,12
"0291022",78,289,2
"0291023",120,710,19
"0291024",477,941,33
"0291025",23,149,5
"0291026",77,373,6
"0291027",45,69,4
"0291028",92,281,7
"0291029",139,593,19
"0291030",9,7,1
"0291031",93,428,15
"0291032",114,676,23
"0291033",207,456,26
"0291034",744,888,65
"0291035",102,97,13
"0291036",534,913,48
"0291037",241,644,20
"0291038",385,844,28
"0291039",174,643,26
"0291040",164,778,23
"0291041",130,566,13
"0291042",76,348,7
"0291043",182,413,11
"0291044",166,683,24
"0291045",265,1004,21
"0291046",152,655,12
"0291047",130,480,11
"0291048",184,642,18
"0291049",222,706,18
"0291050",161,426,12
"0291051",270,541,13
"0291052",207,562,14
"0291053",22,66,3
"0291054",220,689,24
"0291055",330,674,46
"0291056",356,780,29
"0291057",387,454,33
"0291058",456,523,28
"0291059",51,86,2
"0291060",187,818,21
"0291061",162,671,21
"0291062",34,28,0
"0291063",358,373,17
"0291064",226,266,12
"0291065",405,511,19
"0291066",97,186,5
"0291067",721,575,28
"0291068",207,303,20
"0291069",139,158,8
"0291070",128,283,11
"0291071",294,552,20
"0291072",199,640,19
"0291073A",620,867,36
"0291073B",81,113,5
"0291074",3,5,1
"0291075",154,544,20
"0291076",411,819,33
"0291077",117,541,14
"0291078",25,169,7
"0291079",738,1506,80
"0291080A",396,1248,54
"0291080B",4,13,0
"0291081",555,285,23
"0291082",667,1393,67
"0291083",541,911,45
"0291084",213,518,9
"0291085",161,454,19
"0291086",319,737,29
"0291087",149,414,13
"0291088",75,262,3
"0291089",262,377,23
"0291090",0,0,0
"0291091",248,679,29
"0291092",64,249,5
"0291093",163,263,22
"0291094",220,523,24
"0291095",31,49,4
"0291096",2,7,0
"0291097",75,234,10
"0291098",48,270,9
"0291099",765,1600,60
"0291100",439,855,24
"0291101",0,0,0
"0291102",218,193,15
"0291103",120,107,9
"0291104",600,989,46
"0291105",81,146,9
