CNTYVTD,HerveyR_18G_CCA 7,FranklinD_18G_CCA 7
"0010001",670,237
"0010002",1066,156
"0010003",567,93
"0010004",739,98
"0010005",179,11
"0010006",276,366
"0010007",87,440
"0010008",46,101
"0010009",560,130
"0010010",233,25
"0010011",494,137
"0010013",614,245
"0010015",481,56
"0010016",347,90
"0010017",341,94
"0010018",916,185
"0010019",795,231
"0010020",408,137
"0010021",854,123
"0010022",533,92
"0010023",695,80
"0010024",453,34
"0030001",715,191
"0030002",1289,174
"0030003",795,177
"0030004",541,177
"0050001",132,86
"0050002",254,738
"0050003",750,164
"0050004",354,263
"0050005",519,380
"0050006",204,32
"0050007",645,67
"0050008A",397,47
"0050008B",260,31
"0050009",154,37
"0050010A",224,200
"0050010B",27,25
"0050011",1095,95
"0050012",383,81
"0050013",191,136
"0050014",769,286
"0050015",299,55
"0050016",451,444
"0050017",823,108
"0050018",227,104
"0050019",657,257
"0050020",148,900
"0050021",514,147
"0050022",528,79
"0050023",303,45
"0050024",976,251
"0050025",981,187
"0050026",879,106
"0050027",200,20
"0050028",544,116
"0050029",687,125
"0050030",508,46
"0050031",149,50
"0050032",53,6
"0050033",673,54
"0050034",950,289
"0050035",828,217
"0050036",0,0
"0050037",223,44
"0050038",171,34
"0050039",184,83
"0050040",282,157
"005011B",456,100
"005017B",175,14
"0070001",941,221
"0070002",1028,485
"0070003",1947,548
"0070004",1769,480
"007001A",551,149
"007004A",566,131
"0090001",607,57
"0090002",521,59
"0090003",188,26
"0090004",371,10
"0090005",81,8
"0090006",521,72
"0090007",119,9
"0090008",179,29
"0090009",95,9
"0090010",432,63
"0090011",66,7
"0110101",210,12
"0110201",107,18
"0110202",41,6
"0110301",163,8
"0110303",25,8
"0110401",123,6
"0110402",100,6
"0110404",19,0
"0130001",284,86
"0130002",282,214
"0130003",401,221
"0130004",46,16
"0130005",363,339
"0130006",48,3
"0130007",406,240
"0130008",171,87
"0130009",69,12
"0130010",347,220
"0130011",36,7
"0130012",365,224
"0130013",724,364
"0130014",134,54
"0130015",448,357
"0130016",77,52
"0130017",291,524
"0130018",416,258
"0130019",143,57
"0130020",1501,421
"0130021",126,17
"0130022",319,79
"0130023",148,132
"0130024",532,293
"0150101",588,117
"0150102",618,161
"0150103",807,102
"0150104",398,72
"0150205",922,185
"0150206",297,54
"0150207",210,24
"0150208",369,60
"0150209",317,72
"0150210",377,61
"0150211",200,26
"0150312",353,26
"0150313",230,249
"0150314",1097,291
"0150415",524,184
"0150416",514,140
"0150417",231,104
"0150418",708,105
"0170001",373,102
"0170002",525,70
"0170003",195,79
"0170004A",92,94
"0170004B",5,5
"0190101",834,177
"0190102",1307,275
"0190203",964,293
"0190204",726,216
"0190305",1176,216
"0190306",799,120
"0190407",1188,224
"0190408",141,48
"0190409",333,95
"0190410",292,51
"0211001",1183,759
"0211002",669,701
"0211003",2144,1434
"0211004",614,570
"0212005",878,664
"0212006",575,294
"0212007",973,317
"0212008",425,180
"0212009",440,292
"0212010",561,240
"0212011",912,576
"0213012",411,137
"0213013",611,282
"0213014",622,600
"0213015",495,734
"0213016",845,646
"0214017",635,814
"0214018",272,135
"0214019",825,623
"0214020",951,1036
"0214021",501,262
"0230001",298,41
"0230002",231,35
"0230003",215,38
"0230004",296,34
"0250001",584,384
"0250002",157,11
"0250003",423,276
"0250004",138,36
"0250005",120,48
"0250006",380,209
"0250008",91,29
"0250009",84,239
"0250010",188,318
"0250011",91,45
"0250012",117,53
"0250013",419,227
"0250014",80,53
"0250016",300,196
"0250017",255,239
"0250018",696,246
"0250019",71,152
"0270101",2817,921
"0270102",1309,451
"0270103",1704,770
"0270104",3273,984
"0270105",735,125
"0270106",707,1375
"0270107",193,84
"0270108",774,142
"0270109",395,573
"0270110",193,166
"0270111",1716,991
"0270113",130,34
"0270201",784,716
"0270202",1870,1165
"0270203",3636,810
"0270204",425,546
"0270205",676,1273
"0270206",335,544
"0270207",451,934
"0270208",1029,1968
"0270209",1773,1932
"0270210",1121,1658
"0270301",1627,316
"0270302",1280,803
"0270303",1289,1009
"0270304",327,101
"0270305",1115,466
"0270306",368,520
"0270307",293,755
"0270308",449,469
"0270309",415,50
"0270310",273,33
"0270311",1385,270
"0270312",828,154
"0270313",1206,442
"0270314",736,557
"0270315",2297,1153
"0270317",2872,1253
"0270401",524,156
"0270402",1008,447
"0270404A",643,1250
"0270404B",0,0
"0270405",554,1430
"0270406",496,549
"0270408",912,1613
"0270409",465,452
"0270410",262,460
"0270412",518,1585
"0270413",864,1868
"0291001",82,320
"0291002",125,226
"0291003",162,808
"0291004",50,288
"0291005",46,238
"0291006",153,704
"0291007",118,475
"0291008",172,828
"0291009",298,479
"0291010",55,252
"0291011",48,135
"0291012",259,562
"0291013",134,798
"0291014",67,380
"0291015",88,375
"0291016",66,352
"0291017",29,50
"0291018",164,663
"0291019",60,243
"0291020",204,749
"0291021",132,512
"0291022",80,288
"0291023",123,725
"0291024",500,938
"0291025",25,149
"0291026",86,367
"0291027",49,65
"0291028",95,286
"0291029",138,605
"0291030",9,8
"0291031",87,441
"0291032",126,682
"0291033",215,463
"0291034",790,891
"0291035",109,100
"0291036",577,893
"0291037",254,651
"0291038",392,846
"0291039",172,657
"0291040",170,785
"0291041",131,567
"0291042",84,341
"0291043",198,404
"0291044",186,694
"0291045",280,1006
"0291046",156,661
"0291047",137,476
"0291048",190,652
"0291049",233,707
"0291050",165,426
"0291051",277,543
"0291052",217,557
"0291053",23,67
"0291054",218,715
"0291055",376,658
"0291056",384,766
"0291057",400,465
"0291058",474,522
"0291059",55,82
"0291060",190,816
"0291061",172,676
"0291062",33,28
"0291063",372,371
"0291064",232,269
"0291065",424,505
"0291066",95,192
"0291067",762,544
"0291068",224,303
"0291069",145,154
"0291070",142,279
"0291071",305,559
"0291072",227,623
"0291073A",651,860
"0291073B",85,111
"0291074",4,4
"0291075",156,556
"0291076",439,811
"0291077",118,552
"0291078",28,173
"0291079",784,1512
"0291080A",408,1271
"0291080B",4,13
"0291081",598,249
"0291082",700,1407
"0291083",580,900
"0291084",221,508
"0291085",179,450
"0291086",342,726
"0291087",159,415
"0291088",70,267
"0291089",275,380
"0291090",0,0
"0291091",266,686
"0291092",71,244
"0291093",184,253
"0291094",222,533
"0291095",35,48
"0291096",2,7
"0291097",73,243
"0291098",55,272
"0291099",795,1598
"0291100",465,839
"0291101",0,0
"0291102",237,178
"0291103",131,105
"0291104",622,999
"0291105",82,153
"0291106",0,0
"0291107",449,653
"0291108",1336,1580
"0291109",2,1
"0291110",835,1354
"0291111",951,1484
"0291112",532,1258
"0291113",512,869
"0291114",0,0
"0291115",36,52
"0291116",290,287
"0291117",53,100
"0291118",574,669
"0291119",11,32
"0291120",6,33
"0291121",1154,1462
"0291122A",1007,1235
"0291122B",10,13
"0291122C",19,22
"0291123",117,130
"0291124",97,194
"0291125A",445,558
"0291125B",0,1
"0291125C",9,11
"0291126",0,0
"0291127",43,175
"0291128",206,347
"0291129",102,150
"0291130",0,0
"0291131",0,0
"0291132",0,2
"0291133",1,0
"0291134",0,0
