CNTYVTD,SlaughterR_18G_CCA 8,AshL_18G_CCA 8
"0010001",689,143
"0010002",1063,84
"0010003",572,53
"0010004",749,48
"0010005",181,8
"0010006",285,121
"0010007",107,153
"0010008",53,48
"0010009",562,83
"0010010",236,10
"0010011",493,73
"0010013",640,118
"0010015",491,28
"0010016",353,53
"0010017",346,54
"0010018",932,91
"0010019",807,109
"0010020",416,79
"0010021",872,65
"0010022",540,43
"0010023",694,52
"0010024",452,22
"0030001",738,51
"0030002",1289,99
"0030003",804,92
"0030004",553,61
"0050001",145,30
"0050002",291,135
"0050003",761,61
"0050004",373,61
"0050005",531,137
"0050006",211,14
"0050007",646,34
"0050008A",399,25
"0050008B",260,16
"0050009",155,17
"0050010A",233,52
"0050010B",28,5
"0050011",1095,37
"0050012",386,42
"0050013",199,55
"0050014",785,121
"0050015",307,13
"0050016",481,134
"0050017",822,50
"0050018",238,39
"0050019",688,98
"0050020",172,132
"0050021",516,57
"0050022",536,28
"0050023",309,16
"0050024",996,102
"0050025",989,62
"0050026",884,49
"0050027",201,11
"0050028",559,49
"0050029",693,56
"0050030",509,18
"0050031",156,16
"0050032",53,0
"0050033",682,34
"0050034",974,139
"0050035",854,77
"0050036",0,0
"0050037",219,22
"0050038",175,14
"0050039",198,24
"0050040",297,63
"005011B",467,43
"005017B",176,4
"0070001",956,121
"0070002",1076,243
"0070003",2029,302
"0070004",1832,273
"007001A",564,83
"007004A",583,65
"0090001",607,25
"0090002",529,26
"0090003",195,7
"0090004",368,10
"0090005",83,2
"0090006",533,30
"0090007",119,4
"0090008",184,9
"0090009",94,4
"0090010",438,29
"0090011",65,6
"0110101",212,6
"0110201",107,6
"0110202",39,2
"0110301",162,6
"0110303",25,3
"0110401",121,6
"0110402",100,4
"0110404",18,0
"0130001",292,54
"0130002",323,120
"0130003",446,116
"0130004",48,6
"0130005",418,180
"0130006",48,2
"0130007",444,130
"0130008",187,45
"0130009",69,10
"0130010",394,85
"0130011",36,3
"0130012",403,106
"0130013",804,180
