CNTYVTD,HegarR_18G_Comptroller,ChevalierD_18G_Comptroller,SandersL_18G_Comptroller
"0010001",656,221,28
"0010002",1048,148,22
"0010003",563,87,11
"0010004",734,88,15
"0010005",177,8,4
"0010006",267,357,16
"0010007",86,433,12
"0010008",46,98,3
"0010009",549,121,24
"0010010",228,23,5
"0010011",481,134,18
"0010013",601,225,33
"0010015",480,50,8
"0010016",346,83,10
"0010017",335,93,7
"0010018",909,173,24
"0010019",783,216,30
"0010020",400,130,13
"0010021",844,112,22
"0010022",529,89,5
"0010023",690,69,16
"0010024",442,36,9
"0030001",701,184,20
"0030002",1271,161,38
"0030003",779,163,34
"0030004",536,160,26
"0050001",132,83,4
"0050002",247,735,15
"0050003",745,157,18
"0050004",352,258,9
"0050005",512,365,24
"0050006",202,34,4
"0050007",642,63,10
"0050008A",394,44,7
"0050008B",259,27,6
"0050009",150,36,5
"0050010A",220,196,8
"0050010B",27,24,0
"0050011",1088,96,11
"0050012",382,74,9
"0050013",185,134,11
"0050014",754,280,26
"0050015",299,51,4
"0050016",441,440,18
"0050017",812,104,20
"0050018",228,97,7
"0050019",648,244,24
"0050020",140,885,26
"0050021",509,145,14
"0050022",512,76,21
"0050023",298,43,9
"0050024",964,239,31
"0050025",974,172,31
"0050026",870,101,14
"0050027",200,18,5
"0050028",541,105,19
"0050029",688,121,9
"0050030",500,38,14
"0050031",149,50,2
"0050032",53,6,0
"0050033",671,45,11
"0050034",948,280,23
"0050035",824,212,17
"0050036",0,0,0
"0050037",217,42,8
"0050038",172,34,0
"0050039",186,79,3
"0050040",273,153,15
"005011B",452,94,13
"005017B",178,12,0
"0070001",932,204,28
"0070002",1024,447,46
"0070003",1947,507,63
"0070004",1780,441,56
"007001A",553,142,12
"007004A",564,121,15
"0090001",600,58,14
"0090002",524,51,8
"0090003",187,26,4
"0090004",370,12,4
"0090005",80,5,3
"0090006",518,66,17
"0090007",118,10,2
"0090008",179,26,6
"0090009",92,10,2
"0090010",428,62,5
"0090011",65,7,1
"0110101",213,9,5
"0110201",109,16,4
"0110202",40,7,2
"0110301",164,7,3
"0110303",24,7,2
"0110401",119,6,4
"0110402",97,6,4
"0110404",19,0,0
"0130001",280,84,8
"0130002",278,193,23
"0130003",396,212,21
"0130004",47,15,1
"0130005",350,323,29
"0130006",49,3,0
"0130007",395,216,40
"0130008",161,86,11
"0130009",67,11,2
"0130010",347,202,21
"0130011",34,8,1
"0130012",353,209,29
"0130013",725,331,31
"0130014",129,51,9
"0130015",449,329,28
"0130016",79,51,2
"0130017",279,492,40
"0130018",401,245,26
"0130019",145,49,5
"0130020",1500,372,54
"0130021",127,15,2
"0130022",322,69,7
"0130023",151,120,12
"0130024",529,269,29
"0150101",586,113,15
"0150102",633,141,16
"0150103",809,95,17
"0150104",399,71,3
"0150205",934,172,23
"0150206",301,48,5
"0150207",220,15,2
"0150208",371,54,9
"0150209",325,66,6
"0150210",384,58,3
"0150211",199,24,3
"0150312",358,22,7
"0150313",238,229,15
"0150314",1111,262,33
"0150415",550,163,11
"0150416",515,130,21
"0150417",234,95,5
"0150418",708,98,12
"0170001",355,104,16
"0170002",517,73,16
"0170003",192,74,9
"0170004A",91,84,12
"0170004B",6,4,1
"0190101",810,172,31
"0190102",1275,261,52
"0190203",937,271,57
"0190204",712,201,27
"0190305",1158,210,34
"0190306",781,113,24
"0190407",1162,216,40
"0190408",137,51,2
"0190409",324,91,13
"0190410",291,49,9
"0211001",1177,682,95
"0211002",669,637,76
"0211003",2138,1314,142
"0211004",606,520,59
"0212005",889,599,68
"0212006",564,273,34
"0212007",956,290,54
"0212008",419,172,18
"0212009",425,265,46
"0212010",554,214,36
"0212011",899,537,65
"0213012",408,116,26
"0213013",598,265,40
"0213014",622,560,44
"0213015",486,677,67
"0213016",827,613,56
"0214017",625,768,66
"0214018",277,119,13
"0214019",817,572,73
"0214020",930,952,113
"0214021",484,233,48
"0230001",299,35,11
"0230002",224,34,7
"0230003",215,36,5
"0230004",296,29,12
"0250001",575,365,29
"0250002",154,10,4
"0250003",413,258,35
"0250004",135,30,8
"0250005",122,45,3
"0250006",371,205,16
"0250008",92,22,7
"0250009",90,215,19
"0250010",189,295,24
"0250011",91,43,4
"0250012",117,51,2
"0250013",420,207,25
"0250014",82,50,1
"0250016",293,176,30
"0250017",249,230,15
"0250018",699,226,27
"0250019",71,147,10
"0270101",2755,860,127
"0270102",1274,429,59
"0270103",1692,701,82
"0270104",3234,904,136
"0270105",722,120,13
"0270106",689,1289,104
"0270107",189,79,7
"0270108",766,128,24
"0270109",376,547,46
"0270110",187,154,15
"0270111",1682,910,123
"0270113",126,36,3
"0270201",782,663,64
"0270202",1831,1094,118
"0270203",3615,729,123
"0270204",420,511,38
"0270205",660,1209,74
"0270206",322,512,41
"0270207",439,867,77
"0270208",1011,1865,119
"0270209",1787,1795,127
"0270210",1103,1568,108
"0270301",1600,280,66
"0270302",1289,743,59
"0270303",1254,958,94
"0270304",324,100,8
"0270305",1114,435,44
"0270306",360,500,36
"0270307",287,723,43
"0270308",443,449,33
"0270309",405,50,9
"0270310",272,29,5
"0270311",1369,245,41
"0270312",822,148,16
"0270313",1203,410,44
"0270314",727,509,58
"0270315",2245,1050,169
"0270317",2835,1183,115
"0270401",504,145,33
"0270402",1008,416,30
"0270404A",635,1184,71
"0270404B",0,0,0
"0270405",540,1358,87
"0270406",491,523,37
"0270408",871,1568,84
"0270409",451,422,44
"0270410",264,424,34
"0270412",513,1510,86
"0270413",837,1784,109
"0291001",85,307,8
"0291002",125,217,9
"0291003",151,783,52
"0291004",50,283,8
"0291005",46,229,17
"0291006",155,680,27
"0291007",120,459,13
"0291008",163,814,32
"0291009",287,451,42
"0291010",57,243,10
"0291011",45,133,5
"0291012",247,539,42
"0291013",123,774,40
"0291014",62,374,11
"0291015",82,367,14
"0291016",67,338,15
"0291017",27,50,2
"0291018",170,633,33
"0291019",57,235,12
"0291020",206,700,52
"0291021",134,491,21
"0291022",76,282,9
"0291023",111,700,35
"0291024",484,893,65
"0291025",23,144,10
"0291026",82,359,15
"0291027",45,65,5
"0291028",89,269,18
"0291029",134,579,28
"0291030",8,6,3
"0291031",85,418,24
"0291032",104,662,41
"0291033",207,438,41
"0291034",772,827,90
"0291035",106,91,12
"0291036",556,856,74
"0291037",243,624,35
"0291038",396,804,51
"0291039",175,626,32
"0291040",161,749,44
"0291041",130,546,28
"0291042",80,337,10
"0291043",190,390,24
"0291044",177,663,34
"0291045",270,966,52
"0291046",155,632,24
"0291047",130,468,17
"0291048",181,618,41
"0291049",228,686,21
"0291050",158,406,28
"0291051",273,525,19
"0291052",207,552,22
"0291053",26,62,3
"0291054",216,682,35
"0291055",340,645,57
"0291056",360,732,63
"0291057",393,433,47
"0291058",457,508,40
"0291059",54,77,7
"0291060",178,789,48
"0291061",163,641,43
"0291062",33,29,0
"0291063",356,358,31
"0291064",219,253,29
"0291065",404,484,50
"0291066",93,179,14
"0291067",737,531,48
"0291068",214,287,26
"0291069",138,145,16
"0291070",139,270,13
"0291071",290,536,40
"0291072",215,613,28
"0291073A",620,826,66
"0291073B",81,107,9
"0291074",4,5,0
"0291075",151,533,26
"0291076",424,778,53
"0291077",118,538,16
"0291078",23,167,10
"0291079",751,1429,124
"0291080A",383,1209,93
"0291080B",4,12,1
"0291081",602,239,19
"0291082",659,1356,103
"0291083",563,860,64
"0291084",207,491,32
"0291085",173,443,16
"0291086",319,719,41
"0291087",156,397,20
"0291088",66,263,10
"0291089",272,360,27
"0291090",0,0,0
"0291091",249,660,42
"0291092",63,241,10
"0291093",168,246,29
"0291094",214,498,48
"0291095",31,45,8
"0291096",2,7,0
"0291097",73,227,17
"0291098",48,260,20
"0291099",784,1515,101
"0291100",452,801,62
"0291101",0,0,0
"0291102",225,176,19
"0291103",121,102,11
"0291104",601,939,87
"0291105",81,144,12
"0291106",0,0,0
"0291107",444,628,37
"0291108",1289,1515,131
"0291109",2,1,0
"0291110",786,1296,104
"0291111",911,1421,116
"0291112",496,1221,85
"0291113",492,826,65
"0291114",0,0,0
"0291115",37,50,2
"0291116",279,273,28
"0291117",51,99,4
"0291118",562,626,62
"0291119",10,29,3
"0291120",7,31,0
"0291121",1116,1389,129
"0291122A",998,1182,67
"0291122B",10,12,1
"0291122C",19,21,1
"0291123",112,127,9
"0291124",93,180,19
"0291125A",441,519,56
"0291125B",0,0,0
"0291125C",9,10,1
"0291126",0,0,0
"0291127",46,164,6
"0291128",189,333,34
"0291129",98,141,11
"0291130",0,0,0
"0291131",0,0,0
"0291132",0,2,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",51,78,6
"0291137",0,0,0
"0291138",52,151,16
"0291139",127,289,27
"0291140",193,329,31
"0291141",303,461,50
"0291142",223,519,40
"0291143",641,727,61
"0291144A",1084,520,35
"0291144B",68,32,2
"0291144C",54,25,1
"0291145",243,155,18
"0291146",42,31,3
"0292001",31,198,14
"0292002",62,356,14
"0292003",80,549,28
"0292004",133,732,38
"0292005",83,336,25
"0292006",0,5,0
"0292007",94,478,26
"0292008",56,290,10
"0292009",226,561,34
"0292010",256,376,56
"0292011",91,561,37
"0292012",62,391,21
"0292013",105,378,22
"0292014",113,381,21
"0292015",73,463,29
"0292016",35,322,12
"0292017",42,273,17
"0292018",104,409,19
"0292019",69,442,26
"0292020",87,686,33
"0292021",152,721,34
"0292022",80,407,22
"0292023",245,960,50
"0292024",170,507,43
"0292025",232,825,52
"0292026",311,744,33
"0292027",195,492,23
"0292028",374,810,58
"0292029",76,331,15
"0292030",76,404,19
"0292031",68,416,15
"0292032",35,160,6
"0292033",40,172,4
"0292034",51,206,13
"0292035",215,598,40
"0292036",427,643,39
"0292037",416,399,37
"0292038",306,482,36
"0292039",127,531,32
"0292040",284,769,45
"0292041",276,921,34
"0292042",100,467,19
"0292043",109,539,37
"0292044",173,571,37
"0292045",258,877,47
"0292046",302,858,48
"0292047",238,619,39
"0292048",115,499,37
"0292049",317,845,60
