CNTYVTD,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0010001",699,214,11
"0010002",1090,134,13
"0010003",593,80,2
"0010004",767,77,9
"0010005",182,8,1
"0010006",286,354,9
"0010007",104,427,4
"0010008",48,96,4
"0010009",576,120,10
"0010010",241,17,2
"0010011",509,126,10
"0010013",635,224,15
"0010015",494,48,2
"0010016",367,73,8
"0010017",350,90,3
"0010018",946,162,10
"0010019",828,212,10
"0010020",417,132,7
"0010021",872,109,6
"0010022",549,81,4
"0010023",716,59,5
"0010024",463,25,6
"0030001",733,175,6
"0030002",1293,179,17
"0030003",818,162,7
"0030004",556,171,8
"0050001",134,84,1
"0050002",276,719,8
"0050003",775,150,5
"0050004",365,256,4
"0050005",525,373,12
"0050006",205,33,3
"0050007",653,72,3
"0050008A",411,42,4
"0050008B",267,26,3
"0050009",158,36,0
"0050010A",232,194,4
"0050010B",28,24,0
"0050011",1110,95,3
"0050012",399,74,2
"0050013",195,133,7
"0050014",781,285,11
"0050015",300,52,4
"0050016",475,426,7
"0050017",844,92,9
"0050018",233,101,3
"0050019",677,244,13
"0050020",159,882,11
"0050021",525,143,5
"0050022",540,72,4
"0050023",301,47,4
"0050024",1006,234,10
"0050025",994,177,13
"0050026",888,100,10
"0050027",203,18,3
"0050028",550,112,9
"0050029",705,112,7
"0050030",517,33,10
"0050031",151,50,0
"0050032",53,6,0
"0050033",686,43,5
"0050034",982,271,16
"0050035",857,203,9
"0050036",0,0,0
"0050037",225,38,5
"0050038",174,35,0
"0050039",194,78,2
"0050040",296,143,7
"005011B",472,86,6
"005017B",180,12,2
"0070001",970,199,12
"0070002",1082,437,18
"0070003",2020,500,31
"0070004",1852,410,36
"007001A",573,135,3
"007004A",578,116,8
"0090001",615,61,2
"0090002",537,47,5
"0090003",192,26,2
"0090004",381,10,4
"0090005",83,6,1
"0090006",541,70,4
"0090007",122,9,1
"0090008",187,23,2
"0090009",95,8,1
"0090010",443,55,5
"0090011",63,8,1
"0110101",227,8,1
"0110201",113,19,4
"0110202",43,6,1
"0110301",169,8,3
"0110303",28,7,1
"0110401",123,5,2
"0110402",100,6,2
"0110404",19,0,0
"0130001",289,84,4
"0130002",313,178,7
"0130003",435,190,12
"0130004",50,15,0
"0130005",403,301,5
"0130006",52,1,0
"0130007",460,197,6
"0130008",184,76,2
"0130009",70,9,2
"0130010",392,186,8
"0130011",35,7,1
"0130012",395,195,7
"0130013",793,301,10
"0130014",148,42,3
"0130015",492,321,10
"0130016",87,45,0
"0130017",375,439,15
"0130018",468,221,6
"0130019",155,48,2
"0130020",1574,347,35
"0130021",127,16,0
"0130022",332,68,5
"0130023",167,112,6
"0130024",565,256,12
"0150101",597,116,10
"0150102",630,152,8
"0150103",808,103,13
"0150104",404,68,3
"0150205",957,169,14
"0150206",309,44,3
"0150207",216,19,3
"0150208",390,49,2
"0150209",335,63,4
"0150210",386,57,4
"0150211",203,23,2
"0150312",357,28,5
"0150313",251,233,2
"0150314",1120,277,24
"0150415",556,166,4
"0150416",535,126,14
"0150417",241,94,3
"0150418",714,110,5
"0170001",383,102,6
"0170002",536,79,2
"0170003",210,73,4
"0170004A",104,89,5
"0170004B",6,5,0
"0190101",845,164,11
"0190102",1326,253,24
"0190203",995,259,20
"0190204",736,195,15
"0190305",1194,209,10
"0190306",807,109,12
"0190407",1188,223,15
"0190408",136,48,3
"0190409",336,92,5
"0190410",303,48,5
"0211001",1253,693,42
"0211002",738,627,36
"0211003",2263,1319,66
"0211004",644,526,25
"0212005",952,595,40
"0212006",602,267,22
"0212007",997,276,33
"0212008",437,171,10
"0212009",463,260,23
"0212010",578,222,16
"0212011",954,531,46
"0213012",432,114,16
"0213013",643,257,22
"0213014",673,549,18
"0213015",525,693,31
"0213016",872,608,35
"0214017",661,786,32
"0214018",282,126,8
"0214019",860,575,42
"0214020",1002,972,53
"0214021",520,240,24
"0230001",313,32,7
"0230002",240,33,2
"0230003",226,31,2
"0230004",313,33,4
"0250001",673,313,10
"0250002",153,11,3
"0250003",479,231,10
"0250004",148,25,2
"0250005",135,37,1
"0250006",421,176,4
"0250008",101,19,2
"0250009",141,193,3
"0250010",269,251,11
"0250011",111,30,1
"0250012",133,41,1
"0250013",466,186,7
"0250014",96,41,0
"0250016",339,168,13
"0250017",314,199,1
"0250018",758,202,16
"0250019",90,138,5
"0270101",2886,847,63
"0270102",1352,414,30
"0270103",1772,694,43
"0270104",3346,922,71
"0270105",751,109,7
"0270106",782,1270,45
"0270107",197,74,6
"0270108",787,131,8
"0270109",414,548,12
"0270110",202,149,8
"0270111",1776,913,55
"0270113",130,33,2
"0270201",827,665,30
"0270202",1933,1104,39
"0270203",3688,748,76
"0270204",440,513,19
"0270205",741,1182,34
"0270206",358,503,22
"0270207",493,869,41
"0270208",1105,1855,55
"0270209",1884,1778,76
"0270210",1217,1534,46
"0270301",1661,265,38
"0270302",1350,732,31
"0270303",1343,950,39
"0270304",337,96,3
"0270305",1153,436,26
"0270306",389,496,18
"0270307",315,733,9
"0270308",488,425,22
"0270309",426,44,1
"0270310",274,33,1
"0270311",1412,240,14
"0270312",854,148,6
"0270313",1258,399,25
"0270314",771,507,26
"0270315",2364,1060,78
"0270317",2961,1174,57
"0270401",528,142,15
"0270402",1047,402,20
"0270404A",715,1171,28
"0270404B",0,0,0
"0270405",610,1360,30
"0270406",547,498,19
"0270408",985,1527,27
"0270409",481,417,23
"0270410",282,429,14
"0270412",583,1504,34
"0270413",942,1760,46
"0291001",103,303,5
"0291002",142,210,5
"0291003",199,779,22
"0291004",69,273,4
"0291005",72,220,5
"0291006",220,641,3
"0291007",166,424,6
"0291008",181,822,18
"0291009",339,435,10
"0291010",68,241,5
"0291011",57,127,2
"0291012",301,523,20
"0291013",184,746,14
"0291014",91,359,4
"0291015",110,355,5
"0291016",99,325,6
"0291017",37,46,0
"0291018",221,607,14
"0291019",79,224,4
"0291020",288,664,16
"0291021",188,461,7
"0291022",105,264,4
"0291023",168,677,10
"0291024",585,851,21
"0291025",37,139,2
"0291026",95,359,4
"0291027",49,65,3
"0291028",115,265,8
"0291029",187,558,7
"0291030",8,7,2
"0291031",119,409,6
"0291032",161,639,14
"0291033",252,416,21
"0291034",869,801,27
"0291035",114,95,4
"0291036",648,825,28
"0291037",295,607,7
"0291038",464,779,16
"0291039",210,619,10
"0291040",240,709,17
"0291041",159,546,9
"0291042",110,321,3
"0291043",218,384,3
"0291044",238,638,11
"0291045",363,928,15
"0291046",205,618,3
"0291047",176,445,5
"0291048",245,596,8
"0291049",280,659,9
"0291050",217,375,9
"0291051",333,480,8
"0291052",259,522,8
"0291053",31,60,0
"0291054",292,651,9
"0291055",412,623,19
"0291056",450,710,15
"0291057",455,402,17
"0291058",516,477,15
"0291059",63,73,2
"0291060",255,767,11
"0291061",214,632,11
"0291062",35,26,0
"0291063",397,338,13
"0291064",254,244,8
"0291065",486,452,12
"0291066",112,170,4
"0291067",827,488,14
"0291068",241,274,15
"0291069",162,137,6
"0291070",162,255,5
"0291071",359,502,13
"0291072",256,590,15
"0291073A",690,814,22
"0291073B",91,106,4
"0291074",4,5,0
"0291075",196,511,7
"0291076",495,753,23
"0291077",157,520,5
"0291078",43,156,0
"0291079",888,1391,50
"0291080A",507,1185,26
"0291080B",5,12,0
"0291081",622,231,18
"0291082",830,1274,39
"0291083",643,837,25
"0291084",266,464,12
"0291085",206,421,3
"0291086",397,676,12
"0291087",186,385,9
"0291088",85,252,2
"0291089",316,335,14
"0291090",0,0,0
"0291091",327,626,15
"0291092",85,232,3
"0291093",195,238,14
"0291094",277,478,14
"0291095",37,44,4
"0291096",2,7,0
"0291097",96,222,4
"0291098",56,264,9
"0291099",909,1472,49
"0291100",531,773,17
"0291101",0,0,0
"0291102",244,174,6
"0291103",135,100,2
"0291104",698,901,37
"0291105",88,142,7
"0291106",0,0,0
"0291107",510,595,11
"0291108",1433,1451,78
"0291109",2,1,0
"0291110",962,1215,28
"0291111",1079,1351,46
"0291112",606,1183,33
"0291113",565,801,34
"0291114",0,0,0
"0291115",44,46,1
"0291116",313,271,6
"0291117",62,91,0
"0291118",638,600,26
"0291119",12,33,2
"0291120",10,29,0
"0291121",1265,1327,60
"0291122A",1093,1145,38
"0291122B",11,12,0
"0291122C",20,21,0
"0291123",132,118,0
"0291124",119,179,3
"0291125A",501,509,20
"0291125B",0,0,0
"0291125C",10,10,0
"0291126",0,0,0
"0291127",70,150,3
"0291128",225,317,13
"0291129",112,135,4
"0291130",0,0,0
"0291131",0,0,0
"0291132",1,1,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",69,65,2
"0291137",0,0,0
"0291138",63,150,9
"0291139",145,298,8
"0291140",230,316,12
"0291141",357,435,27
"0291142",286,494,11
"0291143",714,709,30
"0291144A",1135,508,10
"0291144B",71,32,0
"0291144C",57,25,0
"0291145",273,145,3
"0291146",43,34,1
"0292001",49,194,5
"0292002",86,352,3
"0292003",113,545,12
"0292004",176,721,10
"0292005",116,324,11
"0292006",0,5,0
"0292007",137,466,2
"0292008",77,275,8
"0292009",245,566,21
"0292010",295,375,33
"0292011",129,554,12
"0292012",79,396,2
"0292013",144,364,4
"0292014",146,365,5
"0292015",99,461,8
"0292016",62,309,3
"0292017",59,276,2
"0292018",134,399,3
"0292019",103,431,10
"0292020",122,681,12
"0292021",216,690,8
"0292022",119,397,5
"0292023",311,946,15
"0292024",218,497,13
"0292025",296,807,19
"0292026",375,713,18
"0292027",248,463,9
"0292028",415,824,24
"0292029",102,325,1
"0292030",111,387,5
"0292031",84,415,5
"0292032",46,151,3
"0292033",47,169,2
"0292034",61,209,5
"0292035",226,625,20
"0292036",408,680,33
"0292037",459,388,17
"0292038",334,486,17
"0292039",149,535,16
"0292040",335,736,23
"0292041",351,886,8
"0292042",142,439,8
"0292043",167,519,6
"0292044",205,573,12
"0292045",293,886,22
"0292046",367,837,24
"0292047",300,587,13
"0292048",139,498,14
"0292049",407,794,19
"0292050",298,574,10
"0292051",85,177,5
"0292052",97,289,4
"0292053",126,386,5
"0292054",251,852,24
"0292055",317,956,30
"0292056",173,433,8
"0292057",246,610,11
"0292058",285,606,14
"0292059",256,648,13
"0292060",194,436,10
"0292061",245,303,12
"0292062",228,353,8
"0292063A",342,173,11
"0292063B",383,195,14
"0292063C",13,7,1
"0292064",445,672,32
"0292065",733,1236,39
"0292066",1169,1020,43
"0292067",41,123,1
"0292068",1096,1131,57
"0292069",512,829,26
"0292070",134,564,8
"0292071",53,184,1
"0292072",710,902,37
"0292073",167,353,10
"0292074",74,231,0
"0292075",56,278,4
"0292076",609,647,39
"0292077",654,642,22
"0292078",448,670,23
"0292079",42,164,4
"0292080",198,384,9
"0292081",147,258,8
"0292082",231,435,7
"0292083",102,298,6
"0292084",1223,850,53
"0292085",201,439,7
"0292086",799,914,33
"0292087",576,485,15
"0292088",774,1152,36
"0292089",43,111,3
"0292090",254,535,15
"0292091",402,873,31
"0292092",100,114,7
"0292093",213,296,9
"0292094",76,46,2
"0292095A",692,353,26
"0292095B",249,125,6
"0292096",319,654,28
"0292097",465,720,25
"0292098",223,367,13
"0292099",425,449,27
"0292100",216,351,14
"0292101",475,310,18
"0292102",668,750,30
"0292103",16,86,1
"0292104",20,82,2
"0292105",43,170,1
"0292106",79,141,6
"0292107",594,774,29
"0292108",395,306,13
"0292109",0,3,0
"0292110",268,317,18
"0292111",202,315,6
"0292112",398,513,16
"0292113",12,21,1
"0292114",348,639,24
"0292115",1291,1002,41
"0292116",0,2,0
"0292117",54,191,1
"0292118",1,12,0
"0292119",29,111,3
"0292120",277,294,11
"0292121",100,124,4
"0292122",168,496,23
"0292123",612,461,16
"0292124",197,224,5
"0292125",1339,1448,70
"0292126",262,370,8
"0292127",654,723,36
"0292128",174,576,9
"0292129",1,2,0
"0292130",462,635,21
"0292131",67,114,7
"0292132",1,0,0
"0292133",88,96,2
"0292134",170,354,11
"0292135",93,192,4
"0292136",1002,1083,39
"0292137",217,328,12
"0292138",198,277,10
"0292139",512,518,18
"0292140",251,440,13
"0292141",315,409,21
"0292142",76,166,7
"0292143",534,532,18
"0292144",387,633,21
"0292145",92,113,4
"0292146",9,26,0
"0292147",97,138,1
"0292148",527,1089,38
"0292149",281,548,18
"0292150",0,3,0
"0292151",2,7,0
"0292152",57,193,10
"0292153",59,99,3
"0292154A",172,91,7
"0292154B",112,59,4
"0292155",1,0,0
"0292156",185,386,14
"0292157",0,0,0
"0292158",0,0,0
"0292159",44,56,4
"0292160",7,5,0
"0293001",1104,745,32
"0293002",683,631,21
"0293003",27,16,2
"0293004",0,1,0
"0293005",1019,394,23
"0293006",391,311,13
"0293007",874,672,27
"0293008",47,16,0
"0293009",8,2,0
"0293010",113,167,2
"0293011",386,297,12
"0293012",474,158,4
"0293013",494,578,22
"0293014",167,155,4
"0293015",292,307,13
"0293016",71,58,1
"0293017A",1116,362,22
"0293017B",44,14,1
"0293018",746,483,39
"0293019",118,198,12
"0293020",935,830,40
"0293021",1331,407,33
"0293022",610,458,22
"0293023",623,742,20
"0293024",0,0,0
"0293025",684,466,31
"0293026",649,401,27
"0293027",565,388,26
"0293028",631,484,16
"0293029",369,362,15
"0293030",958,512,23
"0293031",8,7,0
"0293032",441,654,23
"0293033",961,392,27
"0293034",1505,316,33
"0293035",232,250,2
"0293036",809,1173,48
"0293037",786,823,30
"0293038",419,356,17
"0293039",1586,761,41
"0293040",669,588,25
"0293041",218,142,8
"0293042",961,543,27
"0293043",1178,469,27
"0293044",519,406,13
"0293045",699,326,21
"0293046",551,410,28
"0293047",691,564,33
"0293048",550,501,23
"0293049",936,548,26
"0293050",430,271,7
"0293051",169,84,8
"0293052",1568,1057,46
"0293053",673,457,27
"0293054",426,533,16
"0293055",1416,395,31
"0293056",411,576,21
"0293057",211,160,7
"0293058",711,970,47
"0293059",572,397,10
"0293060",596,556,20
"0293061",487,533,23
"0293062",16,9,1
"0293063",647,566,22
"0293064",133,145,6
"0293065",11,24,1
"0293066",653,550,23
"0293067",575,452,19
"0293068",408,798,23
"0293069",1092,927,33
"0293070",984,722,29
"0293071",650,761,22
"0293072",1425,821,26
"0293073",513,464,19
"0293074",982,709,33
"0293075",1494,644,37
"0293076",652,322,13
"0293077",935,682,30
"0293078",1063,697,41
"0293079",1224,798,36
"0293080",405,286,13
"0293081",741,613,24
"0293082",730,625,27
"0293083",568,375,29
"0293084",996,783,41
"0293085",420,340,16
"0293086",680,482,25
"0293087",567,355,16
"0293088",1218,717,36
"0293089",2077,705,43
"0293090",1063,731,45
"0293091",487,147,9
"0293092",1335,510,36
"0293093",1774,974,47
"0293094",1336,708,22
"0293095",495,804,28
"0293096A",1312,759,35
"0293096B",0,0,0
"0293097",4,0,0
"0293098",448,340,24
"0293099",1129,822,36
"0293100",873,804,36
"0293101",894,659,22
"0293102",1217,727,43
"0293103",158,191,6
"0293104",1002,647,34
"0293105",982,756,30
"0293106",736,348,12
"0293107",358,496,24
"0293108",659,333,15
"0293109",665,829,28
"0293110",888,795,34
"0293111",0,2,0
"0293112",287,470,16
"0293113",185,326,15
"0293114",1102,428,19
"0293115",795,494,27
"0293116",435,469,20
"0293117",1197,764,39
"0293118",308,268,11
"0293119",1092,1020,47
"0293120",927,856,48
"0293121",1410,1027,45
"0293122",775,557,28
"0293123",211,112,4
"0293124",1093,701,24
"0293125A",1298,701,31
"0293125B",2,1,0
"0293126",675,363,16
"0293127",907,987,42
"0293128",21,19,1
"0293129",815,940,58
"0293130",849,371,13
"0293131",0,3,0
"0293132",251,399,12
"0293133",0,0,0
"0293134",466,1011,29
"0293135",234,286,11
"0293136",166,145,7
"0293137",1433,987,49
"0293138",32,5,0
"0293139",340,429,16
"0293140",93,141,5
"0293141",323,415,13
"0293142",67,104,2
"0293143",434,449,15
"0293144",73,66,4
"0293145",1080,723,24
"0293146",823,1013,44
"0293147",721,743,25
"0293148",487,251,13
"0293149",316,1244,31
"0293150",8,8,0
"0293151",1644,1195,55
"0293152",287,483,25
"0293153",503,405,21
"0293154",719,377,17
"0293155",888,533,30
"0293156",10,7,0
"0293157",990,699,35
"0293158A",18,11,1
