CNTYVTD,GohmertR_18G_U.S. Rep 1,McKellarD_18G_U.S. Rep 1,CallawayL_18G_U.S. Rep 1
"0050001",129,86,3
"0050002",256,732,9
"0050003",756,164,8
"0050004",358,260,3
"0050005",514,374,17
"0050006",202,34,4
"0050007",643,71,8
"0050008A",398,47,7
"0050008B",260,30,5
"0050009",149,44,2
"0050010A",229,193,3
"0050010B",28,24,0
"0050011",1095,94,11
"0050012",388,79,7
"0050013",190,131,10
"0050014",766,295,14
"0050015",295,58,2
"0050016",446,440,17
"0050017",827,109,8
"0050018",221,107,6
"0050019",644,273,19
"0050020",145,893,15
"0050021",510,156,5
"0050022",523,86,8
"0050023",301,44,3
"0050024",986,241,18
"0050025",989,184,11
"0050026",883,104,9
"0050027",202,21,1
"0050028",549,109,10
"0050029",695,120,11
"0050030",508,42,8
"0050031",150,50,1
"0050032",53,6,0
"0050033",681,51,2
"0050034",929,307,23
"0050035",832,226,7
"0050036",0,0,0
"0050037",218,44,5
"0050038",172,35,1
"0050039",187,82,4
"0050040",281,156,6
"005011B",466,90,6
"005017B",177,14,3
"1830001",685,255,20
"1830002",1547,554,38
"1830003",1380,515,34
"1830004",1610,427,33
"1830005",1600,416,28
"1830006",1152,203,21
"1830007",1348,298,31
"1830008",1756,571,34
"1830009",1759,622,45
"1830010",1209,632,28
"1830011",1735,530,26
"1830012",2126,277,36
"1830013",1042,319,16
"1830014",1944,334,19
"1830015",377,206,11
"1830016",1728,328,26
"1830017",167,183,5
"1830018",832,973,20
"1830019",229,1282,10
"1830020",256,886,10
"1830021",330,753,17
"2030001",829,378,21
"2030002",285,505,8
"2030003",69,746,7
"2030004",519,324,11
"2030005",417,108,8
"2030006",613,143,13
"2030007",392,152,9
"2030008",1135,384,24
"2030009",528,244,8
"2030010",477,130,4
"2030011",178,94,5
"2030012",2248,359,38
"2030013",764,84,10
"2030014",607,166,9
"2030015",571,59,7
"2030016",281,57,1
"2030017",406,396,9
"2030018",395,75,6
"2030019",1423,309,31
"2030020",989,266,14
"2030021",275,124,4
"2030022",344,460,11
"2030023",303,14,2
"2030024",262,56,3
"2030025",1705,275,38
"2030026",258,51,1
"3470012",941,180,15
"3470013",694,114,9
"3470014",1312,305,23
"3470015",753,123,8
"3470016",1325,333,22
"3470017",115,95,3
"3470021",828,219,16
"3470022",25,29,2
"3470023",90,88,12
"3470024",157,469,15
"3470025",30,25,2
"3470026",762,811,39
"3470027",42,552,6
"3470030",57,129,6
"3470031",180,224,18
"3470032",781,1208,61
"3470033",1876,999,69
"3470034",43,35,0
"3470041",280,259,11
"3470042",553,300,11
"3470043",616,199,13
"3470044",868,148,12
"3470045",424,64,3
"3470046",445,110,3
"3470047",504,57,12
"3650001",832,192,10
"3650002",956,212,7
"3650003",579,154,5
"3650005",257,26,4
"3650007",298,76,8
"3650008",104,17,2
"3650009",327,52,3
"3650010",148,47,2
"3650012",251,6,3
"3650013",135,46,1
"3650014",238,18,2
"3650018",1015,173,6
"3650019",179,12,0
"3650020",176,2,1
"3650022",100,84,1
"3650026",74,30,0
"3650027",308,231,0
"3650028",940,171,6
"3650029",188,10,2
"4010111",429,77,6
"4010112",786,156,11
"4010113",1198,301,18
"4010114",665,134,10
"4010201",384,83,6
"4010212",429,76,7
"4010213",835,177,7
"4010214",1139,347,15
"4010215",821,289,9
"4010302",294,254,3
"4010303",382,309,12
"4010314A",484,52,5
"4010314B",44,3,0
"4010315",410,37,5
"4010316",244,16,5
"4010317",178,117,3
"4010318",474,124,10
"4010319",114,86,4
"4010404",821,151,14
"4010405",580,126,18
"4010416",405,78,9
"4010417",581,154,8
"4010418",967,227,7
"4030001",918,96,7
"4030002",758,81,5
