CNTYVTD,McCaulR_18G_U.S. Rep 10,SiegelD_18G_U.S. Rep 10,RyanL_18G_U.S. Rep 10
"0150101",582,124,10
"0150102",626,152,14
"0150103",792,109,18
"0150104",392,78,5
"0150205",933,183,14
"0150206",303,50,3
"0150207",208,23,5
"0150208",373,58,4
"0150209",321,73,6
"0150210",386,59,4
"0150211",200,26,2
"0150312",357,28,4
"0150313",229,250,7
"0150314",1093,291,30
"0150415",525,186,13
"0150416",515,144,14
"0150417",232,100,7
"0150418",696,113,14
"0211001",1144,752,64
"0211002",662,679,45
"0211004",592,550,47
"0212005",859,675,41
"0212006",560,295,20
"0212009",408,284,47
"0212010",541,236,30
"0212011",889,567,61
"0214017",599,826,43
"0214019",810,613,50
"0214020",906,1031,73
"0214021",484,255,36
"0890101",854,313,18
"0890102",129,30,8
"0890103",317,48,6
"0890201",1329,341,20
"0890202",272,42,9
"0890302",612,100,5
"0890303",346,44,4
"0890304",272,41,7
"0890305",795,204,16
"0890401",153,73,3
"0890402",625,494,14
"1490002",101,29,1
"1490003",222,39,2
"1490004",431,96,2
"1490005",150,14,1
"1490006",249,62,7
"1490007",347,76,6
"1490008",217,37,3
"1490009",136,42,2
"1490010",351,48,6
"1490011",240,38,2
"1490012",193,54,3
"1490013",302,82,11
"1490014",145,21,6
"1490015",190,37,2
"1490016",685,232,17
"1490017",245,34,1
"149001E",442,83,5
"149001N",901,342,25
"149001W",365,94,4
"1490020",410,74,2
"1490021",138,25,4
"1490022",99,28,2
"1490023",135,27,2
"1490024",144,27,1
"1490025",1053,326,15
"1490026",291,62,1
"2010049",1360,835,43
"2010111",2114,1185,76
"2010114",1764,748,56
"2010119",2160,731,81
"2010121",307,186,7
"2010124",3270,1142,77
"2010126",1882,375,32
"2010127",662,260,16
"2010143A",0,0,0
"2010143B",286,220,6
"2010143C",1099,845,24
"2010149",1934,1969,61
"2010173",1958,789,49
"2010300",2620,1076,76
"2010331",828,704,28
"2010362",1987,1078,58
"2010370",1910,969,47
"2010405",1056,429,22
"2010442",2132,648,53
"2010480",1121,619,30
"2010481",1396,606,41
"2010503",1130,447,37
"2010511",2214,1821,56
"2010519",1035,576,32
"2010529",1780,362,53
"2010547",908,506,39
"2010552",1967,597,42
"2010598",767,1901,42
"2010602",555,297,9
"2010603",1331,1300,47
"2010618",697,1210,30
"2010624",310,120,5
"2010639",1058,353,25
"2010641",1097,908,30
"2010688",1994,661,45
"2010690",1618,645,38
"2010691",1805,633,34
"2010720",1681,1046,64
"2010726",1211,185,19
"2010731A",573,959,22
"2010731B",282,469,8
"2010734",1669,1048,46
"2010751",2022,1583,64
"2010768",1171,450,30
"2010785",864,1088,38
"2010796",564,1015,26
"2010805",1377,450,42
"2010806",778,555,27
"2010813",731,1283,28
"2010817",1994,1028,42
"2010828",964,325,23
"2010901",0,0,0
"2010923",1717,725,31
"2010982",2007,860,63
"2870101",614,230,16
"2870102",71,60,0
"2870103",121,14,0
"2870201",350,26,0
"2870202",778,142,13
"2870203",202,29,1
"2870304",110,30,1
"2870401",291,103,4
"2870402",44,32,2
"2870403",136,33,0
"2870404",290,122,6
"4530103",255,691,28
"4530104",230,551,25
"4530105",1148,3966,151
"4530106",907,1233,70
"4530108",142,808,33
"4530114",54,101,6
"4530118",29,327,7
"4530123",1419,2529,135
"4530125",0,0,0
"4530127",0,1,0
"4530131",0,1,0
"4530136",798,1138,64
"4530138",0,0,0
"4530140",171,949,34
"4530141",47,237,9
"4530142",62,668,22
"4530146",720,1148,62
"4530149",120,1266,31
"4530150",684,733,50
"4530153",690,2554,108
"4530154",494,1737,63
"4530156",453,3252,107
"4530200",390,3662,112
"4530203",170,474,21
"4530211",253,937,34
"4530212",1701,1441,51
"4530217",259,1145,43
"4530218",833,3106,138
"4530222",366,1385,60
"4530227",137,362,9
"4530228",437,978,43
"4530235",292,2132,67
"4530236",354,2143,63
"4530237",585,1113,30
"4530239",364,1591,43
"4530240",208,600,34
"4530241",210,1350,48
"4530242",604,3978,118
"4530243",323,1171,46
"4530245",363,445,22
"4530246",425,977,35
"4530248",310,1499,41
"4530249",660,1613,60
"4530252",435,1547,66
"4530253",899,1403,53
"4530258",481,1249,58
"4530260",118,584,22
"4530262",920,2464,94
"4530266",198,210,4
"4530268",171,612,31
"4530273",451,1881,68
"4530321",206,359,3
"4530323",248,1103,40
"4530326",495,1039,27
"4530327",869,1345,54
"4530331",665,1267,43
"4530333",768,1271,51
"4530334",972,1126,42
"4530335",607,1059,30
"4530336",589,982,43
"4530337",1038,1895,87
"4530343",488,1115,61
"4530374",2191,2094,114
"4530375",381,267,29
"4730101",701,264,12
"4730102",435,370,5
"4730103",353,276,6
"4730104",230,114,6
"4730105",394,74,7
"4730206",1306,235,22
"4730207",1573,227,37
"4730208",524,223,12
"4730309",27,1631,12
"4730310",151,727,14
"4730311",312,126,8
"4730312",812,160,11
"4730313",189,92,8
"4730414",89,112,3
"4730415",619,200,21
"4730416",304,309,12
"4730417",176,358,3
"4730418",1225,322,29
"4730419",116,34,5
"4730420A",683,194,8
"4730420B",0,0,0
"4770101",457,234,11
"4770104",221,577,10
"4770109",528,104,9
"4770115",408,113,5
"4770117",4,16,0
"4770121",27,15,1
"4770202",73,44,0
"4770203",873,206,19
"4770205",1160,304,26
"4770208",832,97,15
"4770307",637,183,12
"4770311",568,106,19
"4770312",635,93,8
"4770316",97,30,3
"4770320",1070,135,11
"4770406",654,227,24
"4770410",625,107,5
"4770413",469,77,9
"4770414",468,58,6
"4770418",231,96,10
"4770419",225,90,3
