CNTYVTD,ConawayR_18G_U.S. Rep 11,LeederD_18G_U.S. Rep 11,SmithL_18G_U.S. Rep 11
"0030001",733,170,10
"0030002",1296,168,24
"0030003",817,159,9
"0030004",573,159,5
"0490101",1214,175,9
"0490105",859,112,11
"0490109",167,9,1
"0490113",904,118,22
"0490202",425,112,10
"0490204",329,113,10
"0490212",447,46,2
"0490214",363,48,4
"0490215",156,8,1
"0490303",503,97,10
"0490306",916,97,14
"0490307",365,40,8
"0490308",313,19,5
"0490316",139,9,2
"0490318",834,94,19
"0490410",1204,122,15
"0490411",416,121,14
"0490417",1001,108,14
"0590001",1046,157,13
"0590002",918,104,14
"0590003",976,120,15
"0590004",801,49,10
"0590005",75,6,0
"0590006",359,51,4
"0590007",241,32,3
"0810001",304,23,13
"0810002",353,25,3
"0810003",301,31,0
"0810004",226,30,3
"0830001",707,67,5
"0830002",520,83,8
"0830003",569,68,7
"0830004",759,82,10
"083002E",208,26,0
"0930001",679,104,8
"0930002",654,112,10
"0930004",47,10,1
"0930005",303,41,2
"0930006",206,29,1
"0930007",139,22,2
"0930009",100,13,0
"0930010",186,37,1
"0930011",249,57,6
"0930012",835,182,10
"0930013",111,21,4
"0930014",59,15,1
"0930015",241,27,4
"0930016",59,1,1
"0950101",229,30,1
"0950102",51,9,3
"0950203",91,2,2
"0950204",52,11,0
"0950205",74,12,0
"0950306",150,37,1
"0950407",62,0,0
"0950408",123,31,3
"1150001",383,138,3
"1150002",442,187,4
"1150003",632,166,5
"1150004",558,156,13
"1150005",71,12,2
"1150011",68,10,0
"1150012",28,3,2
"1150013",53,3,1
"1150017",42,3,0
"1330001",1253,171,18
"1330002",171,23,1
"1330003",620,126,8
"1330004",184,15,1
"1330005",292,43,2
"1330006",182,25,0
"1330007",1051,112,8
"1330008",1308,205,17
"1330009",326,31,4
"1350101",1223,416,23
"1350102",711,336,20
"1350103",417,160,11
"1350104",95,24,3
"1350106",510,124,8
"1350107",334,60,9
"1350108",1015,212,15
"1350109",102,15,0
"1350110",1373,387,27
"1350111",167,82,1
"1350201",2840,524,50
"1350202",1296,244,21
"1350203",1211,253,24
"1350204",628,154,8
"1350205",826,191,19
"1350206",329,50,5
"1350207",927,65,13
"1350208",1574,365,31
"1350209",433,138,12
"1350301",669,359,16
"1350302",319,131,8
"1350303",453,213,14
"1350304",105,72,4
"1350305",79,93,4
"1350306",216,157,1
"1350307",473,275,14
"1350308",321,109,4
"1350309",429,166,8
"1350311",301,146,7
"1350312",516,153,10
"1350401",214,99,7
"1350402",198,351,12
"1350403",229,540,8
"1350404",316,178,9
"1350405",86,194,3
"1350406",403,394,9
"1350407",267,94,5
"1350408",85,113,1
"1350409",236,159,10
"1350412",114,108,4
"1430011",142,66,4
"1430020",534,112,7
"1430021",581,114,7
"1430023",204,51,4
"1430025",385,49,6
"1430030",352,42,2
"1430032",690,139,18
"1430033",274,140,16
"1430034",610,79,7
"1430041",396,45,3
"1430044",1057,135,9
"1430046",259,98,5
"1730001",165,3,1
"1730002",105,13,1
"1730003",112,5,0
"1730004",142,7,0
"2210001",555,121,8
"2210002",1634,352,29
"2210003",1360,283,26
"2210004",1133,244,15
"2210005",1255,238,15
"2210007",559,99,3
"2210008",1306,283,19
"2210009",2047,401,38
"2210010",2428,470,41
"2210011",833,166,13
"2210012",771,168,8
"2210013",1570,347,27
"2210014",1631,373,24
"2210015",221,43,5
"2210016",2858,539,54
"2350100",163,19,3
"2350200",152,19,5
"2350300",130,16,2
"2350400",199,24,1
"2670001",379,39,5
"2670002",170,22,0
"2670003",141,14,3
"2670004",181,21,3
"2670006",177,18,1
"2670007",212,20,3
"2670009",260,36,5
"2990101",171,45,3
"2990102",322,68,1
"2990108",484,151,9
"2990109",1955,395,17
"2990203",1068,241,20
"2990204",428,129,8
"2990205",335,94,9
"2990307",1390,382,26
"2990410",1900,423,34
