CNTYVTD,GrangerR_18G_U.S. Rep 12,AdiaD_18G_U.S. Rep 12,LeddyL_18G_U.S. Rep 12
"3670100",2045,393,34
"3670105",1005,149,22
"3670110",653,159,17
"3670111",539,123,9
"3670115",973,185,20
"3670120",911,137,18
"3670125",1248,140,18
"3670130",1389,231,23
"3670135",724,118,13
"3670140",546,76,14
"3670200",591,179,16
"3670205",680,222,22
"3670210",934,108,15
"3670215",1740,221,29
"3670220",370,43,8
"3670225",630,89,9
"3670230",694,129,17
"3670235",553,65,15
"3670240",672,102,7
"3670245",726,103,9
"3670250",742,127,19
"3670255",818,191,17
"3670300",748,232,23
"3670305",1072,244,25
"3670310",591,206,13
"3670315",1811,386,41
"3670320",940,122,22
"3670325",932,125,17
"3670330",620,118,9
"3670335",1939,182,33
"3670340",515,46,7
"3670345",990,150,14
"3670350",1369,175,26
"3670400",1672,338,28
"3670405A",1605,264,27
"3670405B",138,23,2
"3670410",1003,214,30
"3670415",1243,293,27
"3670420",1132,164,21
"3670425",720,111,17
"3670430",1306,288,33
"3670435",1382,297,19
"3670440",2161,335,32
"3670445",1054,151,17
"3670450",1342,261,30
"4391001",527,513,24
"4391004",692,597,25
"4391009",502,296,16
"4391014",120,160,3
"4391015",227,386,16
"4391021",1228,532,34
"4391022",431,307,17
"4391056",28,101,2
"4391061",5,50,1
"4391071",414,718,20
"4391076",326,426,10
"4391081",272,145,11
"4391094",292,557,25
"4391095",400,195,10
"4391103",624,263,11
"4391105",619,462,24
"4391108",602,510,28
"4391111",1321,323,27
"4391117",663,531,22
"4391119",984,1574,46
"4391120",83,1161,6
"4391133",475,583,25
"4391142",401,367,21
"4391150",242,561,6
"4391165",57,87,2
"4391167",455,444,22
"4391186",316,95,2
"4391189",693,747,30
"4391199",178,106,1
"4391206",1032,503,39
"4391207",613,725,21
"4391208",2016,923,48
"4391241",37,75,4
"4391257",305,510,10
"4391264",609,465,27
"4391265",529,702,11
"4391292",194,590,12
"4391296",904,617,29
"4391298",663,708,37
"4391300",406,821,19
"4391337",1043,422,31
"4391339",984,651,38
"4391347",1251,1546,47
"4391348",404,115,9
"4391366",0,0,0
"4391376",0,6,1
"4391377",1203,1133,41
"4391416",46,43,3
"4391423",1496,489,25
"4391424",9,8,0
"4391440",209,759,13
"4391444",9,26,0
"4391457",2,1,0
"4391472",73,44,5
"4391549",0,0,0
"4391594",0,0,0
"4391608",258,328,16
"4391623",0,0,0
"4391625",0,0,0
"4391633",8,10,0
"4391641",1032,1453,36
"4391674",0,0,0
"4391676",53,100,1
"4391677",10,7,1
"4391678",1,4,0
"4391684",140,148,2
"4393041",672,478,20
"4393043",1384,456,37
"4393131",682,296,20
"4393140",750,305,24
"4393164",664,363,25
"4393177",1191,397,26
"4393192",406,77,6
"4393214",975,571,34
"4393215",1116,367,24
"4393289",948,479,30
"4393324",890,417,18
"4393325",432,189,13
"4393326",287,166,14
"4393333",1862,958,41
"4393363A",674,260,13
"4393363B",480,187,11
"4393364",279,219,15
"4393406",0,0,0
"4393507",831,521,28
"4393567",1572,400,32
"4393570",975,620,31
"4393637",627,526,34
"4393664",0,0,0
"4393667",58,17,1
"4393698",1334,905,39
"4393700",609,343,24
"4394006",99,318,11
"4394016",516,491,30
"4394018",374,165,9
"4394020",457,269,23
"4394042",306,222,8
"4394044A",1614,543,33
"4394044B",29,10,1
"4394045",1211,374,25
"4394046",1696,436,39
"4394047",1315,291,26
"4394051",1,3,0
"4394053",405,230,18
"4394057",269,160,4
"4394060",336,823,39
"4394065",1675,382,30
"4394069",1752,930,46
"4394070",753,646,24
"4394073",130,96,2
"4394077",92,106,2
"4394086",1233,480,36
"4394091",856,402,18
"4394096",205,481,21
"4394102",234,248,5
"4394113",133,50,1
"4394115",384,63,11
"4394116",835,603,28
"4394118",369,372,17
"4394121",799,480,23
"4394124",391,357,25
"4394125",128,123,4
"4394128",882,469,17
"4394129",512,268,19
"4394130",1193,578,28
"4394135",380,299,13
"4394136",534,599,25
