CNTYVTD,ThornberryR_18G_U.S. Rep 13,SaganD_18G_U.S. Rep 13,DeWeeseL_18G_U.S. Rep 13
"0090001",617,49,8
"0090002",528,48,11
"0090003",195,25,1
"0090004",381,11,4
"0090005",86,4,0
"0090006",538,67,8
"0090007",122,9,1
"0090008",183,23,6
"0090009",94,10,0
"0090010",441,58,3
"0090011",64,6,2
"0110101",222,10,4
"0110201",111,18,5
"0110202",39,6,3
"0110301",169,7,5
"0110303",26,6,1
"0110401",121,7,1
"0110402",101,3,3
"0110404",19,0,0
"0230001",308,34,8
"0230002",236,34,3
"0230003",226,30,3
"0230004",313,33,2
"0450001",75,7,0
"0450002",142,17,1
"0450003",135,9,4
"0450004",176,17,2
"0450006",30,7,0
"0650101",271,30,2
"0650102",49,0,0
"0650103",206,31,7
"0650201",570,40,12
"0650301",370,29,4
"0650302",174,14,3
"0650401",399,48,5
"0650402",170,4,1
"0750101",347,36,3
"0750201",426,35,0
"0750301",329,74,5
"0750401",437,55,7
"0770001",417,60,6
"0770006",200,42,2
"0770008",402,47,9
"0770009",251,31,3
"0770010",152,17,5
"0770011",453,30,4
"0770012",169,23,3
"0770013",76,13,2
"0770014",95,11,1
"0770015",173,33,1
"0770017",498,86,8
"0770020",250,11,3
"0770024",170,11,2
"0770026",103,11,0
"0770027",224,25,1
"0770032",137,7,1
"0870101",277,33,6
"0870201",136,13,2
"0870202",27,2,0
"0870301",169,14,1
"0870302",29,2,0
"0870401",145,18,0
"0870402",53,8,1
"0970001",502,196,14
"0970002",79,22,1
"0970003",219,41,1
"0970004",215,46,5
"0970005",467,138,14
"0970006",272,26,3
"0970007",715,117,10
"0970008",426,56,4
"0970009",722,84,9
"0970010",1047,160,11
"0970011",1097,218,16
"0970012",412,63,3
"0970014",173,27,2
"0970015",132,12,0
"0970017",294,12,2
"0970018",1104,78,16
"0970019",233,28,5
"0970020",255,44,3
"0970021",782,38,5
"0970022",1183,167,15
"0970026",176,57,7
"0970027",94,36,0
"0970028",37,15,1
"0970030",70,39,1
"0970031",47,22,0
"0970033",257,30,7
"0970034",95,103,9
"0970035",220,132,3
"0970037",638,164,10
"1010101",164,23,3
"1010201",142,15,2
"1010301",68,26,0
"1010401",86,23,3
"1110001",153,15,4
"1110002",20,0,0
"1110003",7,0,0
"1110004",17,0,0
"1110005",6,0,0
"1110006",119,13,2
"1110007",148,32,5
"1110008",305,30,6
"1110009",194,31,5
"1170001",441,177,5
"1170002",443,225,10
"1170003",1415,275,18
"1170004",493,244,12
"1250001",63,8,0
"1250002",55,5,0
"1250003A",148,19,0
"1250003B",22,3,0
"1250004A",82,25,1
"1250004B",4,1,0
"1250005",115,10,1
"1250006",165,23,0
"1290101",125,6,3
"1290102",169,16,6
"1290201",360,43,7
"1290301",109,2,1
"1290303",144,19,0
"1290401",227,27,10
"1530009",51,1,2
"1530018",457,67,3
"1530024",91,39,1
"1550101",52,19,1
"1550201",105,22,1
"1550301",81,25,2
"1550401",86,35,2
"1790001",197,7,1
"1790002",1073,102,21
"1790003",84,1,0
"1790004",381,30,2
"1790005",1409,138,22
"1790006",1426,133,22
"1790007",731,117,20
"1910101",140,40,4
"1910201",36,9,0
"1910202",190,26,4
"1910301",57,11,0
"1910302",135,21,2
"1910401",162,15,0
"1910402",89,18,2
"1950001",345,27,9
"1950002",25,5,0
"1950003",156,4,1
"1950004",319,16,1
"1950005",275,14,4
"1950006",354,29,4
"1950007",30,0,0
"1950009",61,4,0
"1970001",272,38,1
"1970002",230,29,3
"1970003",222,36,3
"1970004",276,42,3
"2050101",158,18,2
"2050102",98,4,3
"2050201",136,10,1
"2050202",285,18,1
"2050301",445,30,3
"2050401",344,42,4
"2110101",235,34,2
"2110201",243,34,3
"2110202",19,0,0
"2110301",368,23,3
"2110302",30,1,0
"2110303",70,8,0
"2110401",198,12,3
"2110402",71,12,0
"2330011",912,76,14
"2330014",1016,118,19
"2330021",1682,122,24
"2330023",150,16,7
"2330031",783,55,11
"2330033",687,69,12
"2330041",39,3,1
"2330042",640,168,10
"2370001",508,56,6
"2370002",527,58,3
"2370003",91,11,1
"2370004",426,42,8
"2370005",379,27,6
"2370006",570,71,4
"2690001",32,1,1
"2690002",20,0,0
"2690003A",9,1,1
"2690003B",24,0,0
"2690004",39,1,0
"2750101",258,55,3
"2750201",93,17,0
"2750202",121,24,2
"2750301",163,37,1
"2750302",42,3,0
"2750401",193,68,2
"2950106",129,12,8
"2950202",81,5,0
"2950207A",185,9,2
"2950207B",1,0,0
"2950303",234,23,2
"2950308",79,9,3
"2950404",187,33,2
"2950409",58,4,0
"3370002",1192,154,9
"3370003",667,62,12
"3370004",243,25,3
"3370005",438,43,13
"3370006",464,53,8
"3370007",558,71,4
"3370008",378,60,4
"3370009",573,83,7
"3370010",455,69,1
"3370011",449,64,7
"3370012",61,9,1
"3370013",519,61,9
"3370014",103,16,0
"3370015",236,23,9
"3370016",138,17,2
"3410101",798,196,12
"3410201",766,123,8
"3410202",817,82,10
"3410203",36,5,0
"3410301",406,149,6
"3410401",445,54,5
"3410402",32,88,1
"3450001",143,3,0
"3450002",57,7,1
"3450003",14,1,0
"3450004",117,10,2
"3450005",75,7,2
"3450006",74,11,1
"3570001",298,38,6
"3570002",443,44,6
"3570003",861,43,18
"3570004",577,59,4
"3590101",110,11,1
"3590103",99,4,0
"3590202",88,9,0
"3590203",110,10,0
"3590303",152,13,2
"3590403",85,8,0
"3590404",105,3,1
"3750121",994,203,23
"3750122",838,246,33
"3750123",1339,499,49
"3750124",1043,253,28
"3750125",1293,514,34
"3750126",750,342,24
"3750221",264,226,7
"3750222",277,172,4
"3750223",286,303,11
"3750224",624,367,12
"3750225",281,244,9
"3750321",1352,117,29
"3750322",106,10,1
"3750323",1896,287,23
"3750324",2218,420,32
"3750325",1016,292,26
"3750326",1104,177,18
"3750327",466,82,14
"3750421",165,258,6
"3750422",463,682,16
"3750424",204,305,6
"3750425",254,294,8
"3750426",120,88,3
"3750427",97,90,3
"3810110",2431,329,36
"3810111",1443,544,32
"3810112",1044,390,32
"3810114",1102,342,28
"3810123",628,200,24
"3810208",2848,520,47
"3810220",909,184,22
"3810222",2219,370,53
"3810227",2665,432,41
"3810228",2562,473,45
"3810230",1630,262,34
"3810305",1289,206,36
"3810306",1843,384,55
"3810307",1863,295,45
"3810309",1684,177,22
"3810324",2701,446,48
"3810325",2057,228,32
"3810415",1889,415,31
"3810418",2286,478,61
"3810421",1348,333,24
"3810426",1487,188,31
"3810429",1773,509,44
"3930001",112,2,1
"3930002",115,4,1
"3930003",84,6,2
"39304-1",65,2,0
"39304-2",66,2,0
"4210101",38,4,2
"4210102",101,16,3
"4210201",70,16,5
"4210202",59,0,6
"4210301",65,7,5
"4210302",107,9,8
"4210401",267,17,12
"4370001",211,57,2
"4370002",382,99,4
"4370003",346,62,1
"4370004",88,49,2
"4370006",122,37,3
"4370007",211,25,3
"4370009",17,7,0
"4370011",116,36,1
"4830001",138,5,3
"4830002",284,13,4
"4830003",273,25,3
"4830004",88,11,4
"4830005",59,2,1
"4830006",65,5,0
"4830007",83,4,1
"4830008",229,21,5
"4830009",393,29,5
"4830010",62,0,1
"4850101",139,32,4
"4850102",450,108,7
"4850103",1948,571,39
"4850104",617,171,16
"4850105",1209,452,30
"4850106",436,49,13
"4850107",23,3,0
"4850108",1563,382,31
"4850109",1604,456,22
"4850110",216,101,11
"4850111",182,168,6
"4850112",5,5,0
"4850113",199,88,6
"4850114A",6,1,0
"4850114B",11,2,0
"4850115",1,2,0
"4850116",16,2,1
"4850117",25,2,1
"4850201",391,117,15
"4850202",1081,511,41
"4850203",352,242,16
"4850204",100,11,3
"4850205",1695,300,29
"4850206",1110,235,19
"4850207",180,112,9
"4850208",58,15,4
"4850209",0,0,0
"4850210",0,0,0
"4850211",51,36,2
"4850301",3,1,0
"4850302",349,272,20
"4850303",217,422,13
"4850304",50,36,5
"4850305",108,60,6
"4850306",110,282,10
"4850307",95,34,2
"4850308",119,124,3
"4850309",1784,213,46
"4850310",695,79,21
"4850311",160,392,5
"4850312",1,1,0
"4850313",0,5,0
"4850314",5,1,0
"4850315",56,18,1
"4850316",11,7,1
"4850317",42,9,0
"4850318",165,47,8
"4850319",24,5,0
"4850401",1085,277,21
"4850402",310,87,7
"4850403",827,284,37
"4850404",1334,313,27
"4850405",539,301,24
"4850406",1116,375,33
"4850407",476,259,23
"4850408",8,0,0
"4850409",11,2,0
"4850410",126,26,0
"4850411",268,115,9
"4850412",361,33,6
"4850413",403,68,9
"4850414",253,40,4
"4870001A",471,90,0
"4870001B",50,6,0
"4870009",400,104,0
"4870019",508,248,0
"4870020",344,113,0
"4870021",986,125,0
"4970001",993,153,16
"4970003",397,54,5
"4970004",142,35,6
"4970008",1164,209,26
"4970009",1091,122,16
"4970010",286,41,5
"4970011",266,36,7
"4970012",751,113,13
"4970013",431,107,11
"4970014",846,170,8
"4970015",677,80,9
"4970016",1116,178,24
"4970017",1412,194,19
"4970018",377,72,8
"4970019",205,47,3
"4970020",582,83,8
"4970022",512,74,7
"4970023",877,157,13
