CNTYVTD,WeberR_18G_U.S. Rep 14,BellD_18G_U.S. Rep 14,ConleyL_18G_U.S. Rep 14
"0390001",1310,575,32
"0390002",1540,510,20
"0390004",1305,367,23
"0390005",773,240,6
"0390006",636,98,10
"0390007",301,550,9
"0390008",447,107,6
"0390009",272,161,5
"0390010",444,67,6
"0390014",2046,627,31
"0390015",1220,145,15
"0390017",464,538,23
"0390019",362,415,15
"0390020",659,150,14
"0390021",1051,1268,27
"0390022",1835,480,39
"0390023",1487,592,45
"0390024",1759,596,35
"0390025",782,236,17
"0390030",1482,311,32
"0390031",525,94,7
"0390032",1126,262,23
"0390033",759,318,13
"0390035",776,149,10
"0390038",329,98,11
"0390042",223,104,2
"0390043",1557,616,40
"0390045",1371,518,48
"0390048",852,454,19
"0390049",794,109,5
"0390055",1169,464,18
"0390056",1693,673,36
"0390057",1333,344,24
"0390063",475,1619,38
"0710013",0,0,0
"1670103",555,158,11
"1670104",424,100,6
"1670105",89,76,14
"1670142",670,566,19
"1670144",844,398,22
"1670146",916,612,27
"1670148",1104,702,34
"1670150",787,467,25
"1670151",1198,396,35
"1670152",2018,866,55
"1670159",1235,731,30
"1670165",1837,817,50
"1670166",1118,550,37
"1670167",2241,929,44
"1670168",0,0,0
"1670169",1,0,0
"1670170",1199,515,35
"1670172",218,69,2
"1670192",210,104,3
"1670193",995,467,31
"1670197",271,126,9
"1670218",884,978,41
"1670219",621,600,28
"1670220",1829,1120,51
"1670221",995,355,15
"1670223",788,840,47
"1670224",928,892,43
"1670225",1422,397,30
"1670226",873,408,22
"1670227",1351,318,29
"1670228",1588,298,30
"1670232",531,511,18
"1670258",1049,191,12
"1670263",2760,1259,65
"1670274",425,131,9
"1670275",194,72,7
"1670276",731,553,23
"1670277",1129,217,16
"1670278",1245,263,17
"1670279",559,110,13
"1670280",150,110,1
"1670281",85,30,0
"1670283",1150,674,32
"1670301",252,412,10
"1670306",1028,1586,64
"1670309",40,24,1
"1670311",78,399,4
"1670312",5,33,0
"1670314",463,1466,44
"1670315",654,1264,42
"1670316A",310,755,25
"1670316B",0,0,0
"1670330",409,808,24
"1670331",239,955,9
"1670334",100,496,6
"1670336",224,1876,10
"1670338",634,1129,21
"1670340",29,261,2
"1670341",259,287,8
"1670343",310,495,9
"1670345",37,295,8
"1670347",140,406,9
"1670389",104,192,1
"1670391",28,25,0
"1670394",7,15,0
"1670398",105,140,1
"1670399",57,70,2
"1670401",0,0,0
"1670439",1274,612,35
"1670453",1826,910,59
"1670454",1515,893,54
"1670455",676,375,16
"1670456",1745,486,41
"1670457",2094,611,42
"1670460",2557,682,65
"1670461",1792,507,41
"1670462",2319,678,43
"1670464",1238,493,39
"1670471",812,538,30
"1670482",98,9,2
"1670487",2314,1095,51
"1670488",1494,743,50
"1670490",1846,875,59
"1671051",155,176,15
"1671651",0,0,0
"1672321",0,0,0
"1672322",0,0,0
"1672323",238,30,2
"1672801",0,0,0
"1673061",0,1,0
"1673301",0,0,0
"1673311",77,106,2
"1674391",12,2,0
"2450001",64,719,3
"2450002",101,383,3
"2450003",50,809,1
"2450004",613,320,19
"2450005",388,434,9
"2450006",190,429,7
"2450007",307,416,9
"2450008",14,293,0
"2450009",1967,359,14
"2450010",41,210,4
"2450011",36,142,3
"2450012",5,225,2
"2450013",4,172,1
"2450014",29,575,4
"2450015",39,489,0
"2450016",17,146,2
"2450017",588,771,15
"2450018",15,693,1
"2450019",36,586,3
"2450020",45,425,5
"2450021",80,55,0
"2450022",822,1286,13
"2450023",305,936,5
"2450024",226,69,3
"2450025",926,242,14
"2450026",892,587,17
"2450027",345,385,10
"2450028",152,307,4
"2450029",864,110,10
"2450030",599,68,3
"2450031",640,83,8
"2450032",97,36,0
"2450033",733,354,15
"2450034",27,849,2
"2450035",408,75,3
"2450036",655,156,15
"2450037",1060,288,14
"2450038",1083,175,14
"2450039",20,941,3
"2450040",1302,275,19
"2450041",61,23,1
"2450042",1108,249,10
"2450043",947,253,8
"2450044",153,197,5
"2450045",133,332,7
"2450046",131,339,9
"2450047",153,426,5
"2450048",45,300,3
"2450049",25,139,1
"2450050",112,824,7
"2450051",11,140,1
"2450052",6,214,3
"2450053",38,563,1
"2450054",9,209,2
"2450055",6,159,1
"2450056",1494,323,22
"2450057",9,324,0
"2450058",24,11,0
"2450059",11,452,0
"2450060",1265,331,24
"2450061",445,341,14
"2450062",1084,469,23
"2450063",28,620,2
"2450064",85,351,5
"2450065",899,305,8
"2450066",618,173,15
"2450067",109,972,7
"2450068",720,573,18
"2450069",1247,390,28
"2450070",390,622,6
"2450071",42,12,0
"2450072",471,747,9
"2450073",1075,448,21
"2450074",1394,228,13
"2450075",45,342,2
"2450076",49,288,4
"2450077",30,575,3
"2450078",341,638,12
"2450079",769,463,14
"2450080",119,23,0
"2450081",14,322,1
"2450082",389,656,9
"2450083",552,125,10
"2450084",22,554,1
"2450085",83,671,2
"2450086",355,297,7
"2450087",71,461,1
"2450088",167,357,7
"2450089",50,146,2
"2450090",14,18,0
"2450091",364,47,4
"2450092",459,243,6
"2450093",55,253,3
"2450094",944,359,13
"2450095",193,97,4
"2450096",35,167,2
"2450097",0,0,0
"2450098",129,76,1
"2450099",81,224,4
"2450100",1010,671,11
"2450101",1,0,0
"2450102",65,18,1
"2450103",16,3,0
"2450104",44,7,0
"2450105",17,57,1
"2450106",9,7,0
"2450107",1,0,0
"2450108",244,36,3
"2450109",96,26,1
