CNTYVTD,WestleyR_18G_U.S. Rep 15,GonzalezD_18G_U.S. Rep 15,CristoL_18G_U.S. Rep 15
"0470001",29,141,1
"0470002",41,233,3
"0470003",70,293,2
"0470004",31,66,0
"0470005",14,30,0
"0470006",43,307,5
"0470007",19,50,2
"0470008",50,230,1
"0470009",41,158,0
"1310001",134,745,12
"1310002",95,599,6
"1310003",42,229,3
"1310004",28,63,0
"1310005",40,154,3
"1310006",11,62,0
"1310007",37,33,1
"1310008",353,662,15
"1310009",67,475,10
"1870101",265,91,9
"1870102A",395,170,15
"1870102B",6,2,0
"1870103",321,123,5
"1870104",266,223,11
"1870105",1140,317,31
"1870106",1276,556,25
"1870107",555,125,13
"1870108",263,155,6
"1870109",250,51,5
"1870110",81,61,3
"1870111",30,28,3
"1870112",63,139,7
"1870113",383,171,18
"1870114",281,153,9
"1870115",145,23,2
"1870116",970,322,22
"1870117",1748,692,57
"1870118",23,19,1
"1870119",806,250,26
"1870120",531,159,13
"1870121",61,23,1
"1870122",19,7,0
"1870123",0,0,0
"1870124",1,0,0
"1870125",87,20,0
"1870126",12,2,0
"1870127",9,4,2
"1870201",117,86,2
"1870202",121,314,11
"1870203",42,131,1
"1870204",241,361,9
"1870205",469,169,9
"1870206",345,587,19
"1870207",143,243,10
"1870208",1417,399,36
"1870209",75,233,4
"1870210",249,209,7
"1870211",42,37,1
"1870212",33,48,1
"1870213",815,357,34
"1870214",268,91,5
"1870215",364,150,11
"1870216",29,8,0
"1870217",27,36,1
"1870218",11,26,0
"1870219",25,23,0
"1870220",18,23,0
"1870221",9,6,0
"1870222",0,0,0
"1870223",72,76,5
"1870224",8,49,1
"1870225",0,10,0
"1870226",101,54,3
"1870301",1011,675,32
"1870302",1223,999,67
"1870303",514,269,15
"1870306",1453,888,48
"1870307",1420,1023,65
"1870401",638,194,24
"1870403",758,498,35
"1870405",878,208,10
"1870406",995,179,18
"1870407",854,195,12
"1870408",1535,715,38
"1870409",1193,1337,63
"1870410",57,23,3
"2150001",38,194,5
"2150005",106,653,16
"2150006",348,502,10
"2150007",481,907,30
"2150008",331,444,10
"2150012",37,94,2
"2150013",495,1217,37
"2150014",140,455,10
"2150015",71,157,3
"2150016",123,1162,9
"2150017",135,716,5
"2150018",27,68,2
"2150019",32,72,1
"2150020",49,320,7
"2150021",37,114,1
"2150022",43,206,8
"2150024",43,21,0
"2150025",355,697,12
"2150026",55,258,6
"2150027",57,262,4
"2150030",352,1215,29
"2150031",195,449,15
"2150032",209,742,17
"2150033",126,622,7
"2150034",102,299,7
"2150035",255,984,19
"2150036",289,1100,19
"2150037",102,278,9
"2150041",164,803,18
"2150042",321,903,18
"2150043",317,1222,28
"2150044",49,289,4
"2150046",28,85,3
"2150047",123,411,6
"2150048",202,856,18
"2150049",219,739,14
"2150052",679,1395,44
"2150053",552,1807,30
"2150054",307,437,10
"2150056",220,863,16
"2150057",58,227,2
"2150058",303,864,13
"2150060",281,734,14
"2150061",157,573,9
"2150062",728,972,25
"2150065",113,266,5
"2150066",139,361,10
"2150067",323,658,20
"2150068",298,883,23
"2150069",286,822,22
"2150070",122,426,3
"2150072",164,415,9
"2150073",666,807,13
"2150074",126,217,4
"2150075",17,15,0
"2150076",11,3,0
"2150079",75,360,6
"2150081",703,1447,34
"2150082",0,3,0
"2150083",748,978,13
"2150084",113,266,5
"2150085",261,992,11
"2150087",253,855,16
"2150088",259,1084,15
"2150089",1,3,1
"2150090",229,1618,13
"2150092",16,71,1
"2150095",184,976,14
"2150096",551,836,32
"2150097A",228,631,14
"2150097B",14,41,1
"2150099",326,1263,24
"2150104",209,674,13
"2150105",362,1003,17
"2150106",788,1647,43
"2150107",252,815,18
"2150108",153,778,10
"2150109",252,960,23
"2150110",79,291,2
"2150112",87,502,10
"2150115",259,880,14
"2150116",186,479,8
"2150119",79,341,9
"2150122",184,917,15
"2150124",266,427,16
"2150125",81,253,2
"2150126",203,464,5
"2150129",40,46,1
"2150130",173,246,5
"2150132",53,277,6
"2150134",504,626,21
"2150135",271,483,9
"2150136",279,516,12
"2150138",18,125,1
"2150139",39,126,1
"2150140",1,5,0
"2150141",11,31,0
"2150142",3,9,0
"2150143",0,1,1
"2150144",4,7,1
"2150146",63,470,10
"2150147",14,30,2
"2150148",8,17,0
"2150149",3,30,0
"2150150",126,290,7
"2150151",18,135,5
"2150152",300,657,23
"2150153",14,92,0
"2150154",202,697,11
"2150157",109,347,9
"2150158",321,885,18
"2150159",23,118,1
"2150160",65,95,1
"2150161",244,574,10
"2150162",14,29,1
"2150163",15,43,0
"2150164",356,497,12
"2150165",150,203,5
"2150166",84,126,4
"2150167",140,156,7
"2150168",78,112,3
"2150169",62,171,5
"2150175",120,378,8
"2150179",21,102,1
"2150180",12,50,1
"2150181",326,171,2
"2150183",46,144,2
"2150184",12,5,0
"2150189",73,297,10
"2150190",61,109,3
"2150191",47,128,1
"2150192",39,99,2
"2150193",38,113,1
"2150199",437,761,23
"2150200",416,764,18
"2150201",224,367,8
"2150202",231,197,5
