CNTYVTD,SeebergerR_18G_U.S. Rep 16,EscobarD_18G_U.S. Rep 16,MendozaI_18G_U.S. Rep 16,WilliamsW_18G_U.S. Rep 16
"1410001",237,583,49,0
"1410002",328,937,57,2
"1410003",365,742,49,3
"1410004",255,471,36,2
"1410005",1041,1931,104,7
"1410006",661,591,55,6
"1410007",598,875,56,1
"1410008",909,738,49,2
"1410009",714,1012,75,7
"1410010",407,1322,67,2
"1410011",874,1790,89,3
"1410012",268,468,28,0
"1410013",513,1119,63,7
"1410014",885,1186,58,3
"1410015",691,840,49,3
"1410016",453,1281,74,3
"1410017",389,547,26,2
"1410018",816,1021,52,6
"1410019",541,1154,68,2
"1410020",228,450,27,0
"1410021",603,702,49,0
"1410022",458,841,56,5
"1410023",364,475,28,0
"1410024",743,1132,50,10
"1410025",444,948,38,2
"1410026",307,648,33,2
"1410027",247,709,38,2
"1410028",33,135,8,0
"1410029",287,898,50,4
"1410030",9,65,4,0
"1410031",121,510,27,3
"1410032",257,690,21,0
"1410033",330,860,59,7
"1410034",36,259,10,1
"1410035",308,850,59,4
"1410036",131,840,57,5
"1410037",88,714,28,0
"1410038",130,736,51,3
"1410039",43,226,6,0
"1410040",54,295,24,1
"1410041",64,357,25,0
"1410042",83,594,29,2
"1410043",531,608,47,3
"1410044",907,1422,119,13
"1410045",548,1030,75,8
"1410046",179,425,31,4
"1410047",519,745,66,4
"1410048",186,621,43,3
"1410049",245,409,22,1
"1410050",595,1391,102,11
"1410051",357,603,49,5
"1410052",266,683,41,3
"1410053",339,900,58,3
"1410054",199,598,41,2
"1410055",391,731,48,6
"1410056",413,637,48,1
"1410057",203,450,33,2
"1410058",268,457,30,8
"1410059",257,807,65,6
"1410060",553,631,66,2
"1410061",262,456,45,3
"1410062",133,377,23,1
"1410063",193,797,47,2
"1410064",194,857,38,2
"1410065",81,96,2,0
"1410066",197,698,58,2
"1410067",208,714,52,6
"1410068",57,220,14,1
"1410069",337,1339,96,4
"1410070",210,912,65,5
"1410071",167,765,63,3
"1410072",115,456,36,0
"1410073",92,434,30,2
"1410074",125,727,39,1
"1410075",206,576,45,2
"1410076",113,459,30,1
"1410077",180,821,65,3
"1410078",103,455,27,0
"1410079",40,214,11,0
"1410080",62,524,21,1
"1410081",31,114,6,0
"1410082",121,727,32,1
"1410083",69,443,24,1
"1410084",116,754,35,0
"1410085",79,516,32,1
"1410086",67,110,6,1
"1410087",0,3,0,0
"1410088",123,133,9,2
"1410089",258,1039,57,5
"1410090",319,679,42,5
"1410091",132,334,31,0
"1410092",535,1018,71,3
"1410093",201,516,42,5
"1410094",346,918,42,0
"1410095",445,950,66,5
"1410096",562,1038,68,1
"1410097",293,694,40,0
"1410098",416,694,53,1
"1410099",155,405,22,1
"1410100",427,1027,69,1
"1410101",447,830,58,4
"1410102",280,826,45,1
"1410103",396,623,50,4
"1410104",462,915,83,3
"1410105",392,945,71,0
"1410106",344,1026,63,2
"1410107",314,743,48,0
"1410108",426,637,60,1
"1410109",296,628,46,2
"1410110",439,1073,86,2
"1410111",207,767,53,1
"1410112",272,1161,90,0
"1410113",270,839,63,0
"1410114",377,1346,101,1
"1410115",569,1524,109,4
"1410116",701,2114,160,2
"1410117",361,1044,77,3
"1410118",320,796,68,0
"1410119",345,899,56,0
"1410120",328,1040,66,1
"1410121",215,726,59,1
"1410122",370,1262,76,4
"1410123",258,1043,66,4
"1410124",243,941,62,0
"1410125",481,1514,101,3
"1410126",663,1668,114,7
"1410127",44,121,8,0
"1410128",686,1589,119,5
"1410129",404,975,74,3
"1410130",418,1234,80,3
"1410131",192,491,28,1
"1410132",27,132,5,0
"1410133",152,884,48,1
"1410134",114,397,35,1
"1410135",131,817,32,1
"1410136",98,616,27,1
"1410137",98,693,32,0
"1410138",124,706,47,0
"1410139",186,730,52,1
"1410140",86,594,25,1
"1410141",91,429,27,1
"1410142",58,410,24,0
"1410143",139,908,40,1
"1410144",171,874,50,0
"1410145",148,825,39,1
"1410146",68,458,25,0
"1410147",114,487,40,3
"1410148",153,809,51,2
"1410149",195,881,51,3
"1410150",102,580,40,3
"1410151",110,721,46,3
"1410152",86,628,35,0
"1410153",151,886,45,1
"1410158",1597,3183,227,4
"1410159",90,542,25,1
"1410166",406,679,59,2
"1410167",167,996,92,2
"1410168",408,984,70,3
"1410174",1,2,0,0
"1410175",22,95,6,0
"1410176",206,354,19,0
"1410177",118,184,14,0
"1410178",201,337,32,2
"1410181",312,626,51,5
"1410182",137,468,34,0
"1410184",0,0,0,0
"1410185",161,197,14,2
"1410186",118,251,26,2
"1410187",0,1,0,0
"1410188",17,32,2,0
"1410189",5,2,1,0
"1410190",0,0,0,0
"1410191",0,0,0,0
