CNTYVTD,FloresR_18G_U.S. Rep 17,KennedyD_18G_U.S. Rep 17,ChurchmanL_18G_U.S. Rep 17
"0214018",269,129,11
"0410001",1016,212,15
"0410002",2488,777,56
"0410003",329,170,10
"0410004",77,504,7
"0410005",861,185,19
"0410006",497,80,7
"0410007",874,148,27
"0410008",368,447,44
"0410009",419,359,17
"0410010",1302,748,64
"0410011",642,733,55
"0410012",1561,928,68
"0410013",849,478,28
"0410014",274,639,21
"0410015",1290,537,32
"0410016",119,313,4
"0410017",654,760,51
"0410018",34,180,7
"0410019",55,62,2
"0410020",830,1186,65
"0410021",301,494,27
"0410022",64,93,2
"0410023",51,8,0
"0410024",698,596,31
"0410025",51,332,7
"0410026",1299,507,38
"0410027",1699,320,42
"0410028",217,24,1
"0410029",351,173,6
"0410030",495,524,22
"0410031",1280,1044,87
"0410032",0,0,0
"0410033",242,431,14
"0410034",937,1160,76
"0410035",1437,2034,112
"0410036",1021,819,63
"0410037",96,12,1
"0410038",10,99,0
"0410039",1552,1090,59
"0410040",2044,1027,66
"0410041",2309,797,53
"0410042",0,0,0
"0410043",4,10,0
"0410044",57,9,1
"0410045",46,15,1
"0410046",102,66,2
"0410047",114,75,4
"0410048",100,29,2
"0410049",45,133,5
"0410052",9,2,1
"0410053",0,1,0
"0410056",6,2,0
"0410057",28,66,4
"0410058",238,133,10
"0410059",13,2,0
"0410060",63,7,0
"0410061",31,8,0
"0410062",1,0,0
"0410063",2202,808,77
"0410064",0,0,0
"0410065",68,17,2
"0410067",95,38,4
"0410068",0,0,0
"0410069A",1822,855,51
"0410069B",6,3,0
"0410070",253,195,15
"0410071",68,15,0
"0410072",8,6,0
"0410074",70,136,6
"0410077",115,70,7
"0410078",115,15,2
"0410079",24,19,0
"0410080A",1488,538,55
"0410080B",5,2,0
"0410081",26,13,1
"0410082",160,49,4
"0410083",0,0,0
"0510113",360,47,1
"0510114",672,215,12
"0510203",203,51,5
"0510204",373,55,5
"0510207",173,82,1
"0510211",497,96,6
"0510215",184,40,1
"0510301",607,151,11
"0510305",282,61,4
"0510308",219,56,5
"0510309",398,78,2
"0510406",336,222,1
"0510410",843,197,16
"1450101",166,123,2
"1450104",355,56,0
"1450105",278,143,1
"1450201",249,50,1
"1450203",20,200,0
"1450204",79,243,2
"1450301",267,49,2
"1450302",114,41,1
"1450303",335,34,3
"1450304",359,125,5
"1450403",400,136,3
"1450404",357,80,5
"1450405",272,101,5
"1610001",1405,196,12
"1610002",566,308,7
"1610003",81,5,1
"1610004",223,29,3
"1610005",864,274,10
"1610006",283,33,3
"1610007",301,80,3
"1610008",285,54,2
"1610009",250,54,0
"1610010",203,10,4
"1610011",203,154,8
"1610012",62,23,0
"1610013",170,23,3
"1610014",209,45,3
"1610015",143,16,0
"2870301",62,9,1
"2870302",623,159,21
"2870303",520,172,20
"2870405",254,54,5
"2890007",333,25,1
"2890008",481,78,8
"2890009",171,16,2
"2890010",516,43,8
"2890011",404,67,7
"2890012",343,109,5
"2890013",419,28,4
"289001A",116,9,3
"289005A",31,1,0
"289014A",104,18,0
"2930101",660,211,7
"2930102",338,28,2
"2930103",343,71,5
"2930104",381,58,3
"2930201",190,97,2
"2930202",56,162,0
"2930203",35,68,0
"2930204",236,52,4
"2930205",156,81,1
"2930206",198,32,0
"2930301",562,160,11
"2930302",219,72,3
"2930303",81,11,1
"2930304",313,52,6
"2930305",148,30,0
"2930401",422,286,2
"2930402",219,23,2
"2930403",164,29,3
"2930404",232,23,1
"2930405",182,18,3
"2930406",107,14,4
"3090001",63,96,5
"3090002",54,119,2
"3090003",399,741,28
"3090004",37,44,1
"3090005",72,203,3
"3090006",75,197,2
"3090007",222,406,12
"3090008",213,350,14
"3090009",104,264,8
"3090010",122,670,6
"3090011",964,419,20
"3090012",81,1220,9
"3090013",29,28,2
"3090014",58,507,6
"3090015",99,32,0
"3090016",232,89,4
"3090017",259,239,6
"3090018",97,142,9
"3090019",1297,535,23
"3090020",35,136,7
"3090021",64,157,9
"3090022",69,111,3
"3090023",1684,542,28
"3090024",325,128,1
"3090025",244,421,3
"3090026",101,190,2
"3090027",86,260,5
"3090028",352,298,6
"3090029",177,216,4
"3090030",550,489,22
"3090031",669,531,17
"3090032",423,168,2
"3090033",629,343,13
"3090034",556,313,11
"3090035",148,257,4
"3090036",457,229,14
"3090037",220,276,8
"3090038",126,171,10
"3090039",83,231,7
"3090040",668,492,26
"3090041",520,363,13
"3090042",164,315,16
"3090043",96,100,5
"3090044",1947,701,36
"3090045",107,134,5
"3090046",36,75,0
"3090047",104,135,7
"3090048",67,108,5
"3090049",105,106,8
"3090050",264,349,13
"3090051",1661,874,27
"3090052",428,207,7
"3090053",77,84,1
"3090054",238,104,4
"3090055",589,101,4
