CNTYVTD,PateR_18G_U.S. Rep 18,Jackson LeeD_18G_U.S. Rep 18,SpencerL_18G_U.S. Rep 18,DuncanW_18G_U.S. Rep 18
"2010001A",532,1274,100,49
"2010001B",0,0,0,0
"2010002",328,743,61,32
"2010003",379,699,52,34
"2010004",382,845,67,32
"2010005",318,695,73,27
"2010006",928,1112,39,28
"2010007",17,379,6,1
"2010009",195,744,48,36
"2010016",395,709,44,28
"2010019",235,658,48,22
"2010020",293,902,78,36
"2010021",119,524,36,18
"2010024",57,343,14,10
"2010025",15,300,3,6
"2010030",486,1337,60,42
"2010031",26,938,9,16
"2010035",1,2,0,0
"2010042",9,388,1,4
"2010044",168,720,36,18
"2010047",32,533,8,6
"2010048",45,330,15,6
"2010053",740,1313,121,66
"2010055",589,1149,90,28
"2010057",803,1483,138,69
"2010059",691,1190,85,52
"2010073",486,543,52,35
"2010075",474,754,67,44
"2010085",31,848,12,13
"2010086",923,1442,141,70
"2010101",58,198,5,3
"2010104",21,895,7,17
"2010106",35,46,2,2
"2010109",31,1111,3,7
"2010115",55,368,7,4
"2010122",35,788,7,7
"2010136",63,1089,14,22
"2010138",26,638,5,8
"2010140",235,1638,50,47
"2010144",8,438,7,2
"2010145",17,617,2,3
"2010147",180,1262,17,21
"2010150",13,583,3,7
"2010151",13,264,4,3
"2010156",74,1508,23,31
"2010157",43,899,6,7
"2010159",72,421,18,8
"2010160",8,256,1,1
"2010161",23,439,5,10
"2010164",15,507,4,6
"2010166",238,520,45,20
"2010167",0,3,1,0
"2010168",4,188,1,5
"2010169",23,963,7,12
"2010171",29,594,9,7
"2010180",48,1082,11,13
"2010185",235,723,19,7
"2010186",37,300,4,7
"2010189",519,501,62,23
"2010192",42,771,12,12
"2010193",15,464,9,13
"2010194",330,1157,50,45
"2010195",55,745,19,10
"2010196",16,132,1,5
"2010197",30,1071,5,12
"2010198",6,179,4,2
"2010201",6,255,2,3
"2010202",12,508,7,18
"2010205",19,774,1,21
"2010210",207,1429,43,39
"2010219",87,1298,15,14
"2010228",32,702,8,19
"2010229",81,246,4,4
"2010230",21,387,1,5
"2010235",21,541,6,5
"2010236",31,727,8,10
"2010237",18,772,10,9
"2010238",15,715,10,7
"2010247",19,616,5,5
"2010252",19,943,7,12
"2010253",13,789,5,5
