CNTYVTD,ArringtonR_18G_U.S. Rep 19,LevarioD_18G_U.S. Rep 19
"0170001",380,104
"0170002",546,71
"0170003",199,83
"0170004A",103,91
"0170004B",6,5
"0330004",84,3
"033001A",38,3
"033001B",54,1
"033002A",72,4
"033002B",26,2
"033003A",15,0
"033003B",36,0
"0690101",111,106
"0690105",24,4
"0690201",123,116
"0690206",69,10
"0690301",397,69
"0690307",73,10
"0690401",85,47
"0690408",333,19
"0790101",140,28
"0790202",204,39
"0790303",36,1
"0790306",108,36
"0790404",65,21
"1070011",183,81
"1070027",304,110
"1070039",224,89
"1070044",314,102
"1510001",308,63
"1510004",335,84
"1510010",241,67
"1510012",284,92
"1530001",561,94
"1530023",250,172
"153024BA",32,42
"153024BB",0,0
"1650002",771,95
"1650003",1162,91
"1650004",452,90
"1650005",129,9
"1650006",83,21
"1650007",103,70
"1650008",387,64
"1650009",276,28
"1690001",269,33
"1690002",368,32
"1690003",203,38
"1690004",129,44
"1690005",63,10
"1690006",69,15
"1890101",134,39
"1890102",35,15
"1890103",75,81
"1890104",133,84
"1890105",54,27
"1890110",195,21
"1890111",231,68
"1890112",324,28
"1890202",33,55
"1890203",63,76
"1890204",142,116
"1890205",15,31
"1890206",12,10
"1890213",90,26
"1890214",323,137
"1890215",126,37
"1890304",341,114
"1890305",557,74
"1890306",14,20
"1890307",111,51
"1890308",21,8
"1890316",408,128
"1890317",70,13
"1890318",487,75
"1890406",157,104
"1890407",613,106
"1890408",320,63
"1890409",258,90
"1890419",106,7
"1890420",206,21
"2070001",178,31
"2070002",277,45
"2070003",233,50
"2070004",105,28
"2070005",153,35
"2070006",154,13
"2070007",46,6
"2070008",58,18
"2070009",112,17
"2070010",84,10
"2190011",365,49
"2190014",362,44
"2190015",198,18
"2190016",943,138
"2190021",706,183
"2190024",344,47
"2190032",562,177
"2190033",53,3
"2190035",62,22
"2190036",74,62
"2190043",178,14
"2190044",309,93
"2190045A",386,114
"2190045B",180,54
"2190046",267,50
"2270011",239,200
"2270012",97,86
"2270013",79,66
"2270014",33,28
"2270016",21,18
"2270024",191,35
"2270025",533,100
"2270026",311,53
"2270032",43,11
"2270033",542,173
"2270034",495,147
"2270035",131,41
"2270037",0,0
"2270042",233,70
"2270045",253,82
"2270046",277,91
"2270103",37,29
"2270104",15,10
"2270105",0,0
"227012A",22,15
"2270205",573,107
"2270207",459,53
"2270208",78,5
"2270209",0,0
"2270304",189,53
"2270404",194,63
"2270405",83,20
"2270408",24,0
"2270409",262,17
"227207C",302,33
"2530101",538,103
"2530102",49,28
"2530103",173,52
"2530201",666,178
"2530202",114,27
"2530203",147,13
"2530301",135,11
"2530302",515,57
"2530303",614,69
"2530401",700,84
"2530402",554,136
"2630101",96,12
"2630201",20,1
"2630202",48,3
"2630301",53,8
"2630302",21,1
"2630401",63,6
"2790001",340,79
"2790002",103,79
"2790003",265,48
"2790004",38,1
"2790005",159,35
"2790006",124,33
"2790007",46,3
"2790008",822,157
"2790009",333,120
"2790010",171,27
"2790011",314,44
"2790012",95,9
"3030001",513,773
"3030002",440,410
"3030003",252,781
"3030004",79,268
"3030005",103,238
"3030006",42,478
"3030007",973,313
"3030008",315,754
"3030009",1029,464
"3030010",149,285
"3030012",862,319
"3030013",642,334
