CNTYVTD,CrenshawR_18G_U.S. Rep 2,LittonD_18G_U.S. Rep 2,GunnelsL_18G_U.S. Rep 2,CubblerI_18G_U.S. Rep 2
"2010032",538,1329,43,15
"2010033",707,1884,35,23
"2010034",359,1716,37,14
"2010037",510,1384,17,17
"2010038",597,1623,21,22
"2010039",464,1805,23,14
"2010040",150,245,2,3
"2010041",324,496,7,3
"2010043",414,627,10,9
"2010052",612,1135,17,19
"2010054",486,729,20,9
"2010056",507,425,13,8
"2010058",832,1442,35,18
"2010060",406,1647,24,18
"2010070",1371,1388,29,14
"2010071",1528,2199,63,35
"2010082",1377,621,22,12
"2010098",1436,291,17,7
"2010108",729,773,12,9
"2010110",1014,888,16,9
"2010112",1092,689,22,12
"2010113",730,773,15,8
"2010117",266,551,7,8
"2010120",1222,1064,33,23
"2010123",182,779,14,15
"2010125",662,647,14,6
"2010148",551,1354,8,6
"2010155",1564,1074,16,17
"2010165",806,668,15,12
"2010179",435,601,12,15
"2010199",1718,597,21,26
"2010200",1029,1640,32,30
"2010204",1143,1278,28,24
"2010222",762,1353,14,5
"2010224",598,1071,11,6
"2010244",769,941,9,15
"2010246",1405,1032,25,16
"2010260",336,425,8,10
"2010262",1116,1100,32,29
"2010263",1738,847,13,16
"2010274",832,637,14,12
"2010299",181,443,9,9
"2010310",556,341,13,14
"2010313",14,13,0,0
"2010323",319,589,9,6
"2010330",499,685,14,10
"2010340",1677,738,14,23
"2010350",523,1359,21,14
"2010351",2335,802,15,13
"2010357",1560,667,8,34
"2010361",102,1214,9,3
"2010363",765,1393,13,16
"2010380",1444,1694,24,32
"2010388",1494,1784,22,16
"2010398",889,1182,23,21
"2010407",1253,1032,18,48
"2010421",569,769,9,11
"2010424",338,393,5,5
"2010444",1132,1010,20,25
"2010445",692,564,12,21
"2010446",36,77,1,0
"2010447",1709,1217,32,22
"2010451",1409,454,8,11
"2010459",1847,681,15,17
"2010464",743,594,11,17
"2010469",1335,416,17,9
"2010472",238,537,8,0
"2010477",1597,874,20,19
"2010478",1434,1044,30,18
"2010479",1649,647,19,13
"2010482",1534,963,23,18
"2010484",1329,899,28,7
"2010493A",594,1081,17,9
"2010493B",0,0,0,0
"2010496",331,799,6,5
"2010500",1289,904,21,22
"2010513",1340,646,15,9
"2010514",1633,919,30,15
"2010515",1630,508,13,9
"2010516",684,799,13,7
"2010523",1034,816,16,16
"2010546",1339,322,10,13
"2010548",464,675,11,11
"2010551",2301,892,20,14
"2010563",1625,575,13,19
"2010577",605,557,17,6
"2010586",1095,966,22,15
"2010588",1376,882,12,18
"2010590",1083,393,15,8
"2010593",865,1275,23,10
"2010597",518,993,17,10
"2010599",507,1103,14,7
"2010601",1817,848,20,14
"2010604",1651,308,17,7
"2010609",1334,1136,22,16
"2010610",349,654,8,6
"2010612",1599,590,19,16
"2010621",240,414,10,5
"2010622",1271,1236,36,12
"2010623",1210,882,14,18
"2010628",367,747,5,9
"2010631",1063,627,14,5
"2010633",1675,936,20,12
"2010634",843,763,12,16
"2010635",1342,534,20,25
"2010636",2605,322,9,7
"2010648",1358,730,29,10
"2010658",911,637,14,18
"2010659",2127,1005,13,16
"2010661",1087,1327,17,17
"2010666",0,0,0,0
"2010668",1184,943,24,16
"2010669",1462,788,13,7
"2010670",1638,525,11,19
"2010671",847,860,34,7
"2010674",1858,822,18,11
"2010684",1115,881,14,7
"2010687",1080,685,17,11
"2010689",482,798,11,8
"2010694",415,740,12,4
"2010700",689,145,1,2
"2010701",89,158,5,3
"2010707",246,202,5,3
"2010710",664,782,6,9
"2010730",908,669,13,11
"2010758",1935,662,24,15
"2010759",819,748,16,16
"2010760A",0,0,0,0
"2010760B",1070,296,12,6
"2010761",777,400,9,6
"2010764A",595,497,9,9
"2010764B",885,740,7,6
"2010771",233,365,6,6
"2010776",908,760,20,11
"2010802",5,12,0,0
"2010809",19,9,0,0
"2010823",747,782,18,10
"2010841",386,1295,12,11
"2010853",1348,534,22,11
"2010874",1427,651,15,11
"2010876",1629,867,13,16
"2010880",1205,510,8,7
"2010885",907,799,12,10
"2010888",329,727,8,12
"2010895",206,429,1,3
"2010896",351,888,7,5
"2010902",846,973,29,13
"2010904",0,0,0,0
"2010906",12,8,0,0
"2010911",175,123,5,2
"2010922",0,0,0,0
"2010939",0,1,0,0
"2010942",76,43,3,0
"2010964",1399,1224,20,10
"2010967",16,60,1,0
"2010968",124,580,4,4
"2010971",0,0,0,0
"2010973",364,298,8,6
"2010979",0,0,0,0
"2010983",37,69,0,2
"2011003",0,0,0,0
