CNTYVTD,CastroD_18G_U.S. Rep 20,BluntL_18G_U.S. Rep 20
"0291005",252,25
"0291006",732,57
"0291007",489,51
"0291013",827,55
"0291014",403,18
"0291015",405,22
"0291016",377,35
"0291018",690,71
"0291020",774,110
"0291021",554,44
"0291022",309,25
"0291023",750,47
"0291025",159,9
"0291026",390,28
"0291029",628,67
"0291030",9,5
"0291031",465,29
"0291032",726,45
"0291033",502,94
"0291035",110,63
"0291036",981,247
"0291037",697,95
"0291038",922,159
"0291039",695,72
"0291040",834,67
"0291041",602,64
"0291042",374,32
"0291043",446,77
"0291050",457,70
"0291051",583,86
"0291055",723,199
"0291061",724,67
"0291069",174,67
"0291072",670,103
"0291073A",970,279
"0291073B",127,37
"0291074",4,3
"0291075",580,62
"0291077",582,48
"0291078",175,20
"0291079",1684,377
"0291083",1018,253
"0291084",555,79
"0291085",481,71
"0291086",793,144
"0291087",452,62
"0291088",273,26
"0291090",0,0
"0291093",279,90
"0291094",587,104
"0291096",7,2
"0291097",259,29
"0291099",1766,355
"0291104",1101,299
"0291108",1788,597
"0291109",1,1
"0291111",1694,430
"0291113",959,247
"0291121",1642,568
"0291122A",1408,470
"0291122B",15,5
"0291122C",26,8
"0291127",183,14
"0291129",166,49
"0291130",0,0
"0291131",0,0
"0291132",2,0
"0291137",0,0
"0291143",865,277
"0291144A",674,378
"0291144B",42,24
"0291144C",33,18
"0291145",193,117
"0292006",5,0
"0292009",628,108
"0292010",451,150
"0292011",613,46
"0292012",420,32
"0292013",439,40
"0292014",429,46
"0292015",507,36
"0292016",345,17
"0292017",295,25
"0292018",458,40
"0292019",482,32
"0292020",735,43
"0292021",803,57
"0292022",448,40
"0292023",1057,102
"0292024",577,81
"0292025",921,108
"0292026",821,172
"0292027",541,99
"0292028",943,170
"0292029",366,26
"0292030",444,34
"0292031",447,21
"0292032",171,19
"0292036",787,201
"0292037",495,216
"0292038",567,145
"0292040",831,154
"0292041",1008,110
"0292042",501,45
"0292043",591,49
"0292044",631,84
"0292045",996,126
"0292046",960,165
"0292047",693,108
"0292048",559,47
"0292049",951,135
"0292050",664,110
"0292052",333,24
"0292053",437,41
"0292054",943,103
"0292056",490,76
"0292057",707,87
"0292058",694,96
"0292059",720,103
"0292060",503,70
"0292061",363,100
"0292062",413,107
"0292064",809,176
"0292065",1427,341
"0292066",1303,579
"0292067",135,16
"0292068",1386,491
"0292069",980,191
"0292072",1114,291
"0292073",400,67
"0292074",252,28
"0292076",785,310
"0292077",820,282
"0292078",791,180
"0292080",448,69
"0292081",318,61
"0292082",509,91
"0292083",336,48
"0292084",1079,592
"0292085",499,79
"0292086",1116,349
"0292087",609,250
"0292088",1359,342
"0292090",620,98
"0292091",998,160
"0292092",136,38
"0292093",345,83
"0292096",748,117
"0292097",838,208
"0292098",438,93
"0292099",541,208
"0292100",415,89
"0292101",422,209
"0292102",899,332
"0292106",161,40
"0292107",928,270
"0292108",388,194
"0292110",383,114
"0292111",364,73
"0292112",606,154
"0292114",709,166
"0292118",13,0
"0292119",120,17
"0292121",160,34
"0292122",553,83
"0292123",596,294
"0292124",278,82
"0292125",1788,586
"0292126",438,105
"0292127",905,286
"0292128",662,47
"0292130",777,190
"0292133",115,34
"0292134",395,82
"0292135",215,42
"0292136",1345,444
"0292137",370,104
"0292138",337,82
"0292139",622,252
"0292140",516,104
"0292141",473,158
"0292142",189,39
"0292143",658,203
"0292144",736,177
"0292145",119,54
"0292146",29,3
"0292147",159,37
"0292148",1226,231
"0292150",3,0
"0292151",8,1
"0292153",112,25
"0292155",0,0
"0292157",0,0
"0292159",72,18
"0293002",768,264
"0293003",21,14
"0293004",1,0
"0293008",22,18
"0293009",2,2
"0293014",183,71
"0293015",346,158
"0293016",70,27
"0293023",881,271
"0293029",435,171
"0293032",792,179
"0293035",294,85
"0293036",1379,357
"0293037",971,397
"0293038",429,174
"0293051",104,81
"0293054",628,183
"0293056",675,175
"0293058",1141,315
"0293074",888,436
"0293095",918,240
"0293098",415,245
"0293099",1106,504
"0293101",845,430
"0293106",433,351
"0293107",619,166
"0293109",978,307
"0293113",372,99
"0293116",585,189
"0293127",1202,416
"0293129",1170,394
"0293131",3,0
"0293133",0,0
"0293134",1148,209
"0293136",181,64
"0293139",510,159
"0293140",162,46
"0293141",490,141
"0293142",121,30
"0293143",562,175
"0293146",1233,350
"0293147",923,302
"0293149",1361,150
"0293152",564,126
"0293158A",13,9
"0293158B",3,2
"0293160",453,238
"0293162",421,149
"0293167",2,2
"0293168",307,98
"0293169",33,23
"0293172",192,53
"0293175",218,100
"0293176",18,13
"0293182",286,109
"0293185A",66,40
"0293185B",16,9
"0293186",1,0
"0293187",0,0
"0293188A",0,0
"0293188B",0,0
"0293189",385,131
"0293190",0,0
"0293191",69,28
"0293195",895,144
"0293198",237,98
