CNTYVTD,RoyR_18G_U.S. Rep 21,KopserD_18G_U.S. Rep 21,SantosL_18G_U.S. Rep 21
"0190101",805,190,17
"0190102",1270,300,28
"0190203",938,310,23
"0190204",695,234,19
"0190305",1148,250,14
"0190306",778,138,15
"0190407",1147,253,23
"0190408",129,61,0
"0190409",323,99,9
"0190410",286,61,7
"0292055",256,998,24
"0292094",64,57,2
"0292109",0,3,0
"0292113",10,24,0
"0292116",0,2,0
"0292129",1,2,0
"0292131",50,120,6
"0292132",0,1,0
"0292149",226,578,25
"0292156",150,406,18
"0293001",992,824,31
"0293006",350,340,12
"0293007",789,734,25
"0293010",94,174,5
"0293011",337,345,5
"0293013",412,629,31
"0293018",663,592,11
"0293019",97,215,11
"0293020",785,971,27
"0293021",1203,544,12
"0293022",523,527,16
"0293024",0,0,0
"0293025",603,556,14
"0293026",570,490,12
"0293027",499,454,17
"0293031",6,9,0
"0293040",588,638,30
"0293041",186,165,6
"0293044",447,451,25
"0293046",470,490,23
"0293047",614,645,13
"0293048",480,568,15
"0293049",828,652,13
"0293050",384,311,5
"0293052",1424,1181,40
"0293053",591,548,10
"0293057",189,177,5
"0293059",510,431,19
"0293060",512,606,28
"0293061",414,590,20
"0293062",14,11,1
"0293063",561,625,22
"0293064",121,151,9
"0293065",7,27,0
"0293066",551,630,21
"0293067",499,510,21
"0293068",327,839,46
"0293069",943,1054,32
"0293071",552,825,33
"0293072",1293,915,39
"0293073",427,540,14
"0293077",821,765,33
"0293078",896,826,40
"0293079",1082,912,33
"0293080",367,319,10
"0293081",649,684,18
"0293082",635,681,32
"0293083",522,411,19
"0293084",885,856,44
"0293085",367,384,13
"0293086",607,536,19
"0293087",513,374,21
"0293088",1082,817,34
"0293090",957,811,46
"0293091",441,182,9
"0293092",1233,605,13
"0293102",1081,829,42
"0293104",889,741,37
"0293108",578,389,18
"0293111",0,1,0
"0293112",237,500,19
"0293114",993,521,21
"0293117",1055,871,46
"0293118",275,295,7
"0293119",941,1113,60
"0293120",783,965,49
"0293121",1261,1125,51
"0293122",694,617,24
"0293124",979,777,33
"0293132",215,422,8
"0293137",1290,1092,49
"0293138",29,8,0
"0293144",58,79,4
"0293150",8,8,0
"0293153",452,440,19
"0293154",661,423,16
"0293156",9,8,0
"0293157",854,809,34
"0293161",511,768,19
"0293164",726,432,24
"0293165",1179,950,38
"0293166",125,175,12
"0293170",0,0,0
"0293171",0,1,0
"0293178",0,0,0
"0293179",1,1,0
"0293180",274,360,22
"0293181",757,507,20
