CNTYVTD,OlsonR_18G_U.S. Rep 22,KulkarniD_18G_U.S. Rep 22,McElligottL_18G_U.S. Rep 22,SwenyI_18G_U.S. Rep 22
"0390003",1802,527,34,41
"0390011",1010,611,22,18
"0390012",1138,670,34,26
"0390013",1461,975,25,25
"0390016",1501,587,28,30
"0390026",1057,845,21,20
"0390027",827,642,10,16
"0390028",2054,1277,43,40
"0390029",725,1269,16,20
"0390034",1649,515,29,21
"0390036",1581,944,31,39
"0390039",1270,573,38,26
"0390040",1963,1049,33,35
"0390044",1421,1905,28,24
"0390046",909,395,18,18
"0390047",852,544,19,22
"0390050",1227,2867,31,64
"0390051",1599,503,29,24
"0390052",1196,517,18,19
"0390053",283,837,16,16
"0390054",657,1039,24,23
"0390058",499,633,9,16
"0390059",905,2252,29,41
"0390060",1509,1566,46,25
"0390061",2314,929,34,35
"0390062",883,1232,22,18
"0390064",15,5,0,0
"0390067",540,1395,12,33
"0390068",634,1223,25,32
"1571001",779,386,9,18
"1571002",222,750,15,13
"1571003",173,934,15,19
"1571007",1852,2101,49,49
"1571008",427,108,5,9
"1571010",1831,447,16,21
"1571012",539,526,14,15
"1571013",802,665,20,14
"1571015",531,166,9,5
"1571018",887,177,7,11
"1571021",412,52,13,4
"1571024",428,125,6,3
"1571025",1167,794,18,22
"1571037",721,547,16,7
"1571040",166,695,11,10
"1571048",244,505,10,14
"1571054",121,78,4,4
"1571058",113,301,7,2
"1571067",575,1073,19,23
"1571068",238,28,4,1
"1571072",46,14,0,0
"1571073",457,205,10,11
"1571074",804,1131,26,25
"1571076",985,1911,29,29
"1571085",862,821,23,18
"1571087",821,452,10,12
"1571094",1,4,0,0
"1571097",1635,1381,33,34
"1571103",2120,1013,37,37
"1571109",281,247,4,9
"1571118",1984,1529,44,46
"1571120",1381,675,18,11
"1571128",1497,702,16,15
"1571134",498,1472,15,22
"1571141",1081,565,11,12
"1571152",544,328,7,6
"1571154",662,801,20,21
"1572016",839,1190,20,19
"1572022",1151,874,45,21
"1572043",98,304,0,3
"1572060",326,1349,20,13
"1572061",1138,1465,20,39
"1572078",74,260,2,1
"1572096",356,904,11,14
"1572112",30,104,2,4
"1572137",71,177,6,2
"1572151",501,966,16,18
"1572157",729,1108,20,23
"1573004",1570,922,34,31
"1573005",1705,499,33,20
"1573006",3039,1391,56,51
"1573009",1460,646,21,12
"1573014",2012,921,33,27
"1573019",443,142,15,7
"1573038",1757,1338,33,37
"1573041",897,332,15,10
"1573053",0,0,0,0
"1573057",1600,1037,30,34
"1573063",1522,491,30,21
"1573069",147,131,6,8
"1573083",741,1618,27,26
"1573095",817,822,21,15
"1573098",485,819,18,13
"1573104",2022,870,39,28
"1573122",1697,785,30,28
"1573130",1529,1093,36,29
"1573132",1567,1200,37,45
"1573133",1530,758,36,25
"1573142",1326,1053,38,17
"1573143A",621,502,10,11
"1573143B",7,5,0,0
"1573143C",59,48,1,1
"1573143D",72,59,1,1
"1573143E",205,165,4,4
"1573143F",257,207,4,4
"1573143G",299,242,5,6
"1573143H",301,243,5,6
"1573143I",119,96,2,2
"1573144",1645,967,30,29
"1573145",794,619,13,26
"1573146",1787,1618,36,35
"1573148",2920,1507,56,55
"1573149",2553,579,32,27
"1573150",979,2352,32,35
"1573156",1170,387,19,20
"1573159",803,708,23,19
"1573160",409,429,9,9
"1574011",602,418,6,9
"1574020",1274,641,24,26
"1574026",962,954,15,12
"1574027",0,0,0,0
"1574029",854,405,13,12
"1574035",479,553,8,12
"1574039",172,371,4,7
"1574042",479,192,2,12
"1574044",842,1456,17,22
"1574045",459,596,17,11
"1574046",906,1004,23,27
"1574047",238,280,4,6
"1574049",632,1415,16,22
"1574064",352,284,11,7
"1574065",1234,1765,26,23
"1574079",133,123,1,7
"1574080",349,442,5,8
"1574082",2075,1448,36,35
"1574084",521,474,10,9
"1574086",367,881,10,11
"1574102",517,943,7,9
"1574105",528,553,4,14
"1574107",843,518,9,13
"1574110",747,758,16,17
"1574111",424,380,8,12
"1574117",987,1709,34,37
"1574119",1332,802,10,13
"1574121",161,242,5,4
"1574124",779,1458,19,11
"1574125",730,1470,23,24
"1574126",728,1230,20,25
"1574127",734,1028,16,21
"1574129",1701,2055,28,26
"1574131",656,508,14,14
"1574135",1484,2511,32,34
"1574140",1086,889,27,19
"1574147",632,1710,9,16
"1574155",339,970,11,15
"1574158",308,1003,3,13
"2010076",580,631,16,15
"2010349",376,296,14,13
"2010378",544,366,13,8
"2010393",236,323,16,9
"2010416",867,1130,53,45
"2010417",505,687,18,17
"2010474",1008,626,32,26
"2010475",356,549,3,10
"2010476",625,695,10,15
"2010537",1565,662,11,13
"2010545",1063,1299,30,25
"2010654",1424,1463,25,27
"2010655",1122,1213,24,24
"2010715",283,409,4,7
"2010728",269,247,8,7
"2010732",633,511,18,5
"2010742",1061,794,16,13
"2010744",672,596,25,13
"2010750",175,164,4,5
"2010762",590,785,7,15
"2010774",33,125,3,0
"2010782",705,531,21,22
"2010842",566,973,16,15
"2010845",83,50,2,2
"2010907",4,63,0,1
"2010996",212,189,3,4
