CNTYVTD,HurdR_18G_U.S. Rep 23,JonesD_18G_U.S. Rep 23,CorvalanL_18G_U.S. Rep 23
"0291002",121,227,5
"0291009",292,465,23
"0291012",258,542,26
"0291024",500,908,35
"0291027",43,68,3
"0291034",801,832,47
"0291044",172,685,22
"0291045",275,981,37
"0291046",159,630,23
"0291047",128,464,22
"0291048",179,628,30
"0291049",222,698,21
"0291056",371,742,38
"0291058",470,496,25
"0291059",52,78,2
"0291060",186,801,29
"0291062",33,26,1
"0291063",354,355,19
"0291064",226,249,24
"0291065",420,492,22
"0291066",99,180,8
"0291067",727,539,27
"0291068",207,297,17
"0291070",129,272,16
"0291071",288,547,26
"0291076",434,781,36
"0291080A",394,1259,41
"0291080B",4,13,0
"0291081",576,275,13
"0291082",685,1359,68
"0291089",275,357,23
"0291092",68,243,4
"0291095",30,47,7
"0291100",465,807,35
"0291101",0,0,0
"0291103",124,102,8
"0291105",84,144,8
"0291106",0,0,0
"0291107",439,628,34
"0291110",821,1306,64
"0291112",500,1240,58
"0291114",0,0,0
"0291115",38,47,5
"0291116",278,284,12
"0291118",570,636,45
"0291123",112,130,4
"0291124",99,182,9
"0291125A",440,559,14
"0291125B",0,1,0
"0291125C",9,11,0
"0291128",189,341,19
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",55,77,2
"0291138",52,160,8
"0291139",122,309,16
"0291140",195,339,18
"0291141",311,473,29
"0291142",222,537,20
"0291146",42,34,2
"0292063A",332,186,8
"0292063B",372,208,8
"0292063C",12,7,0
"0292095A",670,365,19
"0292095B",240,130,5
"0292115",1156,1094,52
"0292120",247,313,14
"0292154A",168,94,8
"0292154B",110,61,4
"0292158",0,0,0
"0292160",6,6,0
"0293005",977,424,25
"0293012",450,179,2
"0293017A",1110,382,9
"0293017B",44,15,1
"0293030",960,516,13
"0293033",954,398,15
"0293034",1482,340,17
"0293039",1516,803,50
"0293042",931,565,25
"0293043",1141,504,28
"0293045",685,329,20
"0293055",1374,416,34
"0293070",981,728,19
"0293075",1477,666,20
"0293076",653,321,12
"0293089",1974,773,46
"0293093",1733,1008,43
"0293094",1268,755,24
"0293096A",1260,797,36
"0293096B",0,0,0
"0293097",4,0,0
"0293115",832,473,12
"0293121",0,0,0
"0293123",201,115,4
"0293125A",1227,753,31
"0293125B",2,1,0
"0293126",640,388,14
"0293128",19,20,1
"0293130",846,375,8
"0293135",231,285,15
"0293145",1054,747,23
"0293148",450,289,8
"0293151",1579,1257,37
"0293155",847,564,23
"0293163",913,620,28
"0293173",1153,847,35
"0293174",1654,971,34
"0293184",58,40,2
"0293194",1342,711,33
"0293196",5,3,0
"0293199",1106,659,30
"0293202",331,226,14
"0293203",193,103,7
"0294034",264,477,21
"0294036",210,900,36
"0294062",85,197,12
"0294070",407,1013,47
"0294073",369,322,29
"0294077",434,785,44
"0294133",15,1,1
"0294153",24,22,3
"0294165",36,17,1
"0294202",0,0,0
"0294204",1,2,0
"0430001",692,463,30
"0430002",321,393,13
"0430003",122,123,7
"0430004",440,444,16
"0430005",35,40,3
"0430006",184,197,7
"0430007",17,50,1
"0430008",129,331,15
"1030001",280,52,6
"1030002",223,60,5
"1030003",140,77,7
"1030004",144,45,6
"1050001",213,89,5
"1050002",235,73,3
"1050003",269,67,6
"1050004",187,104,8
"1090001",63,119,11
"1090002",81,118,7
"1090004",55,104,1
"10903-3",15,14,0
"10903-5",72,106,8
"1270001",249,457,16
"1270002",171,500,2
"1270003",58,137,2
"1270004",28,32,1
"1270005",79,397,7
"1270006",135,300,8
"1270007",67,197,7
"1370001",67,32,0
"1370002",238,30,4
"1370003",187,34,4
"1370004",109,48,3
"1410154",139,762,19
"1410155",84,372,11
"1410156",175,1002,25
"1410157",146,544,20
"1410160",163,794,22
"1410161",85,353,22
"1410162",205,1063,32
"1410163",222,784,19
"1410164",269,1076,32
"1410165",249,1051,26
"1410169",369,1735,59
"1410170",418,792,34
"1410171",295,1518,58
"1410172",315,1052,41
"1410173",146,386,6
"1410179",18,215,4
"1410180",87,570,11
"1410183",0,0,0
"1630001",195,333,9
"1630002",75,242,10
"1630003",48,244,8
"1630004A",317,262,16
"1630004B",2,2,0
"1630005",215,68,3
"1630006",180,77,8
"1630008",133,254,5
"1630009",164,313,14
"1630010",257,194,11
"2290001",144,105,13
"2290002",107,134,6
"2290004",93,59,2
"229003N",59,34,2
"229003S",63,51,3
"2430001",212,153,9
"2430002",129,100,2
"2430003",184,95,3
"2430004",81,36,0
"2430005",100,64,6
"2710001",265,57,6
"2710002",154,110,11
"2710003",101,113,8
"2710004",300,57,7
"2830001",242,212,3
"2830003",94,199,3
"2830004",47,9,1
"2830005",113,174,6
"2830006",75,102,1
"3010001",15,3,0
"3010002",5,3,0
"3010003",19,0,0
"3010004",5,3,0
