CNTYVTD,MarchantR_18G_U.S. Rep 24,McDowellD_18G_U.S. Rep 24,KollsL_18G_U.S. Rep 24
"1132000",1,0,0
"1132001",3,11,0
"1132002",360,467,20
"1132003",1049,898,28
"1132004",767,481,13
"1132005",316,376,14
"1132006",611,484,12
"1132009",673,755,35
"1132010",532,482,16
"1132012",641,551,17
"1132015",343,356,12
"1132028A",0,0,0
"1132028B",0,0,0
"1132041",1683,1177,47
"1132048",847,1321,51
"1132053",365,918,27
"1132054",351,993,28
"1132055",185,471,18
"1132074",73,183,7
"1132076",0,0,0
"1132078",0,0,0
"1132079",175,713,30
"1132300",261,525,8
"1132301",963,637,26
"1132302",207,650,16
"1132303",666,816,23
"1132305",1026,1134,54
"1132306",404,440,18
"1132307",201,231,6
"1132308",55,121,3
"1132309",166,329,13
"1132310",751,622,35
"1132311",73,136,3
"1132312",6,23,0
"1132400",68,21,2
"1132401",1084,1045,48
"1132402",839,998,31
"1132403",2,0,0
"1132404",395,653,21
"1132405",1195,1034,43
"1132406",752,1130,40
"1132407",869,1231,37
"1132408",277,506,16
"1132409",348,796,23
"1132410",331,578,22
"1132411",88,256,7
"1132601",319,779,18
"1132602",496,1137,21
"1132603",567,1245,24
"1132604",525,1080,40
"1132605",409,1045,8
"1132606",0,0,0
"1132800",0,0,0
"1132801",1358,871,47
"1132802",1660,1174,53
"1132803",639,298,26
"1132804",911,647,27
"1132805",1487,1195,35
"1132806",906,717,28
"1132807A",824,698,23
"1132807B",0,0,0
"1132808",1084,825,21
"1132809",773,919,39
"1132810A",13,2,0
"1132810B",0,0,0
"1132900",1033,872,40
"1132901",222,549,31
"1132902",374,742,28
"1132903",498,761,37
"1132904",2,1,0
"1132905",228,120,1
"1134000A",53,149,2
"1134000B",0,0,0
"1134000C",0,0,0
"1134002",249,391,17
"1134004",218,668,19
"1134005",164,336,9
"1134006A",271,496,11
"1134006B",0,0,0
"1134007",58,77,0
"1134010",311,522,10
"1134012",16,30,2
"1134013",116,112,6
"1134092",30,67,4
"1134094",87,201,6
"1134095",9,19,0
"1134096",3,2,0
"1134098",12,21,2
"1134099",387,308,11
"1134121",0,0,0
"1134125",0,0,0
"1134518B",0,0,0
"1134608A",569,1058,27
"1134608B",0,0,0
"1134612",98,84,4
"1134614",205,100,3
"1134619",426,337,15
"1134621",380,1429,36
"1134622",404,645,22
"1134623",455,763,11
"1134624",412,483,17
"1134625",639,592,24
"1134626",839,734,39
"1134627A",976,1412,60
"1134627B",0,0,0
"1134628",164,693,10
"1134629",195,416,15
"1134630",446,455,11
"1134631",366,374,12
"1134632",230,684,9
"1134633",114,287,9
"1134634",813,957,34
"1134635",224,577,15
"1134636",0,6,0
"1134637",682,1277,40
"1134639",83,216,3
"1134640",347,926,31
"1134641",122,160,3
"1134642",32,41,1
"1134644",34,130,1
"1134645",3,2,0
"1134647",1034,1116,38
"1134648",216,680,17
"1134655",34,5,0
"1134656",11,42,2
"1134657",5,32,1
"1134663",0,0,0
"1134664",398,651,17
"1212000",447,1291,32
"1212001",467,1278,47
"1212002",784,1572,41
"1212003",485,647,25
"1212004",807,1173,38
"1212005",1479,1213,45
"1212006",1020,924,29
"1212007",752,1290,24
"1212008",900,1127,32
"1212009",722,719,26
"1212010",1323,1193,58
"1212011",892,932,44
"1212012",806,365,16
"1212013",600,475,23
"1212014",1015,698,32
"1212015",1131,1055,31
"1212016",1050,1053,39
"1212017",2193,1342,42
"1212018",647,954,53
"1212020A",648,326,10
"1212020B",1218,611,24
"1212033",729,989,26
"1212034",445,753,19
"1212096",0,0,0
"1212097",0,0,0
"1212099",0,0,0
"1213022",80,48,4
"1213023",144,113,4
"1213098",0,0,0
"1213099",0,0,0
"1214030",208,95,2
"4391064",0,0,0
"4391175",338,483,13
"4391197",1195,1309,50
"4391388",433,967,21
"4391547",0,0,0
"4391603",302,886,24
"4391701",277,344,14
"4393032",524,296,23
"4393035",1681,829,43
"4393036",492,560,35
"4393037",1169,598,35
"4393038",996,863,44
"4393039",1822,858,46
"4393114",1060,578,45
"4393139",394,295,23
"4393156",809,291,19
"4393157",631,569,33
"4393160",565,548,32
"4393166",574,638,26
"4393172",804,611,39
"4393176",1155,762,38
"4393183",1061,1014,36
"4393193",1633,563,24
"4393196",997,460,24
"4393200",856,591,28
"4393212",554,543,21
"4393213",584,389,24
"4393216",1054,1001,40
"4393247",403,484,24
"4393248",1856,792,39
"4393249",1029,956,46
"4393254",685,573,27
"4393260",678,318,20
"4393282",645,368,21
"4393283",721,377,16
"4393321",1655,1134,77
"4393322",934,507,22
"4393323",1801,675,46
"4393327",669,386,17
"4393329",598,774,34
"4393330",587,231,12
"4393331",2165,751,36
"4393334",673,577,38
"4393335",916,496,30
"4393336",716,1012,24
"4393359",969,485,21
"4393361",1149,708,38
"4393368",378,161,12
"4393384",567,439,37
"4393385",1389,670,39
"4393389",1011,1173,55
"4393390",1970,790,41
"4393391",640,825,41
"4393396",1267,866,34
"4393409",9,2,0
"4393421",734,263,15
"4393433",301,116,9
"4393443",852,545,33
"4393446",0,0,0
"4393469",482,338,14
"4393470",62,22,2
"4393500",208,60,3
"4393502",840,227,19
"4393510",1562,566,35
"4393511",663,821,39
"4393516",981,433,21
"4393517",647,612,15
"4393526",645,253,13
"4393529",1082,525,23
"4393530",1155,656,39
"4393538",1617,822,28
"4393539",6,2,0
"4393542",919,579,37
"4393545",1218,498,18
"4393558",1685,706,23
"4393560",0,0,0
"4393562",76,23,3
"4393566",0,1,0
"4393574",113,141,2
"4393575",0,0,0
"4393579",444,150,6
"4393582",28,1,0
"4393583",0,0,0
"4393584",0,0,0
"4393585",0,0,0
"4393590",0,0,0
"4393624",123,80,5
"4393626",362,123,7
"4393653",1,0,0
"4393654",0,0,0
"4393661",0,0,0
"4393662",5,0,0
"4393663",2,2,0
"4393665",11,0,0
"4393668",189,64,5
"4393669",2,1,0
