CNTYVTD,WilliamsR_18G_U.S. Rep 25,OliverD_18G_U.S. Rep 25,LindseyL_18G_U.S. Rep 25
"0270405",512,1429,44
"0270412",497,1566,51
"0270413",818,1856,65
"0350001",366,63,3
"0350002",351,98,7
"0350003",501,106,13
"0350004",271,35,2
"0350005",689,183,8
"0350006",575,134,15
"0350007",362,64,8
"0350008",1058,268,19
"0350009",438,116,5
"0350010",630,149,12
"0350011",423,78,9
"0530001",706,143,12
"0530002",1167,398,14
"0530003",440,172,10
"0530004",1071,390,24
"0530005",502,185,10
"0530006",289,91,8
"0530007",334,86,6
"0530008",596,131,7
"0530009",1326,322,18
"0530010",679,178,11
"0530011",216,26,4
"0530012",763,212,22
"0530013",413,126,12
"0530014",280,53,6
"0530015",341,93,4
"0530016",256,59,4
"0530017",898,193,13
"0530018",473,180,14
"0530019",1827,513,35
"0530020",1410,587,23
"0990101",1443,999,49
"0990102",648,99,8
"0990103",160,23,1
"0990104",1179,701,43
"0990205",1107,225,10
"0990206",335,344,16
"0990207",937,708,41
"0990308",1645,307,21
"0990309",305,38,2
"0990310",207,47,0
"0990311",24,41,5
"0990412",859,603,33
"0990413",975,216,13
"0990414",231,16,2
"0990415",120,17,1
"0990416",530,475,23
"1430010",359,144,12
"1430012",615,132,7
"1430018",921,147,13
"1430019",629,111,8
"1430024",407,90,2
"1430031",625,90,3
"1430035",30,37,1
"1430045",590,249,15
"1430047",466,132,7
"1930001",443,85,4
"1930004",52,14,0
"1930005",81,17,0
"1930007",659,153,6
"1930009",113,17,2
"1930012",121,7,0
"1930014",105,14,1
"1930015",99,5,1
"1930017",83,14,0
"1930022",555,105,9
"1930023",447,78,5
"2090230",450,409,20
"2090236",509,321,13
"2090238",12,17,0
"2090333",1614,1196,50
"2090335",1324,914,59
"2090337",2019,1405,66
"2090440",854,541,35
"2090441A",1199,789,52
"2090441B",2,1,0
"2090442",893,1014,34
"2090443",2087,1694,71
"2090444",2392,1784,81
"2090449",1533,982,47
"2170002",384,139,10
"2170003",249,274,5
"2170004",900,309,8
"2170005",250,41,1
"2170006",170,38,0
"2170007",275,55,2
"2170008",112,20,0
"2170009",164,41,4
"2170010",693,240,14
"2170012",364,53,3
"2170013",1154,213,11
"2170014",537,65,8
"2170015",172,31,1
"2170016",148,37,0
"2170018",88,11,1
"2170019",174,30,2
"2170020",448,73,7
"2170021",889,202,13
"2170022",722,156,9
"2170023",194,71,6
"2170024",484,161,5
"2170027",316,69,4
"2510001",416,85,6
"2510002",2034,506,36
"2510003",1731,580,31
"2510004",2532,918,47
"2510005",1823,493,33
"2510006",259,49,4
"2510007",2947,784,53
"2510008",2069,1092,68
"2510009",533,89,6
"2510010",1286,409,31
"2510011",1835,397,24
"2510012",1319,305,18
"2510013",863,222,23
"2510014",228,35,3
"2510015",750,152,15
"2510016",273,69,6
"2510017",1062,433,17
"2510018",1467,496,27
"2510019",2664,734,35
"2510020",254,227,13
"2510021",744,148,6
"2510022",1411,573,39
"2510023",997,193,9
"2510024",580,128,13
"2510025",508,183,8
"2510026",684,116,13
"2510027",1090,188,17
"2510028",866,192,16
"2510029",475,97,8
"2510030",540,82,6
"2510031",588,113,8
"2510032",1318,341,24
"2510033",516,102,14
"2510034",835,295,23
"2510035",1866,416,25
"2510036",255,174,9
"2810001",716,282,19
"2810002",1546,327,21
"2810003",621,227,12
"2810004",538,122,14
"2810005",305,37,5
"2810006",280,35,2
"2810007",348,71,6
"2810008",739,205,18
"2810009",767,196,8
"4250001",613,107,6
"4250002",895,172,9
"4250003",745,159,21
"4250004",754,139,8
"4391271",1153,428,21
"4391394",0,0,0
"4391418",0,0,0
"4391704",739,418,19
"4530122",82,1709,25
"4530124",243,3114,88
"4530126",213,3435,76
"4530129",90,1595,30
"4530130",124,1257,21
"4530132",127,1720,31
"4530133",164,1464,43
"4530135",621,5044,91
"4530151",160,1467,28
"4530152",144,2739,42
"4530202",285,2358,58
"4530206",193,1026,38
"4530208",596,4031,96
"4530210",410,897,24
"4530213",0,0,0
"4530214",686,1363,29
"4530220",447,945,21
"4530221",324,392,15
"4530231",729,1459,29
"4530232",2567,2246,82
"4530233",1158,1564,55
"4530234",882,794,25
"4530238",505,1625,53
"4530244",1193,1535,67
"4530247",256,348,9
"4530251",639,1776,56
"4530256",676,923,31
"4530274",225,1921,34
"4530275",219,2449,49
"4530302",999,1580,45
"4530303",921,1317,39
"4530304",1070,1998,46
"4530306",1469,978,49
"4530307",414,666,24
"4530308",2959,1767,85
"4530312",818,715,30
"4530313",41,304,5
"4530316",1638,1415,62
"4530317",856,1214,38
"4530318",234,410,9
"4530319",1038,740,31
"4530320",895,611,23
"4530324",2388,2052,86
"4530325",28,58,4
"4530338",1481,2263,80
"4530346",2434,1357,62
"4530347",775,1218,36
"4530358",699,2561,88
"4530359",1780,1865,67
"4530360",840,2175,47
"4530361",391,546,19
"4530362",595,1557,41
"4530364",1083,1655,46
"4530366",1112,2426,56
"4530367",1637,2979,91
"4530369",1798,1324,50
"4530370",559,397,32
"4530371",1226,737,41
"4530372",688,526,47
"4530373",2446,1239,70
"4530432",0,1,0
"4530434",0,1,0
