CNTYVTD,BurgessR_18G_U.S. Rep 26,FaganD_18G_U.S. Rep 26,BolerL_18G_U.S. Rep 26
"1132910",14,10,0
"1132911",69,70,1
"1211000",1437,274,21
"1211001",686,175,18
"1211002",1866,598,39
"1211003",1559,363,12
"1211004A",1148,930,33
"1211004B",0,0,0
"1211005",1148,287,15
"1211006",1404,985,56
"1211007",1419,1098,55
"1211008",630,183,19
"1211009",693,752,30
"1211010",883,676,27
"1211011",649,972,28
"1211012",891,969,31
"1211013",817,738,40
"1211014",30,97,4
"1211015",1027,753,23
"1211016",1131,734,32
"1211017",557,330,11
"1211018",1694,1212,53
"1211019",744,755,18
"1211020",1857,835,51
"1211021",1308,691,29
"1211022",1216,741,39
"1211023",1418,702,40
"1211024A",1039,351,16
"1211024B",6,2,0
"1211025",1514,742,53
"1211026",1211,1817,52
"1211027A",103,105,4
"1211027B",165,200,1
"1211028",605,741,22
"1211029",1529,1321,41
"1211030",1748,933,45
"1211031",973,562,24
"1211032A",1736,1175,38
"1211032B",14,10,0
"1211033",1165,1153,30
"1211034",1534,1134,31
"1211035",1747,995,30
"1211036",2831,1267,28
"1211037",338,118,7
"1211038",80,105,4
"1211039",4,0,0
"1211040",1089,579,17
"1211041",739,787,27
"1211042",81,10,0
"1211043",88,43,3
"1211044",1170,992,39
"1211045",783,150,12
"1211046",1289,1032,43
"1211047",214,124,11
"1211048",350,106,8
"1211049",56,71,1
"1211050",846,539,16
"1211051",835,496,17
"1211052",950,692,21
"1212019",0,0,0
"1212021",1053,1079,37
"1212022",1051,644,30
"1212023",1108,1013,39
"1212024",630,539,32
"1212025",667,514,35
"1212026",1295,810,49
"1212027",1251,819,27
"1212028",943,1092,33
"1212029",604,629,18
"1212030",1295,1467,49
"1212031",967,1023,38
"1212032A",391,368,18
"1212032B",249,232,11
"1212032C",6,6,0
"1212035",786,882,23
"1213000",1491,890,45
"1213001",1432,622,49
"1213002",2033,907,42
"1213003",1076,547,29
"1213004",1451,612,29
"1213005",995,395,25
"1213006",1342,935,44
"1213007",1158,1248,34
"1213008",1106,686,26
"1213009",854,633,25
"1213010",1225,1195,38
"1213011",921,1262,46
"1213012",596,496,11
"1213013",800,662,33
"1213014",641,603,24
"1213015",565,721,21
"1213016A",373,659,21
"1213016B",0,0,0
"1213017",445,1164,27
"1213018",269,307,18
"1213019",928,1450,37
"1213020",119,199,5
"1213021",1207,1174,35
"1213024",1243,784,16
"1213025",1566,872,50
"1213026",996,614,23
"1213027",1679,1040,45
"1213028",1695,978,44
"1213029",887,628,23
"1213030",996,563,26
"1213031",1378,715,30
"1213032",282,598,19
"1213033",875,497,24
"1214000",1884,582,50
"1214001",664,205,9
"1214002",1722,401,37
"1214003",2562,720,30
"1214004",201,912,33
"1214005",754,820,33
"1214006",527,974,28
"1214007",446,1222,27
"1214008",241,778,23
"1214009",505,1442,41
"1214010",440,669,15
"1214011",732,1885,43
"1214012",801,675,23
"1214013",47,183,3
"1214014",101,849,22
"1214015",119,291,8
"1214016",1,1,0
"1214017",2199,487,38
"1214018",1028,364,26
"1214019",107,44,3
"1214020",531,128,8
"1214021",947,210,17
"1214022",1317,401,19
"1214023A",1529,551,29
"1214023B",0,0,0
"1214024",1365,632,29
"1214025",1300,881,26
"1214026",605,424,13
"1214027",1488,950,33
"1214028",2038,665,30
"1214029",403,135,3
"1214031",2058,700,32
"1214032",2332,891,45
"1214033",1051,421,31
"1214034",1460,743,50
"1214035",1800,684,37
"1214036",1510,344,21
"1214037",372,764,30
"1214038",114,57,4
"1214039",141,1015,34
"1214040",367,434,14
"1214041",547,608,19
"1214042",13,6,0
"1214043",1346,462,21
"1214044",1512,530,28
"1214045",340,2102,58
"1214046A",1390,603,25
"1214046B",4,2,0
"1214046C",21,9,0
"1214046D",1,0,0
"1214047",847,420,18
"1214048",1516,695,32
"1214049",807,195,15
"4393040",1209,611,34
"4393049",1480,514,36
"4393054",1377,781,39
"4393063",1692,784,38
"4393072",1243,483,27
"4393152",15,5,1
"4393185",1,0,0
"4393187",532,347,27
"4393194",651,419,24
"4393209",2023,661,26
"4393240",873,531,26
"4393286",460,118,4
"4393287",848,546,28
"4393332",839,695,23
"4393365",2034,743,30
"4393367",718,399,22
"4393372",1194,709,39
"4393386",2085,846,32
"4393387",1041,380,21
"4393392",1104,419,22
"4393398",555,326,15
"4393417",778,460,21
"4393422",2172,732,39
"4393447",0,0,0
"4393465",1061,802,35
"4393471",909,335,16
"4393486",1777,1064,51
"4393509",703,461,25
"4393527",1019,480,20
"4393552A",797,691,28
"4393552B",224,195,8
"4393554",1436,580,22
"4393580",0,0,0
"4393646",1037,711,50
"4393647",1062,788,29
"4393648",1255,784,45
"4393671",301,133,6
"4393695",1382,884,28
"4393696",1257,814,36
"4394191",429,221,10
"4394533",443,299,16
"4394588",1335,966,35
