CNTYVTD,CloudR_18G_U.S. Rep 27,HolguinD_18G_U.S. Rep 27,TinusL_18G_U.S. Rep 27,DuerrI_18G_U.S. Rep 27
"0070001",923,219,7,17
"0070002",1011,473,14,38
"0070003",1925,560,15,42
"0070004",1722,492,16,43
"007001A",543,147,7,8
"007004A",552,130,4,9
"0211003",2073,1447,55,37
"0212007",935,318,22,19
"0212008",406,186,9,5
"0213012",400,132,15,8
"0213013",601,282,12,12
"0213014",614,576,16,18
"0213015",467,731,22,17
"0213016",800,638,30,30
"0550102",284,111,4,4
"0550104",189,84,7,5
"0550110",36,28,1,0
"0550111",256,234,4,5
"0550112",0,0,0,0
"0550113",0,0,0,0
"0550117",0,0,0,0
"0550201",290,160,11,7
"0550202",404,192,6,7
"0550203",418,152,12,13
"0550204",554,172,14,8
"0550205",145,29,1,1
"0550206",256,175,4,5
"0550305",150,94,1,3
"0550306",79,78,2,3
"0550307",0,0,0,0
"0550404",328,362,18,12
"0550405",352,224,9,9
"0550410",0,0,0,0
"0570001",42,104,2,1
"0570002",135,190,7,4
"0570003",12,16,1,1
"0570004",121,98,0,0
"0570005",116,34,2,1
"0570006",221,53,1,3
"0570007",128,124,4,1
"0570008",63,110,1,2
"0570009",11,13,0,0
"0570010",43,27,0,2
"0570011",145,52,1,0
"0570012",572,173,2,7
"0570013",10,8,0,0
"0570014",45,33,0,1
"0570015",55,41,1,0
"0570016",325,179,4,10
"0570017",223,126,3,4
"0570018",140,42,4,2
"0570019",269,44,2,5
"0570020",19,11,0,0
"0570021",59,19,0,0
"0570022",124,34,1,0
"0570023",132,41,0,1
"0570024",641,120,3,3
"0570025",508,75,3,3
"1770001",1003,277,10,13
"1770002",519,227,6,8
"1770003",523,160,6,6
"1770007",220,34,2,1
"1770008",162,30,1,4
"1770009",285,229,2,3
"1770011",129,15,2,2
"1770012",77,21,1,0
"2390001",746,254,4,5
"2390002",931,138,3,5
"2390003",978,159,5,4
"2390004",160,23,2,2
"2390005",281,37,1,3
"2390006",227,66,4,1
"2390007",58,13,0,1
"2390008",249,33,2,3
"2390009",302,40,2,3
"2850001",528,61,2,1
"2850002",729,134,3,3
"2850007",148,32,1,0
"2850008",413,54,2,3
"2850009",663,99,4,4
"2850011",179,19,1,1
"2850012",195,16,0,2
"2850015",97,17,0,0
"2850016",269,28,0,1
"2850017",193,16,1,0
"2850019",224,22,1,0
"2850020",52,9,0,0
"2850023",676,83,4,3
"2850026",92,28,0,1
"2850027",114,9,0,1
"2850029",575,87,4,5
"2850030",782,124,5,3
"2850031",616,70,4,6
"2850032",154,12,0,1
"3210002",339,65,12,5
"3210004",594,111,9,3
"3210005",747,248,39,18
"3210006",616,165,12,4
"3210007",109,12,1,2
"3210008",335,76,13,3
"3210009",57,47,1,0
"3210010",173,25,4,9
"3210012",108,28,5,1
"3210013",142,89,9,1
"321001A",1057,245,85,15
"321001B",1077,359,101,17
"321001C",124,310,6,4
"321001D",248,202,24,4
"321001E",330,279,34,4
"321001F",184,115,22,4
"321003A",537,302,10,9
"321003B",326,73,6,1
"3550001",256,251,7,31
"3550002",603,568,12,63
"3550003",1055,913,22,65
"3550004",375,662,4,32
"3550005",503,399,6,52
"3550006",1035,487,17,54
"3550007",61,178,1,3
"3550008",1116,986,19,58
"3550009",561,296,7,16
"3550010",462,158,3,15
"3550011",137,143,2,6
"3550012",188,346,1,8
"3550013",61,330,1,9
"3550014",143,36,2,3
"3550015",173,134,2,12
"3550016",214,117,1,13
"3550017",496,761,23,45
"3550018",645,436,21,43
"3550019",1267,531,16,41
"3550020",396,873,10,21
"3550021",138,52,3,10
"3550022",88,97,1,2
"3550023",940,236,4,33
"3550024",50,187,2,8
"3550025",153,50,0,4
"3550026",1524,937,21,68
"3550027",107,128,1,6
"3550028",89,16,1,8
"3550029",979,751,19,57
"3550030",4,30,1,3
"3550031",30,144,1,2
"3550032",448,393,10,34
"3550033",46,112,1,4
"3550034",50,92,1,5
"3550035",44,247,2,5
"3550036",134,203,2,8
"3550037",136,408,4,8
"3550038",15,107,1,4
"3550039",109,126,1,8
"3550040",1716,550,20,89
"3550041",24,75,2,1
"3550042",148,101,2,11
"3550043",41,131,2,3
"3550044",43,192,2,5
"3550045",20,108,1,8
"3550046",12,59,1,4
"3550047",22,63,1,2
"3550048",255,380,8,30
"3550049",320,142,2,17
"3550050",97,145,5,11
"3550051",261,400,2,22
"3550052",58,227,1,6
"3550053",81,199,1,2
"3550054",122,463,4,8
"3550055",96,350,0,9
"3550056",82,216,1,10
"3550057",106,199,1,6
"3550058",301,337,9,35
"3550059",329,419,14,43
"3550060",40,261,4,6
"3550061",19,209,1,5
"3550062",49,204,3,6
"3550063",758,594,23,71
"3550064",360,180,1,53
"3550065",1007,819,19,111
"3550066",282,341,7,35
"3550067",956,852,17,77
"3550068",113,281,3,9
"3550069",262,461,4,20
"3550070",312,615,9,38
"3550071",123,381,4,14
"3550072",198,364,0,29
"3550073",85,402,5,14
"3550074",86,425,0,14
"3550075",103,505,7,8
"3550076",39,162,1,3
"3550077",11,76,0,4
"3550078",95,446,5,10
"3550079",70,282,2,11
"3550080",71,426,3,10
"3550081",1614,522,22,94
"3550082",52,112,2,3
"3550083",74,258,2,7
"3550084",119,177,1,8
"3550085",17,136,2,5
"3550086",179,185,0,23
"3550087",234,357,6,14
"3550088",543,575,13,40
"3550089",96,131,4,6
"3550090",145,168,6,17
"3550091",659,841,28,60
"3550092A",478,468,10,61
"3550092B",23,21,0,3
"3550093",245,701,8,16
"3550094",370,475,10,36
"3550095",82,207,1,11
"3550096",89,224,2,8
"3550097",82,277,1,11
"3550098",108,504,8,13
"3550099",32,126,1,6
"3550100",208,220,3,12
"3550101",751,588,12,31
"3550102",385,306,6,15
"3550103",656,387,11,29
"3550104",38,238,1,4
"3550105",49,308,1,7
"3550106",501,588,6,26
"3550107",1750,621,15,56
"3550108",70,159,0,11
"3550109",119,127,2,10
"3550110",351,223,4,23
"3550111",265,162,1,11
"3550112",578,580,7,37
"3550113",28,121,1,3
"3550114",56,101,2,2
"3550115",482,439,11,20
"3550116",913,993,23,74
"3550117",1008,380,24,40
"3550118",408,706,11,25
"3550119",912,659,16,57
"3550120",493,475,9,43
"3550121",306,388,8,16
"3550122",1088,480,12,45
"3550123",584,342,10,28
"3550124",781,716,13,50
"3550125",1344,1155,19,82
"3550126",923,557,18,45
"3550127",632,245,8,46
"3910001",94,94,0,0
"3910002",383,108,5,8
"3910003",284,93,3,1
"3910004",43,130,0,2
"391001A",91,144,4,5
"391002A",110,17,0,0
"391002B",103,48,1,3
"391003A",267,74,1,3
"391004A",124,94,3,4
"391004B",77,40,0,2
"4090101",113,102,0,5
"4090103",162,28,0,5
"4090106",400,218,9,8
"4090107",87,43,0,3
"4090108",1424,478,21,65
"4090109",926,350,16,17
"4090110",437,310,6,15
"4090111",22,3,0,0
"4090112",71,329,0,4
"4090113",122,282,2,10
"4090114",637,209,8,11
"4090115",1292,393,18,26
"4090116",1677,445,16,67
"4090119",456,159,9,25
"4090120",284,85,5,10
"4090121",594,289,14,21
"4090123",29,22,0,1
"4090125",18,8,0,0
"4690001",74,113,5,1
"4690002",292,193,6,5
"4690003",394,207,8,11
"4690004",186,266,2,6
"4690005",476,459,10,6
"4690006",37,56,2,1
"4690007",239,492,4,1
"4690008",408,347,11,3
"4690009",284,176,3,5
"4690010",602,277,6,6
"4690011",204,50,3,1
"4690012",131,131,2,2
"4690013",240,216,2,6
"4690014",535,168,2,6
"4690015",65,14,0,2
"4690016",210,34,1,2
"4690017",165,88,1,1
"4690018",1655,352,5,11
"4690019",843,464,6,8
"4690020",687,125,8,2
"4690021",1818,456,14,8
"4690022",961,98,6,6
"4690023",807,132,4,6
"4690024",822,100,2,2
"4690025",1380,557,20,26
"4690026",480,122,7,1
"4690027",909,51,8,2
"4690028",254,31,0,0
"4690029",1254,362,3,13
"4690030",188,82,3,0
"4690031",191,130,1,3
"4690032",205,255,3,2
"4690033",2096,557,15,23
"4690034",88,230,2,3
"4690035",48,95,0,1
"4810101A",334,188,1,1
"4810101B",428,244,8,7
"4810102",1098,328,14,13
