CNTYVTD,CuellarD_18G_U.S. Rep 28,ThomasL_18G_U.S. Rep 28
"0130001",182,102
"0130002",286,114
"0130003",378,127
"0130004",38,10
"0130005",431,143
"0130006",33,10
"0130007",408,122
"0130008",150,48
"0130009",44,24
"0130010",350,103
"0130011",23,7
"0130012",341,113
"0130013",692,190
"0130014",122,37
"0130015",518,157
"0130016",79,21
"0130017",668,86
"0130018",443,101
"0130019",113,61
"0130020",992,426
"0130021",50,36
"0130022",200,100
"0130023",162,62
"0130024",435,185
"0291057",537,138
"0291102",222,88
"0294043",919,220
"0294049",656,135
"0294050",475,190
"0294051",606,248
"0294052",635,211
"0294053",599,137
"0294054",1115,288
"0294055",400,148
"0294056",859,276
"0294057",490,214
"0294058",445,213
"0294059",657,213
"0294060",560,116
"0294061",619,117
"0294066",1022,213
"0294067",430,111
"0294068",149,26
"0294069",284,111
"0294071",287,230
"0294072",627,380
"0294074",480,140
"0294078",230,170
"0294079",374,146
"0294081",84,72
"0294083",212,77
"0294084",145,12
"0294085",5,2
"0294086",111,43
"0294087",691,168
"0294088",1134,211
"0294089",841,221
"0294090",583,214
"0294092",486,119
"0294093",728,193
"0294100",306,71
"0294101",250,80
"0294103",0,0
"0294105",537,184
"0294107",427,114
"0294109",259,57
"0294113",263,18
"0294114A",10,4
"0294114B",1,1
"0294115",51,28
"0294116",16,4
"0294118",18,9
"0294121",49,16
"0294126",322,161
"0294127",14,3
"0294129",21,11
"0294130",223,77
"0294132",770,177
"0294136",83,46
"0294137",17,11
"0294140",0,0
"0294142",192,16
"0294143",1184,198
"0294144",126,64
"0294145",2,2
"0294146",12,2
"0294150",522,79
"0294151",103,70
"0294152",575,139
"0294156",341,53
"0294158",163,44
"0294159",3,1
"0294161",186,13
"0294162",631,200
"0294163",699,148
"0294164",622,229
"0294166",81,22
"0294167",7,3
"0294168",662,122
"0294175",0,0
"0294180",1,0
"0294187",0,0
"0294188",1,0
"0294189",267,41
"0294190",2,0
"0294191",0,0
"0294192",0,0
"0294193",12,3
"0294194",184,53
"0294196",0,0
"0294198",552,89
"0294199",335,88
"0294201",5,0
"0294206",137,31
"0294207",7,3
"0294208",0,0
"0294209",5,5
"0294212",1,0
"2150009",1067,161
"2150010",720,54
"2150011",863,53
"2150028",699,87
"2150029",236,55
"2150038",1079,189
"2150050",895,61
"2150051",980,36
"2150063",189,21
"2150064",578,33
"2150078",694,48
"2150080",366,14
"2150086",222,32
"2150093",52,15
"2150094",572,64
"2150098",1167,125
"2150100",1038,71
"2150101",349,89
"2150102",300,99
"2150103",1042,169
"2150128",699,53
"2150131",8,2
"2150133",23,5
"2150145",334,18
"2150170",249,8
"2150182",203,11
"2150185",0,0
"2150187",763,68
"2150188",574,120
"2150194A",467,74
"2150194B",55,9
"2150194C",23,4
"2150194D",40,7
"2150195",230,57
"2150197",202,13
"2150198A",72,6
"2150198B",46,4
"2150198C",40,2
"2150198D",53,4
"2150198E",25,2
"2150198F",0,0
"2150203",1190,206
"2150204",169,37
"2150205",59,6
"2150210",120,7
"2150220",193,27
"2150236",206,43
"2150247",47,12
"2150248",13,0
"2150256",85,3
"2150257",192,6
"2830002",162,11
"283003A",3,3
"3110001",36,7
"3110003",46,12
"311002A",21,6
"311002B",21,8
"311004A",17,4
"311004B",26,10
"4270001",792,42
"4270002",1070,62
"4270003",547,21
"4270004",194,22
"4270005",42,3
"4270006",2763,108
"4270007",358,10
"4270008",797,29
"4270009",879,38
"4270010",1679,86
"4790122",215,22
"4790124",768,65
"4790125",311,36
"4790128",200,12
"4790129",903,72
"4790130",1475,99
"4790132",1173,103
"4790133",1227,93
"4790134",742,58
"4790135",544,37
"4790136",190,22
"4790154",316,22
"4790164",324,27
"4790169",313,26
"4790215",495,51
"4790218",683,68
"4790219",528,75
"4790220",420,31
"4790221",504,51
"4790226",368,33
"4790227",1458,144
"4790231",1405,133
"4790237",334,15
"4790239",1827,222
"4790252A",1011,87
"4790252B",10,1
"4790252C",52,4
"4790255",838,98
"4790266",506,73
"4790267",576,61
"4790268",85,6
"4790308",360,32
"4790309",1164,154
"4790310",165,13
"4790311",562,51
"4790312",357,24
"4790338",78,2
"4790340",919,147
"4790341",666,91
"4790342",829,97
"4790343",1105,134
"4790344",2271,277
"4790345",854,108
"4790349",967,151
"4790350",6,7
"4790351",183,9
"4790356",1753,227
"4790359",1552,165
"4790360",235,31
"4790361",483,52
"4790362",128,16
"4790363",282,33
"4790401",454,41
"4790402",456,42
"4790403",349,26
"4790404",460,66
"4790405",468,41
"4790406",264,36
"4790407",117,20
"4790413",637,65
"4790414",258,25
"4790416",278,28
"4790417",197,15
"4790423",323,34
"4790446",1204,109
"4790447",904,132
"4790448",120,18
"4790453",136,13
"4790457",19,7
"4790458",1063,110
"4790465",271,25
"4930101",649,231
"4930102",715,114
"4930103",459,189
"4930104",260,95
"4930205",482,160
"4930206",745,191
"4930207",564,231
"4930208",174,63
"4930310",126,93
"4930311",347,279
"4930312",456,371
"4930313",530,352
"4930415",688,590
"4930416",667,341
"5050001",518,25
"5050002",356,19
"5050003",436,62
"5050004",321,25
"505001A",30,2
"505001B",40,1
"505002A",127,6
