CNTYVTD,AronoffR_18G_U.S. Rep 29,GarciaD_18G_U.S. Rep 29,BurnsL_18G_U.S. Rep 29,GarzaW_18G_U.S. Rep 29
"2010010",140,684,9,0
"2010011",132,655,9,2
"2010023",26,162,3,0
"2010026",173,931,23,0
"2010027",298,1504,34,0
"2010029",245,699,11,0
"2010045",443,2446,29,0
"2010046",160,925,16,0
"2010061",183,597,6,0
"2010062",159,782,9,0
"2010064",138,766,10,0
"2010065",128,748,12,0
"2010066",71,381,4,0
"2010067",202,1028,17,1
"2010069",64,463,6,0
"2010072",218,818,4,1
"2010077",1,4,1,0
"2010078",164,596,10,0
"2010079",179,981,13,0
"2010080",266,1040,11,0
"2010081",218,682,5,0
"2010083A",660,1352,15,0
"2010083B",12,25,0,0
"2010093",357,981,16,0
"2010094",34,194,2,0
"2010096",125,859,11,0
"2010105",200,749,9,0
"2010107",101,697,5,0
"2010118",952,1242,29,0
"2010134",292,552,7,0
"2010142",77,314,1,0
"2010152",195,892,10,0
"2010153",152,581,9,0
"2010154",164,884,13,0
"2010162",116,387,8,1
"2010163",331,939,13,0
"2010170",333,445,8,0
"2010172",70,265,0,0
"2010181",203,794,9,0
"2010184",93,334,7,0
"2010187",16,91,2,0
"2010188",173,465,5,0
"2010190",207,525,13,0
"2010191",127,309,1,0
"2010203",55,304,5,0
"2010206",427,1358,44,0
"2010207",168,604,17,0
"2010208",232,784,7,0
"2010211",374,959,14,0
"2010212",90,399,3,0
"2010218",292,1172,21,0
"2010221",383,994,19,0
"2010226",191,944,15,0
"2010231",185,858,7,0
"2010241",250,663,4,0
"2010242",273,404,7,0
"2010254",104,495,6,0
"2010257",273,1040,10,0
"2010261",139,440,6,0
"2010266",295,635,13,0
"2010267",188,397,9,0
"2010275",111,607,4,0
"2010277",229,535,6,0
"2010278",497,830,8,0
"2010279",497,420,13,0
"2010280",159,517,8,0
"2010289",216,533,11,0
"2010301",307,648,6,0
"2010302",668,758,7,0
"2010308",133,526,8,0
"2010320",205,477,6,0
"2010321",230,799,6,0
"2010326",106,235,0,0
"2010328",160,413,7,0
"2010329",197,579,3,0
"2010339",140,773,10,0
"2010341",105,449,4,0
"2010343",169,890,12,0
"2010353",312,1695,19,0
"2010354",368,1351,14,2
"2010368",109,355,3,0
"2010375",319,670,9,0
"2010376",332,617,6,0
"2010394",92,210,3,0
"2010397",95,220,4,0
"2010404",504,681,15,0
"2010408",189,470,1,0
"2010409",167,486,3,0
"2010411",201,697,4,0
"2010413",575,1203,19,1
"2010418",473,1089,19,0
"2010419",739,688,12,0
"2010423",89,406,2,0
"2010460",357,1477,16,0
"2010526",68,273,1,0
"2010527A",64,105,3,0
"2010527B",0,0,0,0
"2010530",76,408,3,0
"2010535",39,116,0,0
"2010536",800,1914,19,0
"2010543",149,611,12,0
"2010560",69,360,5,0
"2010571",169,493,1,0
"2010579",64,344,6,0
"2010591",196,689,5,0
"2010605",375,1567,21,0
"2010608",50,134,2,0
"2010637",259,1085,20,0
"2010653",38,191,3,0
"2010664",188,941,12,0
"2010677",121,462,7,0
"2010683",25,105,0,0
"2010702",24,176,1,0
"2010705",39,300,4,0
"2010708",55,145,1,0
"2010714",44,79,1,0
"2010725",370,683,10,0
"2010733",19,70,1,0
"2010737",16,11,0,0
"2010741",218,805,8,0
"2010743",23,52,0,0
"2010755",741,1666,37,0
"2010763",122,427,4,0
"2010766",30,144,3,0
"2010767",16,23,0,0
"2010770",38,80,0,0
"2010775",5,30,0,0
"2010777",59,155,1,1
"2010778",0,0,0,0
"2010779",66,247,2,0
"2010780",79,157,1,0
"2010786",116,368,5,0
"2010787",50,177,5,0
"2010791",2,11,0,0
"2010792",176,677,6,0
"2010795",122,411,4,0
"2010799",10,65,0,0
"2010801",36,93,3,0
"2010810",11,46,0,0
"2010811",23,116,0,0
"2010812",0,0,0,0
"2010815",0,0,0,0
"2010820",0,0,0,0
"2010821",48,337,7,0
"2010824",212,1032,19,0
"2010827",86,260,3,0
"2010831",3,7,0,0
"2010834",16,121,2,0
"2010835",25,86,1,0
"2010843",113,650,7,0
"2010844",0,5,0,0
"2010847",219,935,12,0
"2010849",271,821,10,0
"2010850",39,90,0,0
"2010871",1,3,0,0
"2010909",0,9,0,0
"2010910",19,56,0,0
"2010921",2,24,0,0
"2010928",0,3,0,0
"2010930",9,170,2,0
"2010934",3,5,0,0
"2010935",5,11,0,0
"2010936",7,15,0,0
"2010945",1,8,0,0
"2010946",2,4,0,0
"2010953",0,2,0,0
"2010960",165,797,7,0
"2010970",25,203,2,0
"2010978",0,0,0,0
