CNTYVTD,TaylorR_18G_U.S. Rep 3,BurchD_18G_U.S. Rep 3,ClaytorL_18G_U.S. Rep 3
"0850001",793,670,27
"0850002",1049,1042,31
"0850003",160,679,8
"0850004",636,234,19
"0850005",425,187,12
"0850006",1668,1575,56
"0850007",438,388,20
"0850008",1002,347,23
"0850009",1654,1153,70
"0850010",337,80,7
"0850012",774,420,18
"0850014",644,911,15
"0850015",425,430,22
"0850016",1116,491,23
"0850019",633,425,23
"0850021",1382,1249,46
"0850023",294,866,23
"0850024",384,771,19
"0850025",1695,1589,43
"0850026",484,464,16
"0850028",783,756,28
"0850030",1801,1206,61
"0850031",867,590,20
"0850032",927,679,25
"0850034",1109,1456,22
"0850036",824,466,17
"0850038",1851,2000,57
"0850039",695,916,24
"0850040",1391,737,37
"0850041",1622,618,26
"0850043",1500,1465,43
"0850044",329,339,14
"0850045",1027,587,15
"0850046",573,853,30
"0850047",782,749,43
"0850048",1071,1051,30
"0850049",916,581,13
"0850050",453,997,25
"0850051",269,526,29
"0850052",639,1374,27
"0850053",868,603,34
"0850054",661,986,38
"0850055",824,1233,43
"0850057",1374,1057,49
"0850058",967,1010,32
"0850059",1349,926,42
"0850060",1064,402,17
"0850061",680,443,12
"0850062",737,763,27
"0850063",875,516,19
"0850064",798,772,24
"0850065",389,327,19
"0850066",658,592,16
"0850067",799,727,28
"0850068",569,527,26
"0850069",1322,1117,32
"0850070",764,480,23
"0850071",634,539,14
"0850072",541,402,16
"0850073",370,604,20
"0850074",580,536,21
"0850075",825,430,12
"0850076",1216,926,31
"0850077",911,1108,28
"0850078",849,867,47
"0850079",727,675,19
"0850080",1079,959,37
"0850081",789,926,24
"0850082",752,684,28
"0850084",781,681,14
"0850085",821,964,24
"0850086",964,812,24
"0850087",1752,2011,51
"0850088",258,782,19
"0850089",1505,1550,30
"0850090",1360,712,23
"0850091",723,667,26
"0850092",842,837,43
"0850094",1203,1314,25
"0850095",900,910,39
"0850096",266,314,14
"0850097",720,240,9
"0850098",442,249,11
"0850099",69,71,3
"0850100",7,3,0
"0850101",1120,938,42
"0850102",1193,505,21
"0850103",272,377,12
"0850104",342,803,19
"0850105",419,283,11
"0850106",612,510,25
"0850107",1064,1040,24
"0850108",821,911,28
"0850109",1300,914,27
"0850110",928,772,29
"0850111",1716,1053,27
"0850112",997,854,19
"0850113",933,835,42
"0850114",651,190,14
"0850115",926,963,25
"0850116",1689,1268,28
"0850117",1184,1103,35
"0850118",1589,953,34
"0850119",1871,1525,33
"0850120",1332,862,32
"0850121",604,1061,19
"0850122",2113,920,36
"0850123",728,537,14
"0850124",865,870,23
"0850125",1300,1616,48
"0850126",1400,1157,48
"0850127",1089,993,34
"0850128",2359,738,58
"0850129",1277,969,22
"0850130",1071,1127,36
"0850131",2219,1229,52
"0850132",807,883,19
"0850134A",1326,1478,39
"0850134B",4,4,0
"0850134C",0,0,0
"0850135",1088,1210,46
"0850136",712,544,17
"0850137",748,487,8
"0850138",576,305,17
"0850139",1056,1350,41
"0850140",1884,872,47
"0850141",1057,967,26
"0850142",911,924,25
"0850143",776,466,10
"0850144",932,700,20
"0850145",439,500,18
"0850146",1295,1263,50
"0850147",509,497,11
"0850148",0,2,0
"0850149",1392,998,31
"0850150",384,246,5
"0850151",441,496,9
"0850152",12,34,0
"0850155",880,613,24
"0850156",1148,884,24
"0850157",1162,1122,22
"0850158",680,817,14
"0850163",1110,994,46
"0850164",515,277,4
"0850165",388,210,10
"0850166",1218,1062,31
"0850167",1226,1553,32
"0850168",794,346,20
"0850169",861,881,30
"0850171",1577,1278,32
"0850172",1103,584,33
"0850173",293,126,4
"0850175",622,359,16
"0850176",653,1006,38
"0850177",1300,1044,33
"0850178",959,294,12
"0850179",2506,750,35
"0850182",1,2,1
"0850183",48,7,2
"0850184",0,0,0
"0850185",18,14,1
"0850186",56,4,1
"0850187",241,34,2
"0850188",34,4,2
"0850189",360,52,7
"0850191",161,38,1
"0850193",380,90,10
"0850194",14,3,0
"0850195",430,81,17
"0850197",303,417,13
"0850198",60,16,1
"0850199",653,204,12
"0850201",2,1,0
"0850203",1298,607,26
"0850204",153,80,2
"0850205",14,3,0
"0850206",603,325,5
"0850207",1277,848,28
"0850208",582,252,12
"0850209",252,205,6
"0850210",417,543,16
"0850211",1767,1577,53
"0850212",973,1060,22
"0850213",914,900,29
"0850214",1713,423,17
"0850215",674,295,15
"0850216",1916,789,36
"0850218",1073,956,17
"0850219",900,650,15
"0850220",821,948,18
"0850221",1809,894,29
"0850222",870,904,21
"0850223",692,459,12
"0850224",2534,856,30
"0850225",944,1084,27
"0850226",1229,1136,42
