CNTYVTD,Bernice JohnsonD_18G_U.S. Rep 30,JonesL_18G_U.S. Rep 30
"1131062",9,1
"1131063",640,72
"1131064",54,9
"1131065A",966,66
"1131065B",0,0
"1131065C",0,0
"1131067",4,0
"1131069",30,3
"1131074",563,35
"1131075A",797,157
"1131075B",0,0
"1131076",944,231
"1131078",428,25
"1131079",720,135
"1131080",253,34
"1131081",1256,231
"1131082",91,8
"1131083",643,70
"1131084",1570,171
"1131085",471,44
"1131086",151,13
"1131087A",1394,84
"1131087B",0,0
"1131087C",0,0
"1131087D",0,0
"1131088",679,68
"1131089",805,36
"1131090",873,74
"1131091",757,59
"1131092",1188,46
"1131093",626,25
"1131094",523,12
"1131095",533,34
"1131096",510,31
"1131097",892,60
"1131098",770,32
"1131099",18,0
"1131100",1103,21
"1131101",567,34
"1131102",636,41
"1131103",169,11
"1131104",905,44
"1131105",19,1
"1131106",90,7
"1131107",262,18
"1131108",865,49
"1131109",150,15
"1131111",457,30
"1131112",236,12
"1131113",102,6
"1131114",237,10
"1131116",485,78
"1131118",603,56
"1131119",725,29
"1131122",155,13
"1131124",2,1
"1131130",555,86
"1131132",13,4
"1131134",175,7
"1131135",556,30
"1131140",0,0
"1131141A",0,0
"1131141B",0,0
"1133001",173,6
"1133003",897,63
"1133004",1013,122
"1133005",170,52
"1133006",1202,404
"1133007",408,147
"1133008A",2677,571
"1133008B",0,0
"1133009",1088,271
"1133010",113,53
"1133011",693,99
"1133012",51,6
"1133013",230,27
"1133016A",689,119
"1133016B",0,0
"1133017",276,15
"1133018",672,31
"1133019",259,6
"1133020",107,16
"1133021",321,6
"1133022",540,11
"1133023",498,15
"1133024",534,2
"1133025",51,3
"1133026",280,4
"1133027",505,14
"1133028",408,12
"1133029",296,10
"1133030",6,0
"1133031",189,31
"1133033",133,2
"1133034",542,23
"1133035",501,19
"1133036",3,1
"1133037",165,4
"1133038",374,22
"1133039",919,44
"1133040",423,8
"1133042",540,10
"1133043",696,32
"1133044",885,18
"1133045",243,7
"1133046",1031,105
"1133047",542,84
"1133048",1097,23
"1133049",802,31
"1133050",674,23
"1133051",317,6
"1133052",906,25
"1133053",904,34
"1133054",1403,68
"1133055",1314,81
"1133056",1276,76
"1133057",1157,55
"1133058",1043,32
"1133059",669,13
"1133060",709,21
"1133061",537,12
"1133062",916,21
"1133063",1561,62
"1133064",1246,38
"1133065",1018,16
"1133066",796,28
"1133067",888,22
"1133068",1613,62
"1133069",701,29
"1133070",1305,34
"1133071",1094,19
"1133072",16,2
"1133073",67,1
"1133074",231,18
"1133075",73,6
"1133076",0,0
"1133077",1489,152
"1133078",1083,107
"1133080",383,58
"1133082",928,32
"1133083",461,55
"1133084",586,83
"1133087",0,0
"1133089",8,5
"1133090",692,137
"1133091",0,0
"1133092",656,20
"1133094",0,0
"1133095",0,0
"1133096",0,0
"1133097",74,4
"1133098",105,1
"1133099",120,6
"1133100",1026,143
"1133101",360,45
"1133102",1235,112
"1133103",1512,120
"1133104",2294,190
"1133105",1090,158
"1133106",1642,140
"1133107",1275,99
"1133108",749,228
"1133109",1278,338
"1133110",1498,92
"1133111",22,2
"1133112",12,1
"1133113",4,0
"1133200",813,210
"1133201",597,148
"1133202",960,145
"1133203",879,127
"1133204",907,159
"1133205",869,44
"1133206",872,211
"1133207",908,209
"1133208",668,92
"1133209",60,20
"1133210",694,164
"1133211",454,53
"1133401",1,1
"1133411",1,0
"1133600",1051,77
"1133601",1106,116
"1133602",341,51
"1133603",152,20
"1133604",1368,145
"1133605",1468,106
"1133606",1308,64
"1133607",2371,137
"1133608",1711,90
"1133609",1594,121
"1133610",228,36
"1133611",481,68
"1133612",1655,128
"1133613",274,36
"1133614",420,37
"1133615",1297,80
"1133616",314,24
"1133617",1324,52
"1133618",206,12
"1133619",77,6
"1133620",592,50
"1133621",0,0
"1133800",2265,102
"1133801",150,8
"1133802",1926,100
"1133803",1768,80
"1133805",2499,89
"1133806",491,19
"1133807",1159,70
"1133808",1532,248
"1133809",151,16
"1133900",2612,191
"1133922",33,3
"1133940A",654,93
"1133940B",0,0
"1133950",696,52
"1134015",764,90
"1134016",835,81
"1134017",212,27
"1134019",1120,110
"1134022",1259,135
"1134023",0,1
"1134024",728,42
"1134032",1490,216
"1134033",899,144
"1134035",504,69
"1134038",908,61
"1134039",226,5
"1134040",291,14
"1134041",300,13
"1134047",339,8
"1134048",2,7
"1134049",0,0
"1134050",1852,189
"1134051",0,0
"1134052",1787,216
"1134079",2053,361
"1134080",338,80
"1134093",28,3
"1134101",29,6
"1134109",18,1
"1134110",388,5
"1134112",24,16
"1134115",167,32
"1134116",0,0
"1134117",12,0
"1134118",6,0
"1134119",0,0
"1134122",0,0
"1134500",871,155
"1134501",754,162
"1134502",1294,238
"1134503",1613,199
"1134504",465,96
"1134505",634,140
"1134506",405,70
"1134509",382,109
"1134519",1169,257
"1134520",306,41
"1134521",1316,300
"1134522",1136,207
"1134523",218,37
"1134525",468,59
"1134528",0,0
"1134529",274,53
"1134531",148,39
"1134536",16,4
"1134537",2,1
"1134538",294,31
"1134539",0,0
"1134541",0,0
"1134542",0,0
