CNTYVTD,CarterR_18G_U.S. Rep 31,HegarD_18G_U.S. Rep 31,HopeL_18G_U.S. Rep 31
"0270101",2678,1020,55
"0270102",1240,520,26
"0270103",1632,834,33
"0270104",3170,1102,60
"0270105",716,146,6
"0270106",671,1387,38
"0270107",186,87,3
"0270108",743,174,12
"0270109",375,578,21
"0270110",175,171,6
"0270111",1629,1067,41
"0270113",125,39,1
"0270201",752,747,19
"0270202",1785,1238,49
"0270203",3507,934,66
"0270204",413,547,11
"0270205",646,1287,21
"0270206",327,537,17
"0270207",415,949,33
"0270208",956,2020,36
"0270209",1683,2004,49
"0270210",1049,1702,36
"0270301",1589,346,25
"0270302",1215,871,23
"0270303",1205,1093,32
"0270304",319,113,3
"0270305",1071,527,13
"0270306",346,536,17
"0270307",267,783,9
"0270308",430,480,16
"0270309",403,68,2
"0270310",260,44,2
"0270311",1331,308,22
"0270312",821,180,7
"0270313",1166,495,21
"0270314",697,587,19
"0270315",2160,1264,61
"0270317",2771,1374,42
"0270401",492,181,11
"0270402",978,467,14
"0270404A",609,1271,26
"0270404B",0,0,0
"0270405",0,0,0
"0270406",488,560,14
"0270408",863,1630,34
"0270409",436,469,15
"0270410",242,470,12
"4910119",1008,1159,57
"4910122",885,976,42
"4910135",522,1228,37
"4910138",1227,1354,55
"4910140",603,719,20
"4910145",484,1047,30
"4910146",833,2262,53
"4910147",579,1519,38
"4910149",468,835,14
"4910150",447,891,32
"4910151",489,1142,33
"4910152",392,1073,32
"4910160",1104,1624,48
"4910162",490,1178,38
"4910172",718,796,24
"4910182",1513,1281,38
"4910185",335,748,15
"4910186",607,1149,34
"4910189",649,1302,26
"4910190",1607,1697,69
"4910197",735,1075,30
"4910198",1114,1570,56
"4910201",1529,2159,57
"4910202",625,517,9
"4910204",1394,1702,60
"4910206",1445,510,40
"4910207",2141,798,63
"4910216",721,875,43
"4910218",723,1240,34
"4910253",1437,1198,64
"4910254",1024,1087,56
"4910259",1318,1264,57
"4910263",1317,1296,58
"4910264",1475,1267,64
"4910266",1103,1496,53
"4910267",1611,1111,74
"4910273",771,1086,49
"4910274",932,2348,76
"4910275",504,1163,31
"4910277A",1327,1382,65
"4910277B",38,40,2
"4910278",1624,2003,75
"4910283",1272,1563,74
"4910287",1429,1576,72
"4910305",1549,644,24
"4910309",650,243,11
"4910310",693,266,20
"4910311",799,358,33
"4910312",1580,832,53
"4910314",782,1122,57
"4910330",1138,1319,55
"4910331",1239,1154,34
"4910332",1438,1216,52
"4910333A",1143,1236,50
"4910333B",7,8,0
"4910337",1399,1589,35
"4910339",621,1037,34
"4910341",792,484,23
"4910342",175,331,10
"4910343",1617,1149,69
"4910344",1848,916,45
"4910345",1240,537,40
"4910368",962,1206,41
"4910369",1468,1405,49
"4910370",1631,1155,61
"4910371",1041,588,23
"4910379",2184,1034,56
"4910381",1727,1008,26
"4910392",2391,1230,69
"4910393",1278,604,15
"4910394",2184,1181,26
"4910395",1608,651,42
"4910396",2102,1209,29
"4910402",1270,1790,77
"4910403",635,803,38
"4910413",213,132,7
"4910415",712,337,22
"4910420",1744,2069,56
"4910423",783,1195,44
"4910424",1489,1151,36
"4910425",218,135,4
"4910426",635,550,30
"4910427",811,663,19
"4910428",965,743,25
"4910429",259,535,21
"4910434",1408,459,24
"4910436",340,138,9
"4910455",438,944,29
"4910456",341,478,10
"4910463",992,2012,59
"4910480",1066,1974,62
"4910484",1456,1958,73
"4910488",882,938,29
"4910489",1338,1654,48
"4910490",552,635,25
"4910491",1246,1844,60
