CNTYVTD,SessionsR_18G_U.S. Rep 32,AllredD_18G_U.S. Rep 32,BakerL_18G_U.S. Rep 32
"0850027",784,663,34
"0850056",1928,1300,68
"0850083",1795,952,70
"0850133",646,621,31
"0850153",1543,1334,62
"0850159",1272,1461,58
"0850170",631,375,32
"0850174",1190,980,58
"0850196",571,420,31
"0850217",653,385,28
"1131003",148,1565,30
"1131004",524,566,9
"1131005",535,1042,27
"1131006",702,572,18
"1131007",207,101,7
"1131008",243,584,24
"1131010",171,714,31
"1131012",94,118,2
"1131013",904,1537,67
"1131014",298,896,44
"1131015",452,1073,29
"1131016",47,121,4
"1131017",273,464,35
"1131018",53,115,4
"1131019",496,1327,38
"1131020",343,585,20
"1131021",379,722,21
"1131022",590,1880,51
"1131023",532,847,33
"1131026",91,263,10
"1131027",495,1302,52
"1131028",258,546,12
"1131029",138,609,11
"1131030",389,770,14
"1131032",212,265,11
"1131033",374,431,18
"1131035",35,83,5
"1131036",96,351,13
"1131037",158,435,12
"1131040",412,999,29
"1131041",30,273,5
"1131042",28,394,9
"1131043",765,724,24
"1131050",46,66,1
"1131070",163,744,30
"1131071A",488,1279,48
"1131071B",0,0,0
"1131073",267,1169,43
"1131117",824,984,10
"1131120",288,676,20
"1131127",48,219,7
"1131129",3,49,2
"1131131",154,533,22
"1131138",0,0,0
"1131139",3,2,0
"1131500",401,880,32
"1131501",560,856,35
"1131502",664,1406,40
"1131503",336,996,16
"1131504",603,741,22
"1131700",347,638,28
"1131701",395,549,29
"1131702",529,856,38
"1131703",430,882,40
"1131704",246,451,21
"1131705",382,643,24
"1131706",420,888,29
"1131708",119,187,9
"1131709",342,1317,37
"1131710",67,593,10
"1131711",306,670,26
"1131712A",574,568,21
"1131712B",0,0,0
"1131713",301,249,22
"1131714",433,548,27
"1131715",177,512,24
"1131716",813,556,36
"1131717",633,1052,47
"1131718",455,405,17
"1131721",612,644,40
"1131722",453,953,42
"1131723",23,59,4
"1131724",10,42,0
"1131725",201,124,9
"1131726",441,555,22
"1131727",38,74,7
"1131729",221,499,16
"1132007",1282,914,20
"1132008",664,470,9
"1132011",817,659,14
"1132013",544,355,16
"1132014",258,124,3
"1132016",1467,997,25
"1132017",281,602,23
"1132018",367,271,8
"1132019",695,587,13
"1132020",765,1036,22
"1132021",1669,1009,26
"1132022",283,253,4
"1132023",435,458,15
"1132024",497,547,18
"1132025",1158,734,21
"1132026",1430,747,19
"1132027",773,423,13
"1132029",841,413,12
"1132030",1043,367,16
"1132031",778,1407,51
"1132032",369,736,39
"1132033",565,756,30
"1132034",648,508,7
"1132035",378,607,28
"1132036",871,830,34
"1132037",308,355,7
"1132038",877,1363,48
"1132039",731,1198,32
"1132040",578,659,22
"1132042",954,1198,23
"1132043",707,865,18
"1132044",340,356,13
"1132045",576,771,16
"1132046",741,592,15
"1132047",836,812,39
"1132049",503,598,21
"1132050",532,570,28
"1132051",920,828,30
"1132052",657,372,12
"1132056",553,393,11
"1132057",214,159,7
"1132058",345,411,12
"1132059",466,405,14
"1132063",303,240,9
"1132064",584,763,25
"1132068",570,1034,33
"1132069",971,1143,41
"1132071",735,755,23
"1132077",454,438,9
"1132200",977,410,11
"1132201",887,396,15
"1132202",996,414,13
"1132203",761,375,19
"1132220",1004,300,7
"1132221",1849,672,19
"1132222",1545,580,25
"1132223",721,435,16
"1132224",550,624,36
"1132225",843,374,11
"1132226",1351,595,18
"1132500",650,1037,46
"1132501",558,451,19
"1132502",876,498,26
"1132503",1156,809,23
"1132504",440,424,24
"1132505",742,1032,43
"1132506",786,742,29
"1132507",774,736,40
"1132508",577,1127,58
"1132509",1042,946,37
"1132510",464,610,23
"1132511",598,659,27
"1132512",467,478,20
"1132513",680,979,37
"1132514",776,893,37
"1132700",761,1125,50
"1132701",1269,1290,38
"1132702",2031,1237,47
"1132703",240,366,18
"1132704",610,1134,41
"1132705",370,723,22
"1132706",791,789,26
"1132707",754,1009,51
"1132708",1290,1306,53
"1132709",428,345,18
"1132710",604,765,38
"1132711",627,781,16
"1132712",816,1364,49
"1132713",780,425,21
"1132714",1077,1468,59
"1132715",673,930,37
"1132716",302,551,21
"1132717",2,0,0
"1132920",974,1055,39
"1132921",1349,1187,36
"1132922",1742,1550,65
"1132923",1052,963,46
"1132924",567,593,22
"1132925",1264,755,38
"1132926",585,566,35
"1132927",1481,1581,88
"1132928",1250,647,31
"1132929",405,352,23
"1132940",660,298,23
"1132941",1557,1140,77
"1132942",1666,1158,70
"1133000",851,1283,41
"1133081",397,587,17
"1133086",800,1230,60
"1133300",752,814,31
"1133301",774,773,35
"1133501",5,1,0
"1133700",805,1410,52
"1133701",914,1296,56
"1133702",553,764,29
"1134014",706,633,18
"1134018",274,479,13
"1134020",95,407,9
"1134021",348,2108,71
"1134100",3,11,1
"1134102",78,105,2
"1134103",20,71,1
"1134104",3,11,0
"1134105",1,7,0
"1134106",41,61,1
