CNTYVTD,BillupsR_18G_U.S. Rep 33,VeaseyD_18G_U.S. Rep 33,ReevesL_18G_U.S. Rep 33
"1133002",50,593,4
"1133032",38,460,22
"1133041",0,41,0
"1133088",8,26,0
"1134001A",101,482,11
"1134001B",0,0,0
"1134001C",0,0,0
"1134003A",12,107,3
"1134003B",0,0,0
"1134008",24,194,9
"1134009",74,618,22
"1134011",86,333,8
"1134025",4,125,4
"1134026",3,60,1
"1134027",15,106,4
"1134028",16,365,5
"1134029",1,3,0
"1134030",2,25,0
"1134031",45,783,15
"1134036",25,321,11
"1134037",9,84,0
"1134043",50,554,7
"1134044",21,423,4
"1134046",23,460,6
"1134053",37,173,2
"1134054",23,171,8
"1134055",180,935,26
"1134056",111,1019,22
"1134057",101,649,10
"1134058",57,395,10
"1134059",23,159,3
"1134060",114,818,16
"1134061",138,853,32
"1134062",101,667,24
"1134063",199,1264,40
"1134065",70,360,14
"1134066",70,343,7
"1134067",121,776,20
"1134068",121,739,21
"1134069",195,1188,45
"1134070",70,605,20
"1134071",15,152,6
"1134072",12,96,5
"1134073",158,720,25
"1134074",245,1354,26
"1134075",55,390,13
"1134076",179,999,23
"1134077",81,520,12
"1134078",106,719,19
"1134081",152,1121,36
"1134082",40,369,10
"1134083",93,507,21
"1134084",22,230,2
"1134085",48,361,20
"1134086",144,985,14
"1134087A",47,317,5
"1134087B",0,0,0
"1134088",11,136,5
"1134090",9,21,0
"1134091A",0,0,0
"1134091B",0,0,0
"1134091C",0,0,0
"1134097A",129,407,9
"1134097B",0,0,0
"1134107",0,26,0
"1134108",0,22,1
"1134111",27,100,1
"1134113",121,748,23
"1134114",80,623,18
"1134120",21,200,9
"1134123",0,0,0
"1134124",0,0,0
"1134300",129,531,10
"1134507",41,416,7
"1134508",83,178,10
"1134510",275,603,24
"1134511",285,470,23
"1134512",295,290,15
"1134513",315,710,21
"1134514",308,340,20
"1134515",211,587,26
"1134516",3,9,0
"1134517",1010,814,41
"1134518A",340,545,23
"1134527",172,483,19
"1134530",11,87,3
"1134532",54,88,5
"1134533",153,362,12
"1134534",7,34,1
"1134535",95,256,6
"1134540",0,0,0
"1134600",577,631,35
"1134601",954,1006,50
