CNTYVTD,GonzalezR_18G_U.S. Rep 34,VelaD_18G_U.S. Rep 34
"0250001",580,404
"0250002",151,16
"0250003",416,283
"0250004",134,39
"0250005",118,48
"0250006",386,205
"0250008",92,28
"0250009",94,237
"0250010",187,324
"0250011",94,44
"0250012",121,51
"0250013",418,237
"0250014",87,49
"0250016",301,212
"0250017",250,257
"0250018",684,269
"0250019",70,159
"0610001",357,448
"0610002",163,106
"0610003",281,600
"0610004",535,888
"0610005",44,163
"0610006",53,330
"0610007",29,115
"0610008",28,145
"0610009",128,547
"0610010",102,394
"0610011",143,476
"0610012",320,656
"0610013",52,169
"0610014",196,589
"0610015",228,637
"0610016",181,264
"0610017",319,841
"0610018",264,564
"0610019",224,404
"0610020",289,271
"0610021",263,543
"0610022",244,577
"0610023",40,46
"0610024",86,308
"0610025",83,192
"0610026",561,598
"0610027",230,669
"0610028",252,336
"0610029",642,560
"0610030",276,229
"0610031",53,85
"0610032",456,589
"0610033",60,155
"0610034",43,57
"0610035",289,319
"0610036",327,498
"0610037",69,378
"0610038",133,250
"0610039",109,285
"0610040",299,551
"0610041",352,1029
"0610042",98,277
"0610043",120,270
"0610044",853,768
"0610045",125,496
"0610046",360,977
"0610047",75,264
"0610048",212,400
"0610049",101,183
"0610050",804,1015
"0610051",137,214
"0610052",717,489
"0610053",159,748
"0610054",454,1386
"0610055",384,825
"0610056",424,456
"0610057",146,148
"0610058",601,690
"0610059",44,147
"0610060",89,201
"0610061",267,676
"0610062",262,861
"0610063",185,550
"0610064",509,568
"0610065",372,653
"0610066",768,958
"0610067",860,716
"0610068",126,537
"0610069",228,949
"0610070",58,271
"0610071",208,870
"0610072",357,918
"0610073",463,1191
"0610074",284,1049
"0610075",184,779
"0610076",151,353
"0610077",155,719
"0610078",553,708
"0610079",580,709
"0610080",1113,973
"0610081",235,353
"0610082",148,530
"0610083",230,275
"0610084",458,498
"0610085",246,272
"0610086",125,344
"0610087",517,391
"0610095",100,222
"0610096",99,393
"0610097",53,192
"0610098",546,1584
"0610099",42,94
"0610100",575,1496
"0610101",101,228
"0610102",291,534
"0610103",39,83
"0610104",20,52
"0610105",7,18
"0610106",364,675
"0610107",47,169
"0610108",0,0
"0610109",0,0
"1230101",677,127
"1230102",151,222
"1230201",232,33
"1230202",466,109
"1230203",450,63
"1230301",674,92
"1230302",514,99
"1230303",192,49
"1230401",984,235
"1230402",631,67
"1750011",241,227
"1750012",227,24
"1750021",259,225
"1750022",80,45
"1750031",338,106
"1750032",355,37
"1750041",186,32
"1750042",329,46
"1750043",191,30
"1770005",284,69
"1770010",214,53
"1770013",160,31
"1770014",52,12
"1770015",180,22
"17704/6",366,129
"2150002",252,494
"2150003",87,349
"2150004",431,1365
"2150023",207,604
"2150039",139,533
"2150040",128,589
"2150045",245,466
"2150055",233,748
"2150059",145,555
"2150071A",9,35
"2150071B",4,14
"2150077",187,488
"2150091",104,234
"2150111",347,734
"2150113",504,1077
"2150114",765,1015
"2150117",263,1059
"2150118",228,526
"2150120",223,657
"2150121",19,53
"2150123",118,299
"2150127",73,312
"2150137",7,11
"2150155",79,164
"2150156",153,617
"2150171",0,11
"2150172",7,9
"2150173",219,310
"2150174",73,276
"2150176",107,322
"2150177A",40,142
"2150177B",9,33
"2150178",10,6
"2150186",11,67
"2150196",166,236
"2150229",85,256
"2150232",98,285
"2150235",70,74
"2150238",20,26
"2150251",0,6
"2150255",36,63
"2490001",53,123
"2490002",179,64
"2490003",488,145
"2490004",200,316
"2490005",26,89
"2490006",128,271
"2490007",644,540
"2490008",937,346
"2490009",72,151
"2490010",171,606
"2490011",105,189
"2490012",284,477
"2490013",36,135
"2490014",63,44
"2490015",242,365
"2490016",71,236
"2490017",240,436
"2490018",56,96
"2490019",123,31
"2490020",43,232
"2490022",166,420
"2610001",17,21
"2610002",18,30
"2610003",7,10
"2610004",14,16
"2610005",2,8
"2610006",6,9
"2730011",521,375
"2730012",393,261
"2730013",278,420
"2730014",84,124
"2730021",34,97
"2730022",217,253
"2730023",193,342
"2730024",268,294
"2730031",402,290
"2730032",242,269
"2730033",246,140
"2730034",198,113
"2730035",320,225
"2730041",48,147
"2730042",77,242
"2730043",289,386
"2730044",97,137
"2730045",61,264
"4090102",555,556
"4090104",394,240
"4090105",172,465
"4090117",146,75
"4090118",320,542
"4090122",262,124
"4090124",567,778
"4890001",133,410
"4890002A",3,17
"4890002B",168,453
"4890003",139,230
"4890004",158,423
"4890005",70,223
"4890006",65,137
"4890007",150,303
"4890008",75,222
"4890009",93,245
"4890010",154,43
"4890011",99,135
"4890012",12,27
