CNTYVTD,SmallingR_18G_U.S. Rep 35,DoggettD_18G_U.S. Rep 35,PattersonL_18G_U.S. Rep 35
"0291001",71,328,2
"0291003",117,827,29
"0291004",37,290,4
"0291008",128,850,19
"0291010",42,250,9
"0291011",39,135,2
"0291017",26,48,3
"0291019",53,244,2
"0291028",76,281,8
"0291052",182,572,15
"0291053",19,69,2
"0291054",187,715,9
"0291091",223,691,19
"0291098",45,268,7
"0291117",43,105,4
"0291119",11,31,1
"0291120",3,34,0
"0291126",0,0,0
"0292001",29,205,11
"0292002",48,372,7
"0292003",71,565,10
"0292004",119,750,14
"0292005",71,367,8
"0292007",81,487,7
"0292008",50,294,7
"0292033",32,171,7
"0292034",44,214,7
"0292035",157,678,18
"0292039",98,562,17
"0292051",69,190,3
"0292070",83,576,12
"0292071",40,190,4
"0292075",34,281,7
"0292079",17,174,7
"0292089",26,124,2
"0292103",10,89,1
"0292104",13,88,0
"0292105",30,177,6
"0292117",30,204,7
"0292152",40,208,8
"0293028",535,548,28
"0293100",740,875,39
"0293103",131,207,8
"0293105",834,848,45
"0293110",762,860,50
"0293159",366,599,38
"0293204",0,0,0
"0293205",0,0,0
"0293206",5,52,3
"0293208",12,28,1
"0294001",350,943,43
"0294002",43,257,10
"0294003",49,353,11
"0294004",95,303,10
"0294005",94,625,24
"0294006",37,235,7
"0294009",45,247,2
"0294010",27,325,7
"0294011",33,396,4
"0294012",34,209,7
"0294013",74,296,8
"0294014",24,128,3
"0294015",109,649,11
"0294016",178,816,30
"0294017",173,905,26
"0294018",130,531,15
"0294019",205,709,32
"0294020",168,363,12
"0294021",192,307,15
"0294022",24,30,0
"0294023",341,694,25
"0294024",316,833,28
"0294025",120,359,13
"0294026",278,995,43
"0294027",167,516,18
"0294028",200,895,18
"0294029",91,689,18
"0294030",10,119,1
"0294031",130,523,12
"0294032",215,532,21
"0294033",396,947,21
"0294035",5,15,0
"0294037",51,489,13
"0294039",29,437,4
"0294040",63,399,10
"0294041",76,654,12
"0294042",20,25,0
"0294044",196,364,15
"0294045",361,692,28
"0294047",312,721,22
"0294048",110,555,11
"0294063",113,215,12
"0294064",461,587,20
"0294065",338,1092,44
"0294075",44,241,5
"0294076",288,804,27
"0294080",264,572,27
"0294082",61,524,9
"0294091",156,345,20
"0294094",421,464,29
"0294095",383,443,21
"0294096",328,627,30
"0294097",363,428,21
"0294098",338,424,24
"0294099",192,338,18
"0294102",79,211,10
"0294104",353,472,14
"0294106",42,116,3
"0294108",666,833,53
"0294110",108,477,26
"0294117",136,161,11
"0294119",63,259,8
"0294120",24,52,2
"0294124",142,581,15
"0294125",7,25,1
"0294131",46,105,4
"0294134",1,3,0
"0294138",2,2,0
"0294139",0,0,0
"0294141",9,80,1
"0294148",36,47,4
"0294149",54,109,5
"0294154",130,219,4
"0294155",228,1064,30
"0294157",130,657,28
"0294160",183,525,7
"0294170",60,98,5
"0294171",321,336,21
"0294172",238,307,14
"0294174",208,365,25
"0294177",1,18,0
"0294179",698,760,47
"0294181",0,0,0
"0294182",1,0,0
"0294185",2,0,0
"0294195",0,0,0
"0294200",320,844,29
"0294203",34,149,7
"0294205",25,27,2
"0294210",2,3,1
"0550100",93,165,10
"0550101",132,259,9
"0550103",549,662,35
"0550105",17,41,1
"0550107",0,0,0
"0550108",22,31,2
"0550109",10,3,0
"0550114",0,0,0
"0550115",0,0,0
"0550116",0,0,0
"0550118",39,39,3
"0550301",233,314,13
"0550302",323,427,13
"0550303",240,196,12
"0550400",21,22,0
"0550401",93,301,5
"0550402",224,595,19
"0550407",2,4,0
"0550408",2,8,0
"0550409",12,6,0
"0550412",45,100,0
"0910201",1674,888,61
"0910202A",410,187,8
"0910202B",43,19,1
"0910301",812,919,49
"0910302",1606,1048,88
"0910303",199,270,13
"0910304",1171,820,52
"0910306",486,320,23
"1870304",1361,895,49
"1870305",1291,1022,54
"1870308",778,458,27
"1870402",489,377,34
"1870404",889,688,50
"1870411",1143,776,47
"2090110",402,630,33
"2090112",209,859,50
"2090113",455,1732,71
"2090120",469,2236,96
"2090125",450,913,48
"2090127",1088,1767,85
"2090129",786,1795,82
"2090221",1090,1576,95
"2090223",430,832,35
"2090224",0,0,0
"2090228",1497,3040,119
"2090229",220,576,16
"2090234",168,306,15
"2090301",0,0,0
"2090317",46,208,5
"2090318",15,49,3
"2090334",331,1488,58
"2090413",87,517,18
"2090414",121,634,35
"2090415",199,1004,44
"2090416",16,32,1
"2090418",1,1,0
"2090419",467,599,27
"4530101",456,3045,85
"4530115",0,0,0
"4530116",0,0,0
"4530117",119,1514,43
"4530119",0,0,0
"4530120",30,58,1
"4530121",42,568,17
"4530128",0,0,0
"4530134",0,0,0
"4530139",278,1650,61
"4530164",135,838,30
"4530209",85,495,15
"4530223",60,301,7
"4530224",9,91,2
"4530401",342,1147,41
"4530402",340,1457,53
"4530403",229,527,18
"4530404",387,2099,75
"4530405",102,456,16
"4530407",213,1393,32
"4530410",244,1882,79
"4530411",240,1140,41
"4530413",156,900,26
"4530414",565,1974,95
"4530415",149,699,34
"4530417",219,1145,37
"4530423",174,1777,59
"4530425",85,384,18
"4530426",132,1736,41
"4530427",101,1506,52
"4530429",500,4596,154
"4530436",11,222,1
"4530438",83,875,23
"4530439",152,2258,71
"4530440",109,744,29
"4530441",309,2273,85
"4530442",108,904,27
"4530443",208,1656,55
"4530444",7,105,1
"4530447",341,2149,97
"4530448",197,1301,48
"4530450",306,2100,71
"4530451",305,1782,64
"4530452",126,1001,23
"4530463",354,1955,74
