CNTYVTD,RatcliffeR_18G_U.S. Rep 4,KrantzD_18G_U.S. Rep 4,AshbyL_18G_U.S. Rep 4
"0370007",1257,638,19
"0370009",876,421,12
"0370010",931,207,11
"0370011",1245,169,15
"0370012",1118,173,16
"0370013",69,18,1
"0370014",1150,427,14
"0370015",280,30,2
"0370016",640,89,9
"0370017",769,109,7
"0370018",1051,185,15
"0370019",403,23,0
"037001A",58,368,6
"037001B",129,355,5
"0370020",221,110,1
"0370021",124,23,2
"0370022",164,30,1
"0370024",253,47,2
"0370025",573,107,10
"0370027",336,21,3
"0370028",409,26,2
"0370029",165,19,3
"037002A",124,341,3
"037002B",75,99,3
"037002C",66,383,3
"037002D",13,17,0
"0370030",577,153,7
"037003A",495,260,12
"037003B",150,209,5
"037004A",170,219,4
"037004B",565,276,9
"037004C",108,139,2
"037004D",6,8,0
"037004E",0,0,0
"037005A",44,57,1
"037005B",0,0,0
"037005C",1982,518,26
"037006A",912,284,13
"037006B",1009,250,13
"037008A",133,229,5
"037008B",1213,354,10
"037008C",554,121,5
"0631001",683,255,11
"0632002",928,237,8
"0633003",427,363,6
"0634004",740,218,2
"0670001",1332,329,15
"0670002",177,51,2
"0670004",162,68,5
"0670005",379,87,5
"0670006",253,29,1
"0670007",793,203,6
"0670009",416,145,5
"0670011",251,98,2
"0670012",317,116,1
"0670014",946,168,10
"0670015",302,33,2
"0670016",238,28,4
"0670017",1440,241,10
"0670018",286,15,2
"0670019",232,23,1
"0670021",144,13,2
"067013T",430,297,3
"067020E",119,16,1
"0850011",1529,420,38
"0850013",1761,487,49
"0850017",951,581,24
"0850018",365,89,5
"0850020",422,127,6
"0850022",1712,378,40
"0850029",661,287,14
"0850033",1580,570,38
"0850035",683,137,13
"0850037",922,153,19
"0850042",667,201,14
"0850093",128,19,2
"0850154",489,72,4
"0850160",194,19,5
"0850161",102,37,1
"0850162",144,22,2
"0850180",180,102,12
"0850181",545,290,14
"0850190",35,7,2
"0850192",749,191,14
"0850200",2,1,0
"0850202",5,3,0
"1190001",393,50,7
"1190003",159,57,1
"1190004",227,50,8
"1190005",351,66,4
"1190007",120,20,4
"1190009",153,14,0
"1190010",174,53,4
"1470001",534,132,10
"1470002",592,79,11
"1470003",225,91,5
"1470004",496,174,7
"1470005",258,53,6
"1470006",325,67,3
"1470007",233,48,10
"1470009",435,85,5
"1470010",1081,214,19
"1470011",1110,197,21
"1470012",585,73,10
"1470013",343,74,9
"1470015",410,54,9
"1470016",162,32,1
"1470018",1145,317,20
"1470019",690,223,9
"1590101",540,92,9
"1590102",269,31,1
"1590201",327,33,5
"1590202",389,120,5
"1590301",411,61,5
"1590302",341,71,3
"1590401",642,89,9
"1590402",400,70,6
"1810101",903,776,32
"1810102",349,725,28
"1810103",262,60,1
"1810104",489,92,5
"1810105",2499,564,59
"1810106",1161,248,31
"1810107",948,132,25
"1810108A",719,116,8
"1810108B",81,14,1
"1810201",1124,497,30
"1810202",1145,440,26
"1810203",228,206,6
"1810204",463,127,9
"1810205A",1768,392,19
"1810205B",0,0,0
"1810206",619,177,9
"1810207",486,92,3
"1810208",600,191,11
"1810209",558,114,9
"1810210",960,156,8
"1810301",559,290,12
"1810302",1894,897,42
"1810303",456,85,3
"1810304",1092,505,27
"1810305",677,140,7
"1810306",1856,276,24
"1810307",945,143,17
"1810308",555,73,10
"1810309",348,72,5
"1810401",351,359,10
"1810402",907,370,19
"1810403",1374,308,17
"1810404",1652,373,25
"1810405",158,88,3
"1810406",1329,209,22
"1810407",36,35,2
"1810408A",596,179,14
"1810408B",43,12,0
"1810409",1848,638,53
"2230001",939,253,11
"2230002",514,210,8
"2230003",659,234,10
"2230004",628,95,5
"2230005",231,33,5
"2230008",130,25,1
"2230011",335,86,4
"2230012",161,19,0
"2230013",370,90,2
"2230014",459,77,0
"2230016",535,84,3
"2230017",537,117,4
"223001A",761,168,13
"2230020",293,40,2
"2230023",134,17,2
"2230024",362,42,6
"2230025",176,25,1
"223002A",317,273,4
"2230036",436,49,9
"223003A",679,168,9
"223004A",743,210,9
"2310101",493,66,9
"2310102",567,106,8
"2310103",354,50,7
"2310104",462,85,6
"2310105",234,122,3
"2310106",543,286,13
"2310107",1085,414,28
"2310108",467,255,21
"2310109",567,108,9
"2310210",284,90,9
"2310211",291,75,6
"2310212",435,184,10
"2310213",459,56,8
"2310214",1292,230,18
"2310215",2305,489,45
"2310216",986,212,15
"2310217",764,144,18
"2310318",346,43,9
"2310319",802,116,12
"2310320",830,191,14
"2310321",541,125,9
"2310322",359,94,4
"2310323",1288,216,20
"2310324",998,225,16
"2310325",1281,283,14
"2310426",200,65,1
"2310427",644,637,21
"2310428",604,424,29
"2310429",200,59,1
"2310430",187,77,15
"2310431",191,80,0
"2310432",361,29,7
"2310433",215,598,16
"2310434",632,101,11
"277001B",134,10,0
"277001C",146,20,2
"277001D",273,37,5
"277001E",374,66,6
"277001F",443,44,4
"277001G",228,36,3
"277001H",291,31,3
"277001I",52,7,0
"277002D",274,74,3
"277002E",283,50,2
"277002F",102,15,1
"277002G",298,71,2
"277003D",410,44,2
"277003E",665,59,7
"277003F",273,36,2
"277003G",283,37,5
"277003I",667,84,6
"277004B",833,128,15
"277004C",147,27,4
"277004D",777,55,3
"277004E",351,45,4
"277004F",806,142,14
"277004G",1001,146,13
"2771A3B",270,131,2
"2771A5A",370,261,12
"2771E7C",471,122,5
"2772A1A",136,317,5
"2772B2A",158,311,6
"2772C3A",373,252,9
"2773C7G",1078,416,24
"2773H3C",260,93,2
"2774A6E",619,203,8
"3150001",187,96,2
"3150002",480,101,4
"3150003",229,56,2
"3150004",180,75,1
"3150005",299,80,7
"3150006",277,143,0
"3150007",168,210,1
"3150008",388,114,5
"3150009",174,47,4
"3150010",102,71,3
"3430101",73,210,1
"3430102",77,130,2
"3430103",251,122,2
"3430202",490,109,6
"3430203",359,126,6
"3430302",371,146,3
"3430303",527,97,6
"3430401",809,271,6
"3790101",608,75,7
"3790102",316,71,3
"3790203",722,110,7
"3790204",301,45,1
"3790305",442,78,7
"3790306",411,142,2
"3790407",467,81,5
"3790408",388,76,6
"3870001",44,4,0
"3870002",255,113,2
"3870003",300,254,5
"3870004",302,171,5
"3870005",491,58,7
"3870007",125,24,1
"3870009",169,8,0
"3870010",116,7,0
"3870011",70,8,0
"3870013",290,47,1
"3870014",100,16,1
"3870017",128,19,1
"3870018",79,9,0
"3870019",208,28,0
"3870020",44,38,0
"3870021",64,24,2
"3870024",85,26,0
"3870027",212,15,1
"3870028",101,40,0
"3870029",76,27,1
"3870030",66,3,1
"3870031",80,7,2
"3970001",2327,927,51
"3970002",1917,678,36
"3970003",136,136,4
"3970004",1206,300,22
"397001A",1364,718,39
"397001B",2764,818,55
"397001C",1599,469,28
"397002A",1860,823,38
"397002B",753,394,22
"397002C",2772,621,43
"397003A",333,390,7
"397003B",977,698,25
"397003C",1545,281,16
"397003D",3181,818,41
"397004A",2968,1436,81
"397004B",545,256,10
"397004C",1303,447,23
"4490001",45,193,1
"4490002",206,99,3
"4490003",284,60,6
"4490004",302,56,1
"4490005",135,12,7
"4490006",598,79,4
"4490007",471,104,2
"4490008",182,245,3
"4490009",165,49,2
"4490010",459,48,5
"4490011",70,22,1
"4490012",149,14,3
"4490014",453,322,9
"4490015",330,61,4
"4490016",983,240,17
"4490017",54,148,3
"4490018",86,12,1
"4490019",241,113,9
"4490020",525,203,15
"4590001",819,157,10
"4590002",1314,112,17
"4590003",728,114,4
"4590004",467,109,7
"4590005",324,105,8
"4590006",645,102,15
"4590007",953,215,13
"4590008",388,95,11
"4590012",500,53,7
"4590013",356,118,7
"4590014",233,46,6
"4590015",897,90,13
"4590016",596,163,14
"4590020",62,10,1
"4590021",0,0,0
