CNTYVTD,GoodenR_18G_U.S. Rep 5,WoodD_18G_U.S. Rep 5,GrayW_18G_U.S. Rep 5
"0010001",672,232,0
"0010002",1075,156,0
"0010003",570,93,2
"0010004",746,98,1
"0010005",177,13,0
"0010006",265,377,0
"0010007",88,442,1
"0010008",47,101,0
"0010009",563,125,4
"0010010",234,26,0
"0010011",494,142,5
"0010013",621,243,0
"0010015",488,54,2
"0010016",349,92,0
"0010017",342,99,1
"0010018",918,183,0
"0010019",806,226,3
"0010020",420,131,1
"0010021",855,125,1
"0010022",535,93,2
"0010023",701,75,0
"0010024",455,36,2
"0730012",578,136,2
"0730013",552,65,0
"0730014",743,70,0
"0730015",1165,410,2
"0730022",228,80,2
"0730023",531,64,1
"0730024",652,225,2
"0730025",410,88,1
"0730026",387,157,0
"0730027",494,151,0
"0730028",304,30,0
"0730032",390,65,0
"0730033",709,187,0
"0730034",710,86,0
"0730035",456,133,0
"0730036",822,152,0
"0730037",126,80,0
"0730038",119,117,0
"0730042",106,366,0
"0730043",294,203,2
"0730044",691,91,0
"0730045",281,112,0
"0730046",363,64,0
"0730047",171,12,0
"0730048",314,35,0
"1131000",37,246,0
"1131001",68,288,0
"1131002",91,445,0
"1131009",84,372,0
"1131011",55,255,0
"1131038",131,724,0
"1131039",9,109,0
"1131044",876,675,0
"1131045",140,635,0
"1131046",56,135,0
"1131047",222,523,0
"1131048",896,1001,0
"1131049",684,812,0
"1131051",63,89,0
"1131052",805,1470,0
"1131054",172,566,0
"1131055",93,269,0
"1131056",222,346,0
"1131057",264,749,0
"1131058",339,840,0
"1131059",492,612,0
"1131060",1231,1870,0
"1131061",324,635,0
"1131068",14,16,0
"1131077",0,0,0
"1131110",0,12,0
"1131115",167,548,0
"1131121",232,767,0
"1131125",311,562,0
"1131126",65,293,0
"1131128",390,138,0
"1131133",111,130,0
"1131136",0,1,0
"1131137",7,12,0
"1131300",580,714,0
"1131301",555,743,0
"1131302",442,779,0
"1131303",3,37,0
"1131304",336,446,0
"1131305",287,445,0
"1131307",4,66,0
"1131308A",326,527,0
"1131308B",0,0,0
"1131309",9,114,0
"1131310",569,805,0
"1131311",629,671,0
"1131312",220,256,0
"1131313",23,151,0
"1131314",320,730,0
"1131315",5,3,0
"1131316",79,256,0
"1131317",0,0,0
"1131707",46,159,0
"1131719",478,865,0
"1131720",656,878,0
"1131728",306,404,0
"1131730",0,0,0
"1131731",0,0,0
"1132060",1178,728,0
"1132061",1058,942,0
"1132062",834,734,0
"1132065",687,1052,0
"1132066",673,438,0
"1132067",426,511,0
"1132070",491,505,0
"1132072",944,1150,0
"1132073",294,459,0
"1133014",267,509,0
"1133015",41,63,0
"1133079",82,163,0
"1133093",0,9,0
"1133302",385,439,0
"1133303",429,939,0
"1133304",735,780,0
"1133305",993,1210,0
"1133306",297,462,0
"1133307",305,588,0
"1133308",379,558,0
"1133309",544,663,0
"1133310",614,655,0
"1133311",576,609,0
"1133312",769,1079,0
"1133313",893,2014,0
"1133314",647,1494,0
"1133315",240,436,0
"1133316",628,884,0
"1133317",289,685,0
"1133318",340,558,0
"1133400",54,252,0
"1133402",45,134,0
"1133404",269,673,0
"1133405",396,966,0
"1133406",14,3,0
"1133407",88,88,0
"1133408",219,648,0
"1133409",87,188,0
"1133410",38,99,0
"1133500",2158,1015,0
"1133703",23,9,0
"1133920",682,498,0
"1133921",953,1084,0
"2130002",289,62,1
"2130003",205,333,0
"2130004",1471,341,0
"213001A",693,143,1
"213001M",745,251,1
"213001T",697,177,0
"213002E",948,158,1
"213003B",1264,192,1
"213003C",2006,368,3
"213003M",636,115,0
"213003N",847,142,0
"213004A",228,125,2
"213004W",508,78,5
"21301CR",1208,177,3
"21301MN",550,151,0
"21301TC",1118,260,1
"21303WS",635,122,1
"21304BV",386,85,1
"21304CC",683,207,0
"21304MS",116,139,0
"21304PF",238,47,1
"21304SE",1549,288,0
"2132GBN",1266,303,2
"2132GBS",810,175,0
"2132PSN",1242,278,0
"2132PSS",646,116,0
"2134NYL",500,59,0
"2570001",878,463,2
"2570002",520,154,1
"2570003",1818,726,9
"2570004",1877,612,2
"2570005",307,665,2
"2570006",924,201,1
"2570007",1721,1193,9
"2570008",558,372,2
"2570009",731,206,2
"2570010",1133,196,2
"2570011",806,310,7
"2570012",794,141,1
"2570013",964,714,5
"2570014",1169,731,4
"2570015",1154,215,2
"2570016",1260,217,3
"2570017",931,148,4
"2570018",983,219,2
"2570019",991,372,4
"2570020",568,191,3
"2570021",955,191,4
"2570022",549,120,7
"2570023",455,134,1
"2570024",557,199,3
"2570025",285,170,3
"2570026",146,456,2
"2570027",1495,605,4
"2570028",642,161,1
"2570029",836,940,2
"2570030",720,183,3
"467001A",728,108,0
"467001B",1174,205,1
"467001C",705,92,0
"467001D",528,100,0
"467001E",293,97,2
"467002A",1503,191,4
"467002B",721,91,2
"467002C",1041,111,3
"467002D",844,126,2
"467003A",472,76,2
"467003B",539,196,0
"467003C",1198,252,6
"467003D",1287,165,1
"467004A",636,99,3
"467004B",812,110,3
"467004C",750,128,2
"467004D",1448,264,3
"467004E",567,79,0
"49901-1",1284,266,0
"49901-2",1318,203,0
"49901-3",1017,167,0
"49901-4",350,31,0
"49902-2",1660,329,0
"49902-3",1335,299,3
"49904-3",1292,240,0
"49904-4",289,29,0
