CNTYVTD,WrightR_18G_U.S. Rep 6,SanchezD_18G_U.S. Rep 6,HarberL_18G_U.S. Rep 6
"1390101",1290,523,27
"1390102",1559,496,39
"1390103",1848,625,37
"1390104",1638,459,33
"1390105",1995,621,41
"1390106",1612,370,24
"1390107",1685,575,26
"1390108",1500,455,18
"1390109",899,336,8
"1390110",1321,1055,28
"1390111",971,318,18
"1390112",770,227,15
"1390113",148,592,5
"1390114",775,297,13
"1390115",587,305,22
"1390116",784,316,13
"1390117",870,402,20
"1390118",1019,475,24
"1390119",600,209,13
"1390120",231,74,5
"1390121",838,329,13
"1390122",525,203,12
"1390123",64,283,5
"1390124",166,390,10
"1390125",1413,513,28
"1390126",314,192,11
"1390127",145,61,2
"1390128",30,41,1
"1390129",267,108,7
"1390130",218,101,6
"1390131",678,269,8
"1390132",263,59,2
"1390133",207,79,3
"1390134",375,62,1
"1390135",1780,354,33
"1390136",295,67,5
"1390137",590,139,7
"1390138",703,205,19
"1390139",531,145,8
"1390140",1790,831,32
"1390141",898,281,14
"1390142",766,317,19
"1390143",1238,470,24
"1390144",438,702,22
"1390145",847,975,29
"1390146",920,592,20
"1390147",1389,717,34
"1390148",662,568,17
"1390149",431,239,16
"3490101",526,325,13
"3490103",791,235,12
"3490104",278,78,1
"3490105",143,16,0
"3490106",196,61,4
"3490107",353,177,14
"3490108",210,45,0
"3490109",172,47,6
"3490200",95,225,1
"3490201",18,270,2
"3490202",72,231,0
"3490203",775,306,12
"3490204",118,44,1
"3490205",686,125,9
"3490206",279,44,3
"3490300",602,411,6
"3490301",102,71,2
"3490303",463,124,6
"3490304",322,43,1
"3490305",215,61,1
"3490306",136,19,2
"3490307",214,39,0
"3490308",186,32,2
"3490400",754,203,13
"3490401",125,91,4
"3490402",827,191,18
"3490403",705,90,8
"3490404",470,107,4
"3490405",399,53,0
"3490406",131,16,2
"4391012",466,757,24
"4391023",1312,1221,43
"4391024",1058,626,24
"4391034",1438,389,21
"4391126",300,693,19
"4391146",474,889,15
"4391170",528,947,24
"4391184",187,261,6
"4391236",143,217,8
"4391238",556,983,22
"4391244",70,31,0
"4391251",306,1411,22
"4391255",551,1159,19
"4391270",140,169,4
"4391279",332,877,12
"4391294",1395,909,32
"4391311",238,801,12
"4391345",94,94,3
"4391352",278,106,3
"4391378",448,1382,20
"4391380",363,487,16
"4391382",259,878,15
"4391407",12,28,0
"4391414",5,21,0
"4391427",1,2,0
"4391431",805,310,11
"4391436",194,297,3
"4391441",69,314,8
"4391459",238,734,13
"4391463",182,574,16
"4391489",251,729,16
"4391501",115,163,5
"4391504",927,212,18
"4391514",0,0,0
"4391515",9,8,0
"4391559",32,84,3
"4391605",0,0,0
"4391607",0,0,0
"4391617",4,10,0
"4391621",17,39,1
"4391627",122,46,3
"4391639",417,1643,19
"4391642",293,904,13
"4391651",0,0,0
"4391672",0,0,0
"4392002",0,3,0
"4392003",356,254,16
"4392007",907,499,23
"4392026",704,506,27
"4392028",540,273,20
"4392029",1677,936,47
"4392030",392,1275,22
"4392031",762,1906,28
"4392033",581,493,17
"4392052",496,833,38
"4392055",696,569,23
"4392058",0,0,0
"4392100",145,134,12
"4392112",905,368,15
"4392147",418,332,23
"4392158",798,647,19
"4392161",276,605,31
"4392168",542,678,41
"4392171",1001,687,36
"4392173",476,211,12
"4392174",848,696,20
"4392181",963,714,35
"4392190",76,97,4
"4392205",946,595,27
"4392217",575,896,32
"4392219",876,685,17
"4392220",1064,652,20
"4392221",1340,1428,35
"4392223",912,318,15
"4392224",334,664,18
"4392226",313,605,13
"4392228",1000,586,18
"4392229",670,594,36
"4392246",492,317,13
"4392258",245,108,5
"4392262",415,147,15
"4392266",1153,719,24
"4392267",303,681,23
"4392268",272,375,15
"4392269",103,126,4
"4392274",2,0,0
"4392275",185,311,11
"4392280",583,461,28
"4392281",465,367,11
"4392299",238,635,9
"4392302",142,586,13
"4392303",845,560,27
"4392304",932,530,15
"4392305",603,479,13
"4392306",853,425,25
"4392307",1506,1127,37
"4392308",923,682,24
"4392310",635,483,20
"4392313",895,530,36
"4392314",1327,716,42
"4392315",295,630,17
"4392316",443,538,21
"4392317",492,322,14
"4392318",688,403,16
"4392319",946,534,25
"4392320",282,616,10
"4392341",50,148,1
"4392349",335,657,9
"4392353",237,406,5
"4392354",409,751,18
"4392355",517,368,13
"4392356",911,881,15
"4392357",1180,715,14
"4392358",923,543,19
"4392360",1388,581,18
"4392379",534,1446,19
"4392381",61,200,5
"4392383",434,768,22
"4392401",98,69,1
"4392402",6,2,0
"4392405",662,1582,26
"4392419",0,0,0
"4392425",764,901,29
"4392426",900,495,15
"4392435",792,733,25
"4392438",392,958,17
"4392448",497,1018,21
"4392449",393,804,23
"4392450",406,878,12
"4392451",9,58,2
"4392453",392,803,11
"4392462",261,624,14
"4392464",177,123,3
"4392466",202,456,9
"4392467",424,804,25
"4392468",862,621,18
"4392474",162,57,3
"4392484",595,1371,18
"4392488",442,885,21
"4392505",621,337,12
"4392506",1549,1114,53
"4392513",0,0,0
"4392519",196,422,9
"4392520",610,542,18
"4392521",432,320,17
"4392522",1381,964,34
"4392523",284,579,10
"4392524",1226,337,26
"4392525",449,1142,25
"4392535",784,409,20
"4392536",511,593,17
"4392537",181,490,9
"4392541",373,884,15
"4392548",727,267,19
"4392553",259,514,13
"4392556",732,462,12
"4392557",194,461,16
"4392561",0,0,0
"4392571",0,0,0
"4392581",484,797,22
"4392600",0,0,0
"4392601",0,0,0
"4392606",1,7,0
"4392612",0,0,0
"4392613",169,649,15
"4392614",76,114,4
"4392616",8,24,2
"4392618",9,24,1
"4392635",667,1460,26
"4392636",820,532,25
"4392643",1066,1693,34
"4392644",490,1180,22
"4392645",881,403,14
"4392655",174,358,13
"4392656",9,31,0
"4392657",4,10,0
"4392659",3,4,0
"4392660",81,50,2
"4392675",0,0,0
"4392681",0,0,0
"4392697",641,844,22
"4392699",727,1273,23
