CNTYVTD,CulbersonR_18G_U.S. Rep 7,FletcherD_18G_U.S. Rep 7
"2010008",443,650
"2010014",547,781
"2010015",996,1272
"2010017",253,446
"2010018",403,642
"2010050",999,1350
"2010074",1799,737
"2010087",1033,1089
"2010089",366,487
"2010095",1104,771
"2010116",1549,795
"2010128",823,865
"2010129",1651,1686
"2010130",1025,573
"2010133",912,1149
"2010135",1184,1063
"2010139",904,1682
"2010146",481,937
"2010175",751,1100
"2010176",384,526
"2010177",506,738
"2010178",808,602
"2010182",1179,1635
"2010183",973,921
"2010209",0,0
"2010213",1733,764
"2010214",625,716
"2010215",778,939
"2010217",1084,1022
"2010225",620,1133
"2010227",791,549
"2010232",595,752
"2010233",1187,2294
"2010234",1933,1104
"2010255",584,1063
"2010256",531,1252
"2010258",1510,823
"2010265",1541,874
"2010268",798,942
"2010269",1061,552
"2010272",308,803
"2010273",1230,548
"2010281",611,982
"2010282",616,688
"2010287",506,738
"2010298",580,731
"2010303",1691,776
"2010304",718,826
"2010305",692,1851
"2010309",1779,879
"2010312",953,1088
"2010314",1736,1680
"2010315",563,532
"2010316",458,583
"2010317",135,472
"2010335",149,528
"2010345",135,654
"2010356",908,999
"2010360",867,1584
"2010385",1070,485
"2010395",759,526
"2010400",970,679
"2010403",537,713
"2010430",111,592
"2010431",307,1270
"2010432",136,422
"2010434",516,573
"2010435",1247,1079
"2010436",1232,1360
"2010437",852,611
"2010438",1561,918
"2010439",1429,1016
"2010440",1448,669
"2010441",730,409
"2010443",309,170
"2010461",1554,1248
"2010463",618,1304
"2010483",1173,1487
"2010491",594,743
"2010492",616,671
"2010495",1005,665
"2010499",1066,647
"2010504",908,706
"2010509",1604,1243
"2010510",763,1352
"2010512",750,1492
"2010517",773,1226
"2010518",1183,1089
"2010521",680,995
"2010522",1260,584
"2010553",427,887
"2010567",303,861
"2010569",1035,1576
"2010570",237,728
"2010572",621,1158
"2010589",755,1101
"2010616",1316,967
"2010617",569,1490
"2010619",2098,1119
"2010625",565,633
"2010626",1274,1481
"2010640",979,1037
"2010642",862,337
"2010643",891,1281
"2010644",1269,1217
"2010645",848,1751
"2010650",1598,1001
"2010651",959,1144
"2010667",917,461
"2010676",460,902
"2010686",16,61
"2010709",1144,1350
"2010711",1055,1414
"2010712",631,1461
"2010713",426,609
"2010727",281,894
"2010772",2008,1057
"2010789",838,779
"2010790",407,984
"2010800",1245,1032
"2010803",1821,1067
"2010804",1517,1796
"2010819",45,51
"2010826",97,154
"2010839",87,394
"2010862A",1046,891
"2010862B",65,57
"2010862C",92,77
"2010862D",0,0
"2010875",954,1315
"2010877",716,1542
"2010879",523,872
"2010881",771,2619
"2010882",605,1761
"2010891",304,561
"2010898",311,705
"2010899",444,401
"2010913",23,110
"2010919",0,0
"2010931",32,53
"2010932",0,0
"2010933",85,304
"2010938",26,78
"2010947",246,363
"2010948",0,0
"2010949",63,75
"2010951",24,118
"2010952",26,25
"2010956",0,0
"2010974",0,0
"2010980",622,323
"2010991",0,0
"2010992",223,312
"2011006",0,0
"2011009",0,0
