CNTYVTD,GreenD_18G_U.S. Rep 9,KurtzL_18G_U.S. Rep 9,HernandezI_18G_U.S. Rep 9,RogersI_18G_U.S. Rep 9
"1571114",2031,23,57,69
"1571153",1169,12,11,36
"1572017",1285,15,30,36
"1572023",1022,13,53,20
"1572031",1347,13,38,26
"1572033",496,43,32,34
"1572034",1955,24,27,96
"1572036",543,3,8,23
"1572050",1672,15,21,75
"1572051",1246,7,18,51
"1572052",1251,12,14,29
"1572055",539,3,9,6
"1572056",274,9,20,7
"1572059",1183,15,17,48
"1572066",1833,71,59,54
"1572070",472,31,61,41
"1572075",959,13,16,37
"1572077",968,26,17,55
"1572081",517,31,46,29
"1572088",1021,63,80,63
"1572089",748,5,8,30
"1572090",245,65,36,22
"1572091",281,26,36,22
"1572092",322,33,38,26
"1572093",170,10,7,14
"1572099",1280,117,88,50
"1572100",910,85,66,44
"1572101",1318,80,72,45
"1572106",1648,72,105,56
"1572108",2402,170,132,98
"1572115",710,52,40,42
"1572116",1153,13,19,40
"1572123",928,3,13,23
"1572136",120,14,19,9
"1572138",192,6,11,6
"1572139",26,0,3,1
"1573032",989,88,72,40
"1573113",2280,64,73,52
"1574028",789,170,109,78
"1574030",841,241,151,75
"1574062",1398,215,146,92
"1574071",166,24,16,10
"2010022",963,43,34,31
"2010036",973,25,62,20
"2010068",1299,10,22,47
"2010131",833,23,58,36
"2010132",1052,2,5,27
"2010158",1123,5,6,36
"2010216",775,10,23,23
"2010223",1627,118,85,57
"2010239",740,5,10,20
"2010240",1010,7,5,21
"2010243",252,0,0,1
"2010271",1299,5,6,20
"2010276",1020,6,7,19
"2010284",1162,117,70,65
"2010285",1201,13,26,28
"2010286",1767,22,58,41
"2010288",979,5,6,16
"2010291",450,84,33,20
"2010292",556,14,19,14
"2010293",747,89,59,51
"2010294",816,2,5,19
"2010295",298,2,3,6
"2010296",518,83,55,72
"2010297",578,56,51,30
"2010311",745,95,64,58
"2010318",1795,17,54,48
"2010319",974,7,37,23
"2010332",1595,26,53,24
"2010336",2690,59,75,90
"2010337",387,7,7,12
"2010338",1348,62,71,48
"2010355",816,19,31,31
"2010359",852,17,30,28
"2010372",536,9,10,22
"2010379",918,13,20,18
"2010384",1056,54,34,43
"2010392",633,0,4,12
"2010402",945,9,12,21
"2010422",1433,12,9,24
"2010425",227,13,9,7
"2010426",364,44,34,46
"2010427",340,35,12,28
"2010428",1583,35,61,34
"2010429",856,29,39,25
"2010433",158,12,12,4
"2010453",748,34,51,22
"2010458",950,6,31,16
"2010462",1429,104,76,71
"2010487",1121,38,72,33
"2010488",850,39,51,28
"2010489",836,40,45,30
"2010490",855,83,53,47
"2010506",1666,53,58,80
"2010507",527,13,23,11
"2010508",1433,84,76,37
"2010524",1295,79,86,46
"2010525",1413,79,32,52
"2010540",1079,108,62,42
"2010541",2143,87,78,100
"2010542",1218,7,35,23
"2010554",577,17,23,24
"2010555",658,14,15,18
"2010556",767,27,33,20
"2010557",839,28,55,33
"2010558",1586,106,95,77
"2010559",1756,129,78,76
"2010564",1495,110,94,71
"2010565",300,10,7,7
"2010566",1026,81,51,57
"2010600",1468,103,92,56
"2010607",205,4,2,9
"2010620",996,204,100,73
"2010627",994,51,59,47
"2010630",2781,51,69,80
"2010632",2,0,0,0
"2010638",847,12,20,23
"2010646",836,47,37,22
"2010647",1205,35,32,34
"2010649",1588,65,81,43
"2010652",1316,11,35,32
"2010685",50,19,10,5
"2010693",294,18,12,8
"2010706",951,94,62,42
"2010722",1944,26,71,35
"2010749",100,2,4,1
"2010754",375,1,8,16
"2010765",1804,143,81,75
"2010773",1518,55,80,47
"2010781",1062,76,90,43
"2010798",227,16,23,8
"2010807",740,31,31,32
"2010814",1823,81,65,57
"2010829",48,7,4,0
"2010830",0,0,0,0
"2010837",3,0,0,0
"2010863",177,2,1,3
"2010869",137,7,3,2
"2010893",0,0,0,0
"2010943",158,5,9,6
"2010944",1,0,0,0
"2010969",315,2,1,4
"2010984",82,2,6,3
"2010985",126,21,14,5
"2010986",135,3,7,9
"2010994",70,5,6,2
"2010995",819,18,27,33
"2011000",120,0,8,2
"2011001",534,9,29,25
"2011002",469,16,17,26
"2011010",381,7,18,26
