CNTYVTD,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"0010001",660,216,34
"0010002",1049,147,36
"0010003",556,92,17
"0010004",719,98,29
"0010005",178,9,4
"0010006",260,366,21
"0010007",87,434,13
"0010008",47,97,3
"0010009",541,135,24
"0010010",215,23,20
"0010011",477,141,20
"0010013",601,228,34
"0010015",477,48,14
"0010016",334,83,26
"0010017",324,92,22
"0010018",910,165,34
"0010019",789,219,28
"0010020",390,125,33
"0010021",826,122,31
"0010022",525,90,11
"0010023",681,71,26
"0010024",434,36,17
"0030001",697,183,22
"0030002",1260,169,43
"0030003",789,165,28
"0030004",545,162,17
"0050001",131,83,6
"0050002",240,741,17
"0050003",743,155,24
"0050004",352,259,12
"0050005",515,364,26
"0050006",198,38,6
"0050007",635,72,14
"0050008A",396,44,12
"0050008B",259,26,8
"0050009",148,38,6
"0050010A",219,195,9
"0050010B",27,24,1
"0050011",1072,102,23
"0050012",389,74,9
"0050013",193,131,11
"0050014",760,278,26
"0050015",292,56,8
"0050016",438,445,21
"0050017",815,98,24
"0050018",230,98,6
"0050019",653,250,18
"0050020",135,896,22
"0050021",508,146,18
"0050022",521,77,13
"0050023",297,45,6
"0050024",959,239,38
"0050025",950,198,30
"0050026",863,108,17
"0050027",193,22,8
"0050028",527,118,22
"0050029",676,117,27
"0050030",498,40,18
"0050031",147,46,8
"0050032",52,7,0
"0050033",672,45,14
"0050034",953,270,33
"0050035",833,202,21
"0050036",0,0,0
"0050037",222,42,5
"0050038",169,33,5
"0050039",186,78,7
"0050040",283,147,14
"005011B",455,87,17
"005017B",175,15,2
"0070001",927,207,39
"0070002",1014,453,56
"0070003",1959,495,76
"0070004",1749,450,80
"007001A",518,141,49
"007004A",553,125,19
"0090001",591,66,17
"0090002",511,48,21
"0090003",184,28,6
"0090004",366,12,9
"0090005",79,6,5
"0090006",520,66,22
"0090007",116,13,1
"0090008",174,26,11
"0090009",89,10,3
"0090010",424,60,13
"0090011",63,9,2
"0110101",213,11,5
"0110201",109,17,7
"0110202",40,6,4
"0110301",162,6,9
"0110303",27,7,1
"0110401",119,5,3
"0110402",92,7,8
"0110404",17,0,2
"0130001",279,83,12
"0130002",279,198,21
"0130003",384,209,29
"0130004",45,15,1
"0130005",383,298,24
"0130006",50,2,1
"0130007",407,219,29
"0130008",173,81,7
"0130009",63,10,5
"0130010",355,193,28
"0130011",35,7,1
"0130012",359,202,32
"0130013",734,325,38
"0130014",134,48,6
"0130015",454,326,36
"0130016",82,47,2
"0130017",311,477,26
"0130018",416,242,24
"0130019",144,48,12
"0130020",1514,361,64
"0130021",117,21,3
"0130022",313,74,14
"0130023",148,116,20
"0130024",534,263,33
"0150101",572,124,21
"0150102",612,148,23
"0150103",772,106,32
"0150104",372,81,20
"0150205",890,196,32
"0150206",293,49,9
"0150207",209,24,4
"0150208",364,55,14
"0150209",312,78,8
"0150210",373,59,12
"0150211",186,29,8
"0150312",334,34,15
"0150313",229,242,12
"0150314",1061,275,68
"0150415",515,184,23
"0150416",497,135,33
"0150417",228,97,10
"0150418",680,114,25
"0170001",363,102,15
"0170002",526,74,9
"0170003",204,74,3
"0170004A",100,82,7
"0170004B",6,4,1
"0190101",798,168,50
"0190102",1245,266,78
"0190203",914,266,84
"0190204",687,206,48
"0190305",1104,221,77
"0190306",755,117,48
"0190407",1132,218,70
"0190408",134,50,5
"0190409",309,92,28
"0190410",271,60,21
"0211001",1167,686,110
"0211002",682,622,82
"0211003",2132,1316,162
"0211004",588,528,77
"0212005",891,610,67
"0212006",546,284,44
"0212007",919,312,65
"0212008",407,171,29
"0212009",433,252,53
"0212010",525,231,53
"0212011",876,535,89
"0213012",392,128,35
"0213013",600,258,42
"0213014",603,562,62
"0213015",495,693,52
"0213016",812,615,71
"0214017",618,781,70
"0214018",273,121,18
"0214019",802,580,83
"0214020",935,972,99
"0214021",478,231,62
"0230001",285,37,23
"0230002",228,31,9
"0230003",205,42,7
"0230004",292,36,9
"0250001",616,348,29
"0250002",150,12,4
"0250003",433,255,24
"0250004",134,34,7
"0250005",126,41,2
"0250006",385,195,18
"0250008",95,24,3
"0250009",104,218,7
"0250010",241,273,12
"0250011",100,36,3
"0250012",116,47,7
"0250013",429,197,30
"0250014",84,50,1
"0250016",322,173,24
"0250017",279,216,8
"0250018",697,221,36
"0250019",79,140,9
"0270101",2757,855,140
"0270102",1267,433,68
"0270103",1674,704,110
"0270104",3216,921,163
"0270105",721,117,19
"0270106",692,1315,77
"0270107",181,81,12
"0270108",744,133,42
"0270109",382,552,37
"0270110",192,150,15
"0270111",1709,913,105
"0270113",126,33,6
"0270201",791,675,44
"0270202",1871,1082,96
"0270203",3564,752,165
"0270204",430,519,20
"0270205",684,1205,64
"0270206",343,506,31
"0270207",463,873,57
"0270208",1014,1887,96
"0270209",1806,1790,114
"0270210",1116,1559,100
"0270301",1576,291,81
"0270302",1274,755,69
"0270303",1257,950,102
"0270304",319,105,8
"0270305",1116,429,47
"0270306",368,497,31
"0270307",297,723,31
"0270308",446,439,42
"0270309",404,48,11
"0270310",263,36,6
"0270311",1357,253,46
"0270312",801,155,39
"0270313",1195,405,59
"0270314",715,521,58
"0270315",2263,1046,162
"0270317",2826,1178,136
"0270401",501,149,32
"0270402",1004,415,36
"0270404A",653,1188,57
"0270404B",0,0,0
"0270405",547,1376,67
"0270406",512,512,36
"0270408",918,1545,65
"0270409",456,424,40
"0270410",257,438,27
"0270412",526,1515,66
"0270413",857,1793,81
"0291001",99,298,6
"0291002",130,213,10
"0291003",164,779,45
"0291004",61,271,10
"0291005",61,214,15
"0291006",183,664,19
"0291007",138,449,11
"0291008",207,783,20
"0291009",304,441,36
"0291010",59,241,11
"0291011",52,129,4
"0291012",265,538,32
"0291013",163,750,26
"0291014",72,371,7
"0291015",87,364,13
"0291016",84,326,13
"0291017",30,49,5
"0291018",189,631,18
"0291019",64,230,12
"0291020",236,684,40
"0291021",158,474,17
"0291022",85,276,8
"0291023",147,685,20
"0291024",528,860,59
"0291025",28,145,5
"0291026",83,360,13
"0291027",46,65,5
"0291028",98,270,15
"0291029",159,565,19
"0291030",7,7,3
"0291031",106,415,13
"0291032",133,660,23
"0291033",221,431,34
"0291034",790,807,94
"0291035",104,90,16
"0291036",590,844,64
"0291037",276,611,17
"0291038",425,785,46
"0291039",183,628,29
"0291040",212,725,28
"0291041",149,535,25
"0291042",87,330,10
"0291043",193,394,18
"0291044",199,662,26
"0291045",303,953,36
"0291046",175,621,23
"0291047",149,456,18
"0291048",213,600,30
"0291049",256,667,24
"0291050",190,392,13
"0291051",285,513,23
"0291052",238,526,19
"0291053",25,64,2
"0291054",243,665,32
"0291055",366,627,54
"0291056",408,722,32
"0291057",413,415,43
"0291058",471,496,38
"0291059",54,76,7
"0291060",205,784,31
"0291061",166,650,33
"0291062",31,28,2
"0291063",374,351,22
"0291064",236,244,26
"0291065",438,478,27
"0291066",102,177,9
"0291067",740,508,64
"0291068",223,274,33
"0291069",157,135,11
"0291070",142,263,17
"0291071",325,517,30
"0291072",221,599,34
"0291073A",645,804,65
"0291073B",85,105,9
"0291074",2,4,3
"0291075",178,517,18
"0291076",452,750,58
"0291077",141,513,21
"0291078",32,159,9
"0291079",798,1403,111
"0291080A",438,1185,68
"0291080B",4,12,1
"0291081",613,228,25
