CNTYVTD,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"0010001",634,260,26
"0010002",1052,163,16
"0010003",563,100,7
"0010004",732,103,11
"0010005",176,12,3
"0010006",263,374,8
"0010007",90,439,5
"0010008",46,100,2
"0010009",548,139,15
"0010010",232,27,1
"0010011",490,140,12
"0010013",585,255,26
"0010015",477,66,3
"0010016",341,97,8
"0010017",335,102,5
"0010018",896,205,16
"0010019",779,249,12
"0010020",399,143,9
"0010021",832,136,14
"0010022",527,98,5
"0010023",685,85,8
"0010024",431,57,4
"0030001",680,222,9
"0030002",1161,283,35
"0030003",756,212,18
"0030004",529,191,11
"0050001",114,102,2
"0050002",246,734,15
"0050003",738,182,7
"0050004",344,273,5
"0050005",486,404,19
"0050006",193,43,6
"0050007",602,113,9
"0050008A",373,75,7
"0050008B",242,47,5
"0050009",149,43,1
"0050010A",216,208,6
"0050010B",26,25,0
"0050011",1052,136,13
"0050012",378,91,4
"0050013",173,148,13
"0050014",694,354,24
"0050015",281,71,2
"0050016",419,464,21
"0050017",812,124,8
"0050018",209,122,5
"0050019",594,323,14
"0050020",146,883,21
"0050021",486,172,12
"0050022",507,96,9
"0050023",281,68,3
"0050024",916,304,26
"0050025",931,226,22
"0050026",817,161,13
"0050027",190,30,4
"0050028",499,151,17
"0050029",667,152,6
"0050030",487,59,11
"0050031",136,63,1
"0050032",51,7,0
"0050033",628,87,15
"0050034",862,381,23
"0050035",768,282,17
"0050036",0,0,0
"0050037",209,57,4
"0050038",160,45,1
"0050039",177,91,4
"0050040",266,168,10
"005011B",428,115,17
"005017B",172,17,4
"0070001",916,245,17
"0070002",994,499,31
"0070003",1861,630,40
"0070004",1687,538,54
"007001A",549,148,12
"007004A",550,143,7
"0090001",577,93,8
"0090002",521,62,6
"0090003",179,34,6
"0090004",350,40,5
"0090005",81,6,2
"0090006",494,102,12
"0090007",115,12,4
"0090008",174,33,5
"0090009",90,13,1
"0090010",416,79,5
"0090011",61,11,0
"0110101",207,23,2
"0110201",98,28,7
"0110202",37,10,2
"0110301",158,18,4
"0110303",22,9,0
"0110401",106,20,2
"0110402",98,7,1
"0110404",18,0,0
"0130001",272,94,10
"0130002",292,196,10
"0130003",400,223,9
"0130004",44,21,1
"0130005",368,319,16
"0130006",44,3,5
"0130007",410,235,13
"0130008",167,91,2
"0130009",60,20,1
"0130010",363,212,8
"0130011",34,8,1
"0130012",358,224,12
"0130013",711,359,29
"0130014",135,51,6
"0130015",446,346,22
"0130016",82,49,1
"0130017",318,491,13
"0130018",411,264,11
"0130019",143,55,3
"0130020",1448,473,32
"0130021",120,23,2
"0130022",314,85,6
"0130023",164,113,7
"0130024",531,287,14
"0150101",563,145,9
"0150102",591,184,15
"0150103",767,135,19
"0150104",390,79,4
"0150205",863,238,31
"0150206",289,61,4
"0150207",205,29,4
"0150208",365,64,8
"0150209",318,79,2
"0150210",372,67,10
"0150211",190,32,4
"0150312",325,57,7
"0150313",224,253,7
"0150314",1048,339,28
"0150415",523,191,9
"0150416",498,163,14
"0150417",230,105,3
"0150418",684,136,7
"0170001",354,120,12
"0170002",501,100,6
"0170003",187,90,6
"0170004A",98,93,4
"0170004B",6,4,0
