CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0010001",666,221,23
"0010002",1052,146,26
"0010003",567,87,8
"0010004",735,93,13
"0010005",175,10,6
"0010006",259,369,16
"0010007",83,439,12
"0010008",44,99,4
"0010009",556,127,14
"0010010",231,21,7
"0010011",474,143,17
"0010013",601,232,30
"0010015",478,50,10
"0010016",348,85,9
"0010017",335,93,10
"0010018",909,178,23
"0010019",782,224,26
"0010020",403,124,19
"0010021",846,115,20
"0010022",529,90,8
"0010023",688,71,16
"0010024",438,37,12
"0030001",703,186,18
"0030002",1263,162,48
"0030003",798,153,30
"0030004",540,153,24
"0050001",127,86,4
"0050002",251,729,18
"0050003",745,159,18
"0050004",343,265,11
"0050005",502,376,24
"0050006",201,33,5
"0050007",638,68,11
"0050008A",397,43,8
"0050008B",259,26,6
"0050009",152,37,3
"0050010A",218,199,9
"0050010B",26,24,1
"0050011",1080,101,16
"0050012",387,76,7
"0050013",184,133,13
"0050014",758,283,21
"0050015",294,55,5
"0050016",439,436,23
"0050017",815,105,18
"0050018",227,101,4
"0050019",652,250,18
"0050020",141,890,20
"0050021",508,149,9
"0050022",522,75,11
"0050023",295,47,8
"0050024",966,240,29
"0050025",970,183,24
"0050026",867,104,16
"0050027",196,19,8
"0050028",533,112,19
"0050029",680,117,18
"0050030",501,42,14
"0050031",148,52,1
"0050032",53,6,0
"0050033",676,42,13
"0050034",947,276,26
"0050035",827,211,15
"0050036",0,0,0
"0050037",211,43,13
"0050038",170,36,0
"0050039",184,80,5
"0050040",278,145,18
"005011B",451,91,14
"005017B",176,12,2
"0070001",927,219,21
"0070002",1015,460,45
"0070003",1927,526,63
"0070004",1749,450,61
"007001A",544,144,15
"007004A",567,123,10
"0090001",604,56,11
"0090002",523,52,7
"0090003",191,24,2
"0090004",371,11,6
"0090005",79,6,4
"0090006",524,64,13
"0090007",119,8,3
"0090008",182,26,4
"0090009",95,9,1
"0090010",429,59,8
"0090011",66,7,1
"0110101",209,11,9
"0110201",107,18,6
"0110202",41,6,2
"0110301",163,9,6
"0110303",26,6,1
"0110401",121,6,2
"0110402",99,5,3
"0110404",19,0,0
"0130001",282,82,9
"0130002",277,202,17
"0130003",393,218,11
"0130004",47,17,1
"0130005",361,317,21
"0130006",48,4,0
"0130007",392,227,32
"0130008",164,84,10
"0130009",65,11,5
"0130010",345,207,20
"0130011",34,9,0
"0130012",358,214,19
"0130013",727,331,28
"0130014",132,51,8
"0130015",441,344,26
"0130016",80,48,3
"0130017",294,495,23
"0130018",410,256,16
"0130019",141,51,7
"0130020",1493,402,41
"0130021",125,17,2
"0130022",314,77,6
"0130023",153,122,9
"0130024",535,274,22
"0150101",585,119,12
"0150102",624,147,12
"0150103",799,98,17
"0150104",399,70,3
"0150205",908,181,30
"0150206",294,51,6
"0150207",213,22,3
"0150208",369,57,8
"0150209",321,70,4
"0150210",379,57,8
"0150211",198,27,1
"0150312",352,27,7
"0150313",225,242,14
"0150314",1087,277,35
"0150415",531,173,15
"0150416",498,147,19
"0150417",231,99,5
"0150418",697,111,9
"0170001",363,102,11
"0170002",523,72,10
"0170003",194,78,5
"0170004A",91,91,2
"0170004B",5,5,0
"0190101",826,165,25
"0190102",1273,260,51
"0190203",950,273,38
"0190204",714,200,27
"0190305",1153,217,33
"0190306",787,114,25
"0190407",1165,215,32
"0190408",138,45,5
"0190409",325,90,15
"0190410",291,52,10
"0211001",1156,689,104
"0211002",658,645,73
"0211003",2058,1372,166
"0211004",587,540,58
"0212005",850,618,83
"0212006",553,277,46
"0212007",923,317,58
"0212008",402,181,24
"0212009",415,265,56
"0212010",529,225,49
"0212011",855,557,85
"0213012",393,129,31
"0213013",581,282,43
"0213014",607,561,57
"0213015",460,717,60
"0213016",800,618,81
"0214017",611,784,69
"0214018",266,126,18
"0214019",787,591,87
"0214020",907,972,119
"0214021",459,247,62
"0230001",294,36,10
"0230002",224,34,8
"0230003",211,35,8
"0230004",295,33,8
"0250001",581,360,31
"0250002",151,11,6
"0250003",404,271,29
"0250004",132,33,7
"0250005",121,44,3
"0250006",366,199,26
"0250008",94,25,3
"0250009",80,224,17
"0250010",179,307,22
"0250011",93,42,2
"0250012",116,52,2
"0250013",412,209,29
"0250014",78,53,3
"0250016",285,189,26
"0250017",249,231,16
"0250018",679,234,36
"0250019",62,151,14
"0270101",2768,869,108
"0270102",1289,428,48
"0270103",1682,715,79
"0270104",3227,924,122
"0270105",713,121,20
"0270106",699,1305,78
"0270107",189,79,8
"0270108",755,136,23
"0270109",385,556,30
"0270110",193,150,13
"0270111",1692,934,90
"0270113",126,34,5
"0270201",779,665,61
"0270202",1826,1104,110
"0270203",3586,763,122
"0270204",421,514,31
"0270205",665,1222,58
"0270206",332,511,32
"0270207",436,885,65
"0270208",1014,1871,105
"0270209",1753,1845,107
"0270210",1122,1572,84
"0270301",1602,278,66
"0270302",1282,758,52
"0270303",1270,959,76
"0270304",326,100,6
"0270305",1115,448,31
"0270306",363,501,27
"0270307",290,729,32
"0270308",446,444,31
"0270309",406,50,9
"0270310",265,34,6
"0270311",1358,261,33
"0270312",817,154,19
"0270313",1190,415,46
"0270314",722,522,48
"0270315",2270,1069,127
"0270317",2835,1190,105
"0270401",503,146,32
"0270402",999,420,36
"0270404A",629,1196,68
"0270404B",0,0,0
"0270405",543,1373,65
"0270406",501,524,27
"0270408",897,1551,72
"0270409",450,433,37
"0270410",257,428,39
"0270412",509,1528,69
"0270413",858,1779,93
"0291001",89,309,5
"0291002",123,222,7
"0291003",147,796,42
"0291004",54,278,8
"0291005",51,225,17
"0291006",162,677,21
"0291007",125,458,12
"0291008",166,807,29
"0291009",298,450,30
"0291010",57,244,6
"0291011",41,135,5
"0291012",265,543,22
"0291013",127,777,31
"0291014",69,376,5
"0291015",86,367,11
"0291016",68,343,8
"0291017",30,49,3
"0291018",170,640,24
"0291019",60,234,8
"0291020",203,721,34
"0291021",130,503,17
"0291022",73,290,7
"0291023",120,711,23
"0291024",489,901,55
"0291025",25,148,3
"0291026",86,359,13
"0291027",46,65,5
"0291028",91,274,14
"0291029",133,600,13
"0291030",8,7,2
"0291031",89,428,14
"0291032",112,681,22
"0291033",211,441,31
"0291034",780,836,73
"0291035",103,93,14
"0291036",565,870,52
"0291037",248,634,20
"0291038",390,826,37
"0291039",174,640,26
"0291040",168,770,22
"0291041",130,562,18
"0291042",81,334,12
"0291043",199,390,15
"0291044",180,683,23
"0291045",268,993,23
"0291046",162,644,9
"0291047",139,470,13
"0291048",180,635,24
"0291049",231,689,19
"0291050",164,413,18
"0291051",274,532,14
"0291052",208,546,23
"0291053",23,65,3
"0291054",231,679,24
"0291055",349,646,47
"0291056",370,752,38
"0291057",400,436,38
"0291058",468,510,26
"0291059",50,79,8
"0291060",187,799,28
"0291061",171,653,27
"0291062",31,29,1
"0291063",367,362,16
"0291064",224,261,21
"0291065",415,497,27
"0291066",99,177,12
"0291067",750,532,36
"0291068",220,289,20
"0291069",148,144,9
"0291070",139,275,10
"0291071",290,547,29
"0291072",215,605,31
"0291073A",640,811,60
"0291073B",84,105,9
"0291074",4,3,2
"0291075",160,536,15
"0291076",439,769,46
"0291077",122,532,15
"0291078",28,167,6
"0291079",764,1457,81
"0291080A",409,1212,59
"0291080B",4,12,1
"0291081",598,240,24
