CNTYVTD,VanDeaverR_18G_State Rep 1
"0370007",1455
"0370009",988
"0370010",998
"0370011",1288
"0370012",1165
"0370013",74
"0370014",1261
"0370015",287
"0370016",668
"0370017",805
"0370018",1125
"0370019",410
"037001A",124
"037001B",199
"0370020",231
"0370021",129
"0370022",171
"0370024",266
"0370025",602
"0370027",338
"0370028",411
"0370029",167
"037002A",191
"037002B",106
"037002C",156
"037002D",18
"0370030",619
"037003A",582
"037003B",205
"037004A",233
"037004B",655
"037004C",146
"037004D",9
"037004E",0
"037005A",63
"037005B",0
"037005C",2162
"037006A",1004
"037006B",1094
"037008A",185
"037008B",1289
"037008C",566
"1590101",567
"1590102",270
"1590201",325
"1590202",421
"1590301",415
"1590302",364
"1590401",648
"1590402",416
"277001B",135
"277001C",152
"277001D",290
"277001E",396
"277001F",455
"277001G",247
"277001H",299
"277001I",57
"277002D",294
"277002E",301
"277002F",106
"277002G",313
"277003D",418
"277003E",672
"277003F",288
"277003G",296
"277003I",681
"277004B",864
"277004C",157
"277004D",802
"277004E",361
"277004F",856
"277004G",1034
"2771A3B",302
"2771A5A",437
"2771E7C",501
"2772A1A",206
"2772B2A",237
"2772C3A",440
"2773C7G",1209
"2773H3C",276
"2774A6E",673
"3870001",46
"3870002",280
"3870003",368
"3870004",362
"3870005",504
"3870007",128
"3870009",169
"3870010",116
"3870011",72
"3870013",309
"3870014",106
"3870017",132
"3870018",81
"3870019",213
"3870020",54
"3870021",72
"3870024",86
"3870027",211
"3870028",115
"3870029",81
"3870030",66
"3870031",83
