CNTYVTD,WrayR_18G_State Rep 10,EmeryD_18G_State Rep 10,SavinoL_18G_State Rep 10
"1390101",1286,503,42
"1390102",1559,440,69
"1390103",1836,585,62
"1390104",1634,429,50
"1390105",1984,594,52
"1390106",1617,336,35
"1390107",1686,532,51
"1390108",1491,441,38
"1390109",896,327,23
"1390110",1317,1038,51
"1390111",989,281,30
"1390112",795,202,19
"1390113",157,574,12
"1390114",802,259,20
"1390115",607,266,34
"1390116",821,270,23
"1390117",908,328,41
"1390118",1114,381,22
"1390119",621,172,26
"1390120",227,71,8
"1390121",866,285,23
"1390122",546,173,14
"1390123",65,278,7
"1390124",178,374,12
"1390125",1428,454,59
"1390126",338,159,16
"1390127",150,56,1
"1390128",34,36,1
"1390129",264,103,13
"1390130",223,95,6
"1390131",695,254,14
"1390132",263,53,7
"1390133",211,67,8
"1390134",378,55,5
"1390135",1786,331,38
"1390136",297,63,7
"1390137",591,128,12
"1390138",717,192,27
"1390139",561,116,10
"1390140",1877,725,50
"1390141",900,268,22
"1390142",790,288,23
"1390143",1266,431,29
"1390144",430,690,34
"1390145",854,928,55
"1390146",925,542,50
"1390147",1394,671,68
"1390148",652,543,44
"1390149",427,229,21
"213001A",679,143,21
"213001M",728,259,12
"213001T",691,171,11
"21301TC",1101,256,25
