CNTYVTD,JohnsonD_18G_State Rep 100
"1131050",63
"1131054",589
"1131057",786
"1131058",888
"1131059",677
"1131060",2105
"1131061",657
"1131062",10
"1131063",653
"1131064",59
"1131065A",986
"1131065B",0
"1131065C",0
"1131075A",854
"1131075B",0
"1131076",1020
"1131077",0
"1131078",441
"1131079",775
"1131080",270
"1131081",1346
"1131082",97
"1131083",667
"1131084",1634
"1131086",152
"1131087A",1420
"1131087B",0
"1131087C",0
"1131087D",0
"1131089",821
"1131112",243
"1131114",242
"1131115",566
"1131116",522
"1131119",745
"1131133",149
"1131134",173
"1131137",15
"1131303",37
"1131304",480
"1131307",68
"1131308A",576
"1131308B",0
"1131309",116
"1131313",153
"1131315",3
"1133005",187
"1133016A",738
"1133016B",0
"1133017",284
"1133018",689
"1133019",257
"1133020",118
"1133021",316
"1133022",540
"1133023",507
"1133024",531
"1133026",282
"1133027",508
"1133028",415
"1133029",306
"1133033",133
"1133034",548
"1133035",508
"1133036",2
"1133037",163
"1133040",425
"1133045",244
"1133090",725
"1133094",0
"1133095",0
"1134023",0
"1134024",759
"1134028",370
"1134029",2
"1134031",793
"1134033",959
"1134038",935
"1134040",299
"1134041",306
"1134107",26
