CNTYVTD,TurnerD_18G_State Rep 101,AllenL_18G_State Rep 101
"4392002",3,0
"4392027",386,69
"4392031",2013,243
"4392134",218,28
"4392145",593,93
"4392169",385,62
"4392180",599,50
"4392210",235,31
"4392225",516,60
"4392235",850,158
"4392263",600,95
"4392269",132,38
"4392275",320,76
"4392299",656,79
"4392302",598,65
"4392320",638,77
"4392341",148,18
"4392349",687,98
"4392353",442,68
"4392354",790,155
"4392379",1513,186
"4392381",200,20
"4392383",855,149
"4392405",1676,228
"4392411",143,18
"4392413",292,30
"4392428",183,20
"4392438",1011,139
"4392448",1133,168
"4392449",840,168
"4392450",919,139
"4392453",856,120
"4392461",757,89
"4392462",648,120
"4392466",484,64
"4392484",1418,164
"4392488",941,144
"4392523",635,86
"4392541",927,156
"4392546",28,2
"4392569",23,0
"4392612",0,0
"4392613",656,77
"4392618",28,2
"4392635",1551,223
"4392644",1233,170
"4392659",4,1
"4392673",0,0
"4392675",0,0
"4392681",0,0
"4392699",1364,244
