CNTYVTD,KoopR_18G_State Rep 102,RamosD_18G_State Rep 102
"1131026",104,259
"1131027",554,1285
"1131028",287,525
"1131029",150,606
"1131030",423,734
"1131032",230,249
"1131033",410,405
"1131035",38,83
"1131036",126,328
"1131037",169,432
"1131127",51,218
"1131500",458,847
"1131501",643,795
"1131502",753,1332
"1131503",367,967
"1131504",656,697
"1131704",262,446
"1131705",406,638
"1131706",450,892
"1132041",1795,1120
"1132042",1077,1085
"1132043",798,761
"1132044",400,305
"1132045",697,663
"1132046",812,522
"1132047",946,719
"1132048",914,1299
"1132049",593,518
"1132050",608,512
"1132051",1047,715
"1132052",744,286
"1132057",251,128
"1132058",395,366
"1132079",205,706
"1132500",721,990
"1132503",1316,657
"1132504",481,400
"1132505",815,985
"1132506",874,670
"1132507",875,651
"1132513",722,965
"1132514",874,815
"1132900",1088,851
"1132902",394,747
"1132903",539,738
"1132905",240,113
