CNTYVTD,FortenberryR_18G_State Rep 103,AnchiaD_18G_State Rep 103
"1131022",617,1842
"1132000",1,0
"1132028A",0,0
"1132028B",0,0
"1132076",0,0
"1132302",206,669
"1132308",56,116
"1132309",173,330
"1132312",5,23
"1134000A",53,148
"1134000B",0,0
"1134000C",0,0
"1134001A",103,487
"1134001B",0,0
"1134001C",0,0
"1134003A",16,105
"1134003B",0,0
"1134004",224,675
"1134008",25,198
"1134009",79,630
"1134011",85,342
"1134012",17,30
"1134015",170,761
"1134016",187,829
"1134017",77,208
"1134018",271,471
"1134019",211,1099
"1134020",95,415
"1134021",388,2087
"1134022",214,1275
"1134025",8,123
"1134026",4,62
"1134027",16,110
"1134030",2,23
"1134032",385,1464
"1134065",76,366
"1134073",170,731
"1134074",267,1346
"1134075",63,386
"1134076",195,1004
"1134077",78,525
"1134079",661,2117
"1134080",168,342
"1134081",161,1149
"1134082",45,371
"1134083",98,515
"1134086",153,992
"1134087A",51,318
"1134087B",0,0
"1134088",15,136
"1134094",87,207
"1134095",9,19
"1134097A",139,400
"1134097B",0,0
"1134100",3,12
"1134101",3,34
"1134103",17,73
"1134104",2,11
"1134105",1,7
"1134117",3,11
"1134118",1,6
"1134119",1,1
"1134120",22,207
"1134125",0,0
"1134603",7,16
"1134607",269,519
"1134613A",70,246
"1134613B",0,0
"1134616",199,348
"1134637",681,1273
"1134651",5,16
"1134652",111,265
"1134653",8,15
"1134654",203,327
"1134659",38,91
"1134661",102,295
"1134662",38,80
"1134664",414,637
