CNTYVTD,GonzalezD_18G_State Rep 104
"1133032",476
"1133041",42
"1133084",619
"1133096",0
"1134035",532
"1134036",329
"1134037",83
"1134043",569
"1134044",431
"1134049",0
"1134051",0
"1134053",177
"1134055",966
"1134056",1062
"1134057",672
"1134058",421
"1134059",169
"1134060",839
"1134061",888
"1134062",698
"1134063",1311
"1134066",354
"1134067",790
"1134068",764
"1134069",1242
"1134070",629
"1134071",159
"1134072",104
"1134078",738
"1134084",237
"1134085",379
"1134091A",0
"1134091B",0
"1134091C",0
"1134109",17
"1134113",778
"1134114",651
"1134115",167
"1134116",0
"1134123",0
"1134124",0
"1134300",556
"1134502",1353
"1134503",1699
"1134506",432
"1134507",421
"1134510",671
"1134511",516
"1134513",762
"1134515",635
"1134516",9
"1134520",319
"1134525",476
"1134527",511
"1134530",92
"1134535",272
"1134536",20
"1134539",0
"1134540",0
"1134541",0
"1134542",0
"1134649",41
