CNTYVTD,AndersonR_18G_State Rep 105,MezaD_18G_State Rep 105
"1134121",0,0
"1134122",0,0
"1134504",292,435
"1134505",445,587
"1134508",92,179
"1134509",417,340
"1134512",320,282
"1134514",356,319
"1134517",1086,778
"1134518A",369,540
"1134518B",0,0
"1134519",848,1080
"1134521",1093,1197
"1134528",0,0
"1134531",168,128
"1134532",62,82
"1134533",163,362
"1134534",7,34
"1134538",120,281
"1134600",652,590
"1134601",1076,952
"1134602",483,565
"1134604",677,769
"1134605",594,644
"1134606",659,780
"1134608A",611,1043
"1134608B",0,0
"1134609",211,632
"1134610",669,584
"1134611",380,453
"1134612",100,85
"1134614",212,98
"1134615",42,71
"1134617",52,51
"1134618",113,142
"1134619",449,325
"1134620",450,442
"1134621",414,1426
"1134622",420,646
"1134623",471,767
"1134624",451,463
"1134625",679,576
"1134626",881,725
"1134627A",1032,1383
"1134627B",0,0
"1134629",202,419
"1134630",471,435
"1134631",386,371
"1134634",839,945
"1134639",90,210
"1134640",367,931
"1134641",123,162
"1134642",33,41
"1134646",115,114
"1134650",0,0
"1134655",35,5
"1134656",15,39
"1134657",6,32
"1134658",17,23
"1134660",9,16
"1134663",0,0
