CNTYVTD,PattersonR_18G_State Rep 106,ThompsonD_18G_State Rep 106
"1211001",682,180
"1211002",1859,616
"1211003",1545,366
"1211004A",1160,930
"1211004B",0,0
"1211005",1143,291
"1211006",1421,989
"1211007",1415,1124
"1211025",1512,759
"1211026",1229,1811
"1211027A",103,105
"1211027B",167,198
"1211028",616,738
"1211029",1523,1335
"1211030",1716,962
"1211031",971,561
"1211032A",1742,1172
"1211032B",15,10
"1211033",1164,1158
"1211034",1537,1138
"1211035",1742,994
"1211036",2762,1357
"1211037",338,116
"1211040",1087,586
"1211041",745,800
"1211042",79,11
"1211043",91,43
"1211044",1175,1010
"1211045",779,151
"1211047",217,127
"1211048",351,104
"1211049",56,71
"1211050",835,546
"1211051",835,498
"1211052",950,697
"1212018",659,969
"1212019",0,0
"1212020A",648,319
"1212020B",1218,602
"1212021",1059,1086
"1212022",1036,667
"1212023",1099,1034
"1212024",626,555
"1212025",687,516
"1212026",1287,848
"1212027",1248,827
"1212028",958,1087
"1212029",620,619
"1212030",1313,1464
"1212031",988,1013
"1212032A",397,371
"1212032B",251,236
"1212032C",6,6
"1212035",798,878
"1212096",0,0
"1212097",0,0
"1212099",0,0
