CNTYVTD,MetzgerR_18G_State Rep 107,NeaveD_18G_State Rep 107
"1131047",236,519
"1131048",886,1018
"1131051",64,91
"1131052",795,1473
"1131055",94,269
"1131056",225,345
"1131067",2,3
"1131068",14,16
"1131121",242,775
"1131125",319,569
"1131139",3,2
"1131141A",0,0
"1131141B",0,0
"1131300",577,718
"1131301",569,744
"1131302",438,787
"1131305",291,442
"1131310",567,815
"1131311",643,670
"1131312",224,256
"1131316",88,248
"1131317",0,0
"1131713",308,261
"1131714",450,557
"1131718",462,406
"1131719",487,872
"1131720",668,885
"1131721",631,657
"1131724",10,41
"1131725",217,119
"1131726",458,549
"1131727",41,77
"1131728",304,415
"1131731",0,0
"1132069",982,1118
"1132070",480,507
"1132071",758,718
"1132072",923,1178
"1132073",294,455
"1133300",772,812
"1133301",792,774
"1133302",384,445
"1133303",432,955
"1133304",714,804
"1133306",295,468
"1133307",321,579
"1133309",520,693
"1133310",624,647
"1133311",590,602
"1133312",770,1088
"1133315",247,435
"1133316",638,880
"1133701",958,1290
"1133703",22,11
