CNTYVTD,MeyerR_18G_State Rep 108,CattanachD_18G_State Rep 108
"1131001",63,289
"1131012",103,105
"1131013",993,1433
"1131014",318,875
"1131015",499,1003
"1131016",51,116
"1131017",293,456
"1131018",56,108
"1131019",549,1254
"1131020",378,545
"1131021",412,675
"1131023",568,798
"1131069",7,29
"1131070",175,740
"1131071A",510,1246
"1131071B",0,0
"1131073",296,1157
"1131074",97,568
"1131117",888,884
"1131118",110,595
"1131120",304,646
"1131122",26,154
"1131130",155,549
"1131131",163,531
"1131132",6,14
"1131138",0,0
"1132021",1787,865
"1132025",1253,621
"1132026",1530,615
"1132029",912,330
"1132030",1115,281
"1132031",854,1311
"1132032",407,710
"1132033",601,714
"1132034",715,420
"1132035",402,583
"1132036",960,739
"1132037",323,330
"1132038",967,1248
"1132039",785,1128
"1132040",635,594
"1132200",1059,317
"1132201",941,344
"1132202",1073,321
"1132203",807,331
"1132220",1110,189
"1132221",2036,478
"1132222",1686,437
"1132223",779,367
"1132224",618,558
"1132225",913,294
"1132226",1458,468
"1133000",923,1185
"1133006",1084,1066
"1133007",380,363
"1133008A",1018,2617
"1133008B",0,0
"1133009",433,1084
"1133010",103,105
"1133011",133,708
"1133081",420,553
"1133086",856,1168
"1133089",6,9
"1133091",0,0
"1134014",788,539
"1134099",403,300
"1134102",89,93
"1134106",45,54
