CNTYVTD,ShermanD_18G_State Rep 109
"1131106",91
"1131107",273
"1131110",12
"1131111",469
"1131136",1
"1133013",237
"1133030",6
"1133031",207
"1133048",1098
"1133049",817
"1133050",688
"1133058",1065
"1133059",675
"1133060",723
"1133068",1646
"1133073",66
"1133074",238
"1133075",78
"1133083",479
"1133087",0
"1133093",9
"1133099",125
"1133100",1060
"1133101",371
"1133102",1268
"1133103",1552
"1133104",2332
"1133105",1099
"1133106",1677
"1133107",1301
"1133108",809
"1133109",1340
"1133110",1515
"1133112",12
"1133603",158
"1133604",1396
"1133605",1498
"1133606",1324
"1133609",1631
"1133610",236
"1133611",508
"1133612",1696
"1133613",279
"1133614",438
"1133615",1316
"1133616",321
"1133617",1338
"1133618",212
"1133619",77
"1133621",0
"1133800",2309
"1133801",147
"1133802",1952
"1133803",1803
"1133805",2526
"1133806",500
"1133807",1173
"1133808",1572
"1133809",152
"1133900",2652
"1133922",35
"1133940A",675
"1133940B",0
"1133950",712
