CNTYVTD,ClardyR_18G_State Rep 11,JohnsonD_18G_State Rep 11
"0730012",589,135
"0730013",562,60
"0730014",752,60
"0730015",1179,409
"0730022",231,79
"0730023",539,65
"0730024",671,212
"0730025",418,88
"0730026",394,156
"0730027",497,150
"0730028",300,29
"0730032",398,56
"0730033",712,189
"0730034",708,88
"0730035",465,129
"0730036",825,156
"0730037",128,80
"0730038",121,117
"0730042",115,363
"0730043",301,197
"0730044",700,86
"0730045",279,110
"0730046",366,63
"0730047",174,11
"0730048",312,37
"3470012",950,180
"3470013",697,112
"3470014",1334,303
"3470015",758,125
"3470016",1358,324
"3470017",118,85
"3470021",842,216
"3470022",28,27
"3470023",102,87
"3470024",173,459
"3470025",33,25
"3470026",792,816
"3470027",46,554
"3470030",61,129
"3470031",184,226
"3470032",848,1181
"3470033",2017,927
"3470034",43,36
"3470041",289,251
"3470042",576,282
"3470043",634,191
"3470044",875,145
"3470045",424,63
"3470046",448,104
"3470047",509,61
"4010111",440,72
"4010112",797,149
"4010113",1210,292
"4010114",667,136
"4010201",381,84
"4010212",437,73
"4010213",844,167
"4010214",1157,340
"4010215",830,286
"4010302",305,242
"4010303",390,312
"4010314A",484,51
"4010314B",44,3
"4010315",407,42
"4010316",248,16
"4010317",178,118
"4010318",479,124
"4010319",117,87
"4010404",844,133
"4010405",592,133
"4010416",414,77
"4010417",594,151
"4010418",970,221
