CNTYVTD,RoseD_18G_State Rep 110
"1131085",488
"1131088",693
"1131090",898
"1131091",770
"1131092",1205
"1131093",630
"1131094",521
"1131095",534
"1131096",525
"1131097",910
"1131098",773
"1131099",18
"1131100",1102
"1131101",571
"1131102",645
"1131103",174
"1131104",919
"1131105",18
"1131108",886
"1131109",151
"1131113",105
"1131124",2
"1131135",568
"1131140",0
"1131314",766
"1133012",55
"1133025",52
"1133038",394
"1133039",942
"1133042",540
"1133043",718
"1133044",885
"1133051",318
"1133052",914
"1133061",544
"1133062",922
"1133069",721
"1133070",1317
"1133071",1103
"1133072",17
"1133082",938
"1133097",76
"1133098",103
"1133308",623
"1133401",1
"1133402",136
"1133404",714
"1133406",4
"1133408",686
"1133410",106
"1134039",231
"1134047",346
"1134108",22
