CNTYVTD,DavisD_18G_State Rep 111
"1133001",179
"1133002",596
"1133003",924
"1133004",1059
"1133046",1077
"1133047",560
"1133053",919
"1133054",1426
"1133055",1357
"1133056",1324
"1133057",1184
"1133063",1595
"1133064",1265
"1133065",1027
"1133066",817
"1133067",894
"1133076",0
"1133077",1553
"1133078",1133
"1133088",24
"1133092",667
"1133111",22
"1133113",4
"1133200",841
"1133201",624
"1133202",1011
"1133203",896
"1133204",944
"1133205",884
"1133206",903
"1133207",966
"1133208",682
"1133209",66
"1133210",741
"1133211",476
"1133600",1075
"1133601",1145
"1133602",364
"1133607",2400
"1133608",1749
"1133620",611
"1134046",468
"1134048",8
"1134050",1915
"1134052",1857
"1134054",182
"1134090",19
"1134093",28
"1134110",389
"1134111",106
"1134112",31
"1134500",911
"1134501",780
"1134522",1179
"1134523",229
"1134529",288
"1134537",3
