CNTYVTD,Chen ButtonR_18G_State Rep 112,ChambersD_18G_State Rep 112
"1131038",138,719
"1131042",35,392
"1131700",388,617
"1131701",447,526
"1131702",585,823
"1131703",512,832
"1131707",57,145
"1131708",127,185
"1131709",394,1293
"1131710",77,580
"1131711",355,643
"1131712A",604,549
"1131712B",0,0
"1132501",646,364
"1132502",968,409
"1132508",685,1069
"1132509",1196,805
"1132510",562,530
"1132511",695,590
"1132512",542,421
"1132700",910,1026
"1132701",1457,1133
"1132702",2241,1065
"1132703",277,341
"1132704",713,1067
"1132705",427,684
"1132706",877,709
"1132707",886,927
"1132708",1441,1201
"1132709",461,331
"1132711",701,712
"1132717",2,0
"1132922",1892,1437
"1132927",1620,1505
"1132940",704,272
"1132941",1687,1065
"1132942",1817,1049
