CNTYVTD,BoosR_18G_State Rep 113,BowersD_18G_State Rep 113
"1131715",206,502
"1131716",851,544
"1131717",671,1038
"1131722",486,952
"1131723",26,60
"1131729",249,485
"1132710",645,750
"1132712",888,1328
"1132713",801,418
"1132714",1163,1423
"1132715",720,907
"1132716",332,535
"1132920",1038,1010
"1132921",1424,1131
"1132923",1090,951
"1132924",596,581
"1132925",1302,741
"1132926",626,552
"1132928",1304,612
"1132929",434,337
"1133014",276,502
"1133015",43,63
"1133079",85,162
"1133080",161,375
"1133305",996,1217
"1133313",919,2003
"1133314",667,1483
"1133317",287,695
"1133318",338,557
"1133400",51,258
"1133405",407,967
"1133407",87,88
"1133409",89,188
"1133411",1,1
"1133500",2123,1045
"1133501",5,1
"1133700",877,1376
"1133702",582,751
"1133920",688,499
"1133921",966,1082
