CNTYVTD,Luby RyanR_18G_State Rep 114,TurnerD_18G_State Rep 114
"1131000",42,242
"1131002",82,455
"1131003",157,1570
"1131004",478,608
"1131005",548,1042
"1131006",663,605
"1131007",189,125
"1131008",251,584
"1131009",79,384
"1131010",184,725
"1131011",56,254
"1131039",9,109
"1131040",420,1007
"1131041",31,274
"1131043",756,731
"1131044",824,742
"1131045",139,639
"1131046",51,142
"1131049",637,870
"1131126",67,290
"1131128",361,168
"1131129",4,50
"1131730",0,0
"1132002",369,479
"1132003",1013,962
"1132004",683,587
"1132005",320,395
"1132006",585,524
"1132007",1227,967
"1132008",636,494
"1132009",657,816
"1132010",505,521
"1132011",808,668
"1132012",613,606
"1132013",531,373
"1132014",249,134
"1132015",342,367
"1132016",1452,1021
"1132017",307,589
"1132018",356,279
"1132019",684,599
"1132020",746,1047
"1132022",279,254
"1132023",448,455
"1132024",500,553
"1132027",737,455
"1132053",375,923
"1132054",364,998
"1132055",192,479
"1132056",544,393
"1132059",460,413
"1132060",1084,853
"1132061",992,1031
"1132062",770,812
"1132063",298,251
"1132064",590,766
"1132065",665,1076
"1132066",614,503
"1132067",411,529
"1132068",583,1036
"1132077",456,436
"1134002",251,409
"1134006A",263,522
"1134006B",0,0
"1134007",60,75
"1134010",300,540
"1134013",115,121
"1134092",30,70
"1134096",3,2
"1134098",13,21
