CNTYVTD,RinaldiR_18G_State Rep 115,JohnsonD_18G_State Rep 115
"1132001",3,11
"1132074",71,186
"1132078",0,0
"1132300",265,527
"1132301",941,684
"1132303",635,871
"1132305",1013,1189
"1132306",397,459
"1132307",202,238
"1132310",726,671
"1132311",64,149
"1132400",69,22
"1132401",1074,1093
"1132402",842,1022
"1132403",2,0
"1132404",396,670
"1132405",1178,1093
"1132406",757,1152
"1132407",853,1275
"1132408",274,522
"1132409",342,835
"1132410",340,593
"1132411",92,265
"1132601",337,778
"1132602",487,1174
"1132603",556,1275
"1132604",520,1123
"1132605",433,1022
"1132606",0,0
"1132800",0,0
"1132801",1251,1002
"1132802",1573,1295
"1132803",572,382
"1132804",844,730
"1132805",1379,1330
"1132806",857,792
"1132807A",790,747
"1132807B",0,0
"1132808",1027,895
"1132809",779,943
"1132810A",11,3
"1132810B",0,0
"1132901",232,559
"1132904",2,1
"1132910",13,11
"1132911",66,75
"1134005",165,341
"1134628",170,704
"1134632",231,688
"1134633",122,288
"1134635",277,540
"1134636",0,6
"1134644",32,133
"1134645",4,1
"1134647",1030,1150
"1134648",216,699
