CNTYVTD,PadronR_18G_State Rep 116,Martinez FischerD_18G_State Rep 116
"0292003",81,580
"0292004",134,771
"0292005",77,371
"0292006",0,5
"0292007",100,493
"0292008",59,296
"0292009",223,594
"0292013",103,408
"0292014",107,407
"0292025",224,891
"0292026",297,794
"0292027",180,536
"0292028",326,921
"0292045",225,954
"0292046",293,915
"0292047",225,667
"0292048",112,542
"0292059",219,695
"0292060",152,487
"0292075",39,291
"0292081",114,295
"0292083",81,320
"0292091",333,945
"0292096",262,713
"0292105",29,188
"0292111",173,347
"0292113",11,23
"0292119",23,116
"0292122",147,525
"0292124",169,252
"0292134",151,373
"0292142",68,181
"0292148",467,1161
"0292149",232,601
"0292153",47,109
"0292156",166,410
"0293002",625,697
"0293010",93,180
"0293015",261,342
"0293019",106,217
"0293029",320,417
"0293035",207,268
"0293036",711,1281
"0293056",352,640
"0293058",634,1054
"0293065",10,26
"0293107",300,561
"0293109",591,911
"0293116",379,531
"0293129",706,1069
"0293134",402,1077
"0293140",75,156
"0293141",280,454
"0293143",389,492
"0293146",718,1134
"0293149",263,1296
"0293152",248,526
"0293172",104,174
"0293195",257,858
