CNTYVTD,BerlangaR_18G_State Rep 117,CortezD_18G_State Rep 117
"0291025",22,155
"0291026",83,375
"0291030",9,8
"0291033",207,472
"0291034",783,901
"0291035",110,98
"0291036",545,932
"0291037",226,681
"0291038",377,875
"0291039",169,674
"0291040",162,804
"0291041",113,597
"0291042",80,354
"0291060",180,844
"0291061",153,702
"0291062",35,27
"0291064",229,275
"0291065",0,0
"0291067",731,585
"0291068",222,302
"0291069",148,154
"0291073A",622,892
"0291073B",82,115
"0291075",147,564
"0291081",577,279
"0291092",66,251
"0291094",215,550
"0291095",34,49
"0291101",0,0
"0291103",127,108
"0291106",0,0
"0291108",1292,1634
"0291110",815,1375
"0291114",0,0
"0291116",290,291
"0291118",568,679
"0291121",1123,1499
"0291122A",996,1256
"0291122B",10,13
"0291122C",19,23
"0291125A",444,565
"0291125B",0,1
"0291125C",9,11
"0291128",206,348
"0291129",98,152
"0291130",0,0
"0291131",0,0
"0291132",0,2
"0291133",1,0
"0291134",0,0
"0291135",0,0
"0291137",0,0
"0291140",198,354
"0291141",312,497
"0291143",652,777
"0291144A",1024,607
"0291144B",64,38
"0291144C",51,29
"0291145",241,169
"0291146",40,35
"0292063A",327,191
"0292063B",368,214
"0292063C",12,7
"0292065",652,1342
"0292093",193,323
"0292095A",648,405
"0292095B",233,145
"0292101",430,358
"0292107",531,847
"0292115",1157,1141
"0292120",251,325
"0292123",557,522
"0292125",1193,1626
"0292136",900,1196
"0292147",79,150
"0292154A",160,105
"0292154B",105,69
"0292158",0,0
"0292160",6,6
"0293012",431,193
"0293106",683,400
"0293126",635,414
"0293128",22,19
